2023-04-20 06:46:34,468 INFO Tickers: ['GS']
2023-04-20 06:46:39,201 INFO Negative OS: -0.12151002347601159 --- ticker GS --- day 2017-01-13 --- time 41400
2023-04-20 06:46:39,940 INFO Negative OS: -0.002148930976723973 --- ticker GS --- day 2017-01-17 --- time 50400
2023-04-20 06:47:41,583 INFO Negative OS: -3.038919193218388 --- ticker GS --- day 2017-12-12 --- time 48600
2023-04-20 06:47:46,610 INFO Negative OS: -6.583773178067011 --- ticker GS --- day 2018-01-19 --- time 50400
2023-04-20 06:47:55,135 INFO Negative OS: -0.7761294790600335 --- ticker GS --- day 2018-02-05 --- time 45000
2023-04-20 06:48:20,444 INFO Negative OS: -1.2204684558092214 --- ticker GS --- day 2018-03-23 --- time 50400
2023-04-20 06:48:30,156 INFO Negative OS: -0.05031620253821445 --- ticker GS --- day 2018-04-02 --- time 45000
2023-04-20 06:48:31,854 INFO Negative OS: -1.0059596580946653 --- ticker GS --- day 2018-04-02 --- time 50400
2023-04-20 06:50:36,458 INFO Negative OS: -2.525481011513273 --- ticker GS --- day 2018-11-06 --- time 52200
2023-04-20 06:51:46,844 INFO Negative OS: -0.7433765348227357 --- ticker GS --- day 2019-02-04 --- time 52200
2023-04-20 06:52:55,102 INFO Negative OS: -0.1490859055363125 --- ticker GS --- day 2019-05-22 --- time 43200
2023-04-20 06:53:14,395 INFO Negative OS: -0.20646897109941031 --- ticker GS --- day 2019-07-01 --- time 50400
2023-04-20 06:54:47,819 INFO p_ofi_add_9: 0.6728014503691213 , std 0.30458524742558896 
2023-04-20 06:54:47,819 INFO p_ofi_add_10: 0.5880256238146181 , std 0.34169258155681553 
2023-04-20 06:54:47,819 INFO p_ofi_cancel_1: 0.310263862163896 , std 0.356655431243306 
2023-04-20 06:54:47,819 INFO p_ofi_cancel_2: 0.21840687282058505 , std 0.29017552900889326 
2023-04-20 06:54:47,819 INFO p_ofi_cancel_3: 0.3465425910744543 , std 0.33602819594042554 
2023-04-20 06:54:47,819 INFO p_ofi_cancel_4: 0.4969469219259963 , std 0.3518163561191515 
2023-04-20 06:54:47,819 INFO p_ofi_cancel_5: 0.5787661725565785 , std 0.3419333432243311 
2023-04-20 06:54:47,819 INFO p_ofi_cancel_6: 0.6482720732788665 , std 0.32549717218423146 
2023-04-20 06:54:47,819 INFO p_ofi_cancel_7: 0.6793644262791576 , std 0.31775304192849296 
2023-04-20 06:54:47,819 INFO p_ofi_cancel_8: 0.717527337975237 , std 0.3007422719516644 
2023-04-20 06:54:47,819 INFO p_ofi_cancel_9: 0.725029874163674 , std 0.29548898351922076 
2023-04-20 06:54:47,819 INFO p_ofi_cancel_10: 0.6404308451932677 , std 0.3379216336834627 
2023-04-20 06:54:47,819 INFO p_ofi_trade_1: 0.7304188002992242 , std 0.35223300514157224 
2023-04-20 06:54:47,819 INFO p_ofi_trade_2: 0.6731162138639163 , std 0.3595785539769126 
2023-04-20 06:54:47,819 INFO p_ofi_trade_3: 0.6705685023424612 , std 0.35748465040933436 
2023-04-20 06:54:47,819 INFO p_ofi_trade_4: 0.7142931000877195 , std 0.3396533893632669 
2023-04-20 06:54:47,819 INFO p_ofi_trade_5: 0.725086479187398 , std 0.32902866166274 
2023-04-20 06:54:47,819 INFO p_ofi_trade_6: 0.7237452196487215 , std 0.3309418891991448 
2023-04-20 06:54:47,819 INFO p_ofi_trade_7: 0.7226602617212027 , std 0.32940625885082536 
2023-04-20 06:54:47,819 INFO p_ofi_trade_8: 0.7095271353600917 , std 0.33172397206515847 
2023-04-20 06:54:47,819 INFO p_ofi_trade_9: 0.6927653133981935 , std 0.33591475899838064 
2023-04-20 06:54:47,819 INFO p_ofi_trade_10: 0.6622329676212735 , std 0.35589441704457053 
