2023-04-20 05:26:38,245 INFO Tickers: ['DIS']
2023-04-20 05:31:24,625 INFO Negative OS: -0.01064229056615651 --- ticker DIS --- day 2018-03-09 --- time 43200
2023-04-20 05:37:02,464 INFO Negative OS: -0.0008666680384936676 --- ticker DIS --- day 2019-07-09 --- time 52200
2023-04-20 05:39:05,954 INFO p_ofi_trade_1: 0.7678507469132068 , std 0.3427916516305892 
2023-04-20 05:39:05,954 INFO p_ofi_trade_2: 0.6282583201676335 , std 0.37291671958284756 
2023-04-20 05:39:05,954 INFO p_ofi_trade_3: 0.5688322146796153 , std 0.3717068208476182 
2023-04-20 05:39:05,954 INFO p_ofi_trade_4: 0.531025025672925 , std 0.3687350354786386 
2023-04-20 05:39:05,954 INFO p_ofi_trade_5: 0.5614220007039348 , std 0.3678958679448282 
2023-04-20 05:39:05,954 INFO p_ofi_trade_6: 0.5813935665300066 , std 0.3657366741382985 
2023-04-20 05:39:05,954 INFO p_ofi_trade_7: 0.6069868133416249 , std 0.3620067612895188 
2023-04-20 05:39:05,954 INFO p_ofi_trade_8: 0.5977505220070813 , std 0.36772546054952404 
2023-04-20 05:39:05,954 INFO p_ofi_trade_9: 0.6208099240040551 , std 0.368843080659193 
2023-04-20 05:39:05,954 INFO p_ofi_trade_10: 0.6138747088310009 , std 0.381631988021884 
