2023-04-20 06:49:10,061 INFO Tickers: ['TJX']
2023-04-20 06:50:14,063 INFO Negative OS: -0.02280571432590972 --- ticker TJX --- day 2017-05-16 --- time 41400
2023-04-20 06:51:42,224 INFO Negative OS: -0.07578648890423012 --- ticker TJX --- day 2018-02-08 --- time 48600
2023-04-20 06:51:49,341 INFO Negative OS: -0.1178072472328564 --- ticker TJX --- day 2018-02-14 --- time 46800
2023-04-20 06:56:26,136 INFO Negative OS: -3.0437380945593606 --- ticker TJX --- day 2019-09-26 --- time 36000
2023-04-20 06:57:02,704 INFO Negative OS: -9.575868884553135 --- ticker TJX --- day 2019-10-30 --- time 48600
2023-04-20 06:57:48,272 INFO p_ofi_cancel_3: 0.22684239386817937 , std 0.31876869215233444 
2023-04-20 06:57:48,272 INFO p_ofi_cancel_4: 0.25961424962168206 , std 0.3411658089941495 
2023-04-20 06:57:48,272 INFO p_ofi_cancel_5: 0.3268310639175028 , std 0.37351149856855315 
2023-04-20 06:57:48,273 INFO p_ofi_cancel_6: 0.3692860007045668 , std 0.39317492815317273 
2023-04-20 06:57:48,273 INFO p_ofi_cancel_7: 0.4258876539479662 , std 0.4048610374938718 
2023-04-20 06:57:48,273 INFO p_ofi_cancel_8: 0.5116050274236166 , std 0.4053351915829693 
2023-04-20 06:57:48,273 INFO p_ofi_cancel_9: 0.5693006552021825 , std 0.3991392955681194 
2023-04-20 06:57:48,273 INFO p_ofi_cancel_10: 0.6107619197131398 , std 0.39574265196464337 
2023-04-20 06:57:48,273 INFO p_ofi_trade_1: 0.7571948218367669 , std 0.3548277652871944 
2023-04-20 06:57:48,273 INFO p_ofi_trade_2: 0.40199761788334254 , std 0.4046087226726618 
2023-04-20 06:57:48,273 INFO p_ofi_trade_3: 0.39182887525959176 , std 0.3975278819722056 
2023-04-20 06:57:48,273 INFO p_ofi_trade_4: 0.37687837214981623 , std 0.39600089743326006 
2023-04-20 06:57:48,273 INFO p_ofi_trade_5: 0.39255427676632004 , std 0.39698055636906887 
2023-04-20 06:57:48,273 INFO p_ofi_trade_6: 0.4186239036149505 , std 0.40402660686023717 
2023-04-20 06:57:48,273 INFO p_ofi_trade_7: 0.4547119202709392 , std 0.4075541848765506 
2023-04-20 06:57:48,273 INFO p_ofi_trade_8: 0.5269237809765915 , std 0.40486775165502675 
2023-04-20 06:57:48,273 INFO p_ofi_trade_9: 0.5948587512289147 , std 0.39818604488333625 
2023-04-20 06:57:48,273 INFO p_ofi_trade_10: 0.6233872868074948 , std 0.3963712898282027 
