2023-04-20 06:30:03,378 INFO Tickers: ['CVS']
2023-04-20 06:31:10,204 INFO Negative OS: -245.17178968235015 --- ticker CVS --- day 2017-05-01 --- time 52200
2023-04-20 06:32:35,271 INFO Negative OS: -0.004393403507733318 --- ticker CVS --- day 2017-11-28 --- time 50400
2023-04-20 06:32:36,968 INFO Negative OS: -0.04149466465447782 --- ticker CVS --- day 2017-11-30 --- time 46800
2023-04-20 06:32:44,930 INFO Negative OS: -0.002120189792414351 --- ticker CVS --- day 2017-12-13 --- time 46800
2023-04-20 06:33:11,115 INFO Negative OS: -0.8901444577179616 --- ticker CVS --- day 2018-02-08 --- time 46800
2023-04-20 06:33:18,135 INFO Negative OS: -0.013292136033201674 --- ticker CVS --- day 2018-02-16 --- time 37800
2023-04-20 06:33:27,365 INFO Negative OS: -0.2965950022956372 --- ticker CVS --- day 2018-03-02 --- time 41400
2023-04-20 06:33:54,077 INFO Negative OS: -0.0011366125852136921 --- ticker CVS --- day 2018-04-19 --- time 43200
2023-04-20 06:34:08,620 INFO Negative OS: -0.5644675934769041 --- ticker CVS --- day 2018-05-22 --- time 36000
2023-04-20 06:34:08,702 INFO Negative OS: -1.3848983433675728 --- ticker CVS --- day 2018-05-22 --- time 37800
2023-04-20 06:34:10,417 INFO Negative OS: -0.004930410299065491 --- ticker CVS --- day 2018-05-29 --- time 39600
2023-04-20 06:36:30,901 INFO Negative OS: -0.7812958265664707 --- ticker CVS --- day 2019-02-06 --- time 50400
2023-04-20 06:39:16,161 INFO Negative OS: -0.7583966540891618 --- ticker CVS --- day 2019-10-30 --- time 36000
2023-04-20 06:39:49,214 INFO p_ofi_add_3: 0.18447492621735614 , std 0.28232013301878484 
2023-04-20 06:39:49,214 INFO p_ofi_add_4: 0.21470155505318486 , std 0.30315335434132623 
2023-04-20 06:39:49,214 INFO p_ofi_add_5: 0.2578436454883566 , std 0.3231481961808387 
2023-04-20 06:39:49,214 INFO p_ofi_add_6: 0.25643307524556375 , std 0.32863118026502675 
2023-04-20 06:39:49,214 INFO p_ofi_add_7: 0.29842136257602775 , std 0.3468221957535914 
2023-04-20 06:39:49,215 INFO p_ofi_add_8: 0.36613538977929216 , std 0.3699684367722444 
2023-04-20 06:39:49,215 INFO p_ofi_add_9: 0.3993113021770887 , std 0.3803731492129845 
2023-04-20 06:39:49,215 INFO p_ofi_add_10: 0.39379645641967953 , std 0.3858149213305769 
2023-04-20 06:39:49,215 INFO p_ofi_cancel_1: 0.4661345362374326 , std 0.40196461164209357 
2023-04-20 06:39:49,215 INFO p_ofi_cancel_2: 0.21940116688239153 , std 0.3135771721215779 
2023-04-20 06:39:49,215 INFO p_ofi_cancel_3: 0.22572941517816428 , std 0.3153992613150031 
2023-04-20 06:39:49,215 INFO p_ofi_cancel_4: 0.25912453007149816 , std 0.3349441640516386 
2023-04-20 06:39:49,215 INFO p_ofi_cancel_5: 0.3043759663002246 , std 0.3539173291451838 
2023-04-20 06:39:49,215 INFO p_ofi_cancel_6: 0.3168107238140287 , std 0.3641764032720781 
2023-04-20 06:39:49,215 INFO p_ofi_cancel_7: 0.3809446762918935 , std 0.3870145304459375 
