2023-04-20 16:28:07,503 INFO Experiment: universal_price_impact
2023-04-20 16:28:07,509 INFO Tickers: ['AAPL', 'MSFT', 'AMZN', 'FB', 'BRK.B', 'JPM', 'GOOG', 'GOOGL', 'JNJ', 'V', 'PG', 'XOM', 'BAC', 'T', 'UNH', 'DIS', 'MA', 'INTC', 'VZ', 'HD', 'MRK', 'CVX', 'WFC', 'PFE', 'KO', 'CMCSA', 'CSCO', 'PEP', 'BA', 'C', 'WMT', 'ADBE', 'MDT', 'ABT', 'MCD', 'BMY', 'AMGN', 'CRM', 'NVDA', 'PM', 'NFLX', 'ABBV', 'ACN', 'COST', 'PYPL', 'TMO', 'AVGO', 'HON', 'UNP', 'NKE', 'UTX', 'ORCL', 'IBM', 'TXN', 'NEE', 'LIN', 'SBUX', 'LLY', 'QCOM', 'MMM', 'GE', 'CVS', 'DHR', 'LMT', 'AMT', 'MO', 'LOW', 'USB', 'BKNG', 'AXP', 'FIS', 'GILD', 'UPS', 'CAT', 'MDLZ', 'CHTR', 'TFC', 'ANTM', 'GS', 'CI', 'TJX', 'ADP', 'BDX', 'CME', 'CB', 'PNC', 'COP', 'INTU', 'ISRG', 'D', 'SPGI', 'FISV', 'DUK', 'SYK', 'SO', 'TGT', 'MS', 'BSX', 'AGN', 'RTN']
2023-04-20 17:24:45,416 INFO Negative OS: -0.006509327793247088 --- ticker AAPL, MSFT, AMZN, FB, BRK.B ... --- day 2019-02-22 --- time 37800
2023-04-20 17:25:32,680 INFO Negative OS: -0.0664584572451341 --- ticker AAPL, MSFT, AMZN, FB, BRK.B ... --- day 2019-03-05 --- time 48600
2023-04-20 17:25:37,653 INFO Negative OS: -0.7792220597342565 --- ticker AAPL, MSFT, AMZN, FB, BRK.B ... --- day 2019-03-06 --- time 41400
2023-04-20 17:26:34,600 INFO Negative OS: -0.21142582494567996 --- ticker AAPL, MSFT, AMZN, FB, BRK.B ... --- day 2019-03-19 --- time 36000
2023-04-20 17:26:41,830 INFO Negative OS: -0.07674400022379202 --- ticker AAPL, MSFT, AMZN, FB, BRK.B ... --- day 2019-03-20 --- time 39600
2023-04-20 17:27:46,510 INFO Negative OS: -0.19281246405595498 --- ticker AAPL, MSFT, AMZN, FB, BRK.B ... --- day 2019-04-03 --- time 39600
2023-04-20 17:27:58,588 INFO Negative OS: -5.351943934884631 --- ticker AAPL, MSFT, AMZN, FB, BRK.B ... --- day 2019-04-05 --- time 36000
2023-04-20 17:27:59,716 INFO Negative OS: -0.2281085440318813 --- ticker AAPL, MSFT, AMZN, FB, BRK.B ... --- day 2019-04-05 --- time 41400
2023-04-20 17:28:01,198 INFO Negative OS: -1.126634411387482 --- ticker AAPL, MSFT, AMZN, FB, BRK.B ... --- day 2019-04-05 --- time 48600
2023-04-20 17:28:01,953 INFO Negative OS: -0.19084454286467145 --- ticker AAPL, MSFT, AMZN, FB, BRK.B ... --- day 2019-04-05 --- time 52200
2023-04-20 17:30:47,802 INFO Negative OS: -0.20696535761035717 --- ticker AAPL, MSFT, AMZN, FB, BRK.B ... --- day 2019-05-14 --- time 48600
2023-04-20 17:31:43,762 INFO Negative OS: -0.10526547949998477 --- ticker AAPL, MSFT, AMZN, FB, BRK.B ... --- day 2019-05-28 --- time 39600
2023-04-20 17:33:20,861 INFO Negative OS: -0.040936884867188494 --- ticker AAPL, MSFT, AMZN, FB, BRK.B ... --- day 2019-06-18 --- time 43200
2023-04-20 17:34:07,441 INFO Negative OS: -0.06939382810352845 --- ticker AAPL, MSFT, AMZN, FB, BRK.B ... --- day 2019-06-27 --- time 52200
2023-04-20 17:34:16,845 INFO Negative OS: -0.5510842142931185 --- ticker AAPL, MSFT, AMZN, FB, BRK.B ... --- day 2019-07-01 --- time 36000
2023-04-20 17:38:56,320 INFO Negative OS: -1.9062702460520051 --- ticker AAPL, MSFT, AMZN, FB, BRK.B ... --- day 2019-08-29 --- time 50400
2023-04-20 17:38:56,706 INFO Negative OS: -0.28566130001392476 --- ticker AAPL, MSFT, AMZN, FB, BRK.B ... --- day 2019-08-29 --- time 52200
