2023-05-09 07:27:44,014 INFO Starting...
2023-05-09 07:27:44,014 INFO Tickers: ['INTU']
2023-05-09 07:29:02,872 INFO 10_3: 0.004183238921698606
2023-05-09 07:29:02,872 INFO 1_5: 0.059022337391024866
2023-05-09 07:29:02,872 INFO 2_5: 0.025978265236430837
2023-05-09 07:29:02,872 INFO 3_5: 0.019444779237475392
2023-05-09 07:29:02,872 INFO 4_5: 0.016818327909686234
2023-05-09 07:29:02,872 INFO 5_5: 0.014116548149933711
2023-05-09 07:29:02,872 INFO 6_5: 0.013433570366799244
2023-05-09 07:29:02,872 INFO 7_5: 0.006774536981238199
2023-05-09 07:29:02,872 INFO 8_5: 0.004931501345867984
2023-05-09 07:29:02,872 INFO 9_5: 0.0050520268370093605
2023-05-09 07:29:02,872 INFO 10_5: 0.005564260174360211
2023-05-09 07:29:02,872 INFO 1_10: 0.0865674340122936
2023-05-09 07:29:02,872 INFO 2_10: 0.03580611465991724
2023-05-09 07:29:02,872 INFO 3_10: 0.027464746293841148
2023-05-09 07:29:02,872 INFO 4_10: 0.024948776666264914
2023-05-09 07:29:02,872 INFO 5_10: 0.022101361938049898
2023-05-09 07:29:02,872 INFO 6_10: 0.021096982845205094
2023-05-09 07:29:02,872 INFO 7_10: 0.01057611184765578
2023-05-09 07:29:02,872 INFO 8_10: 0.007959704310795067
2023-05-09 07:29:02,872 INFO 9_10: 0.005991121288819252
2023-05-09 07:29:02,872 INFO 10_10: 0.0065585954762765655
2023-05-09 07:29:02,872 INFO 1_20: 0.10968824072958097
2023-05-09 07:29:02,872 INFO 2_20: 0.046839218994817404
2023-05-09 07:29:02,872 INFO 3_20: 0.03785002611385641
2023-05-09 07:29:02,872 INFO 4_20: 0.03467618818046683
2023-05-09 07:29:02,872 INFO 5_20: 0.030949941746012614
2023-05-09 07:29:02,872 INFO 6_20: 0.02976979631191997
2023-05-09 07:29:02,872 INFO 7_20: 0.014558474950785424
2023-05-09 07:29:02,872 INFO 8_20: 0.009837893214414849
2023-05-09 07:29:02,872 INFO 9_20: 0.009385922622634687
2023-05-09 07:29:02,872 INFO 10_20: 0.009109718372102366
2023-05-09 07:29:02,873 INFO 1_30: 0.1233277088104134
2023-05-09 07:29:02,873 INFO 2_30: 0.05494455827407497
2023-05-09 07:29:02,873 INFO 3_30: 0.042440038568157167
2023-05-09 07:29:02,873 INFO 4_30: 0.03938672612590896
2023-05-09 07:29:02,873 INFO 5_30: 0.03665983688883532
2023-05-09 07:29:02,873 INFO 6_30: 0.034425093407255636
2023-05-09 07:29:02,873 INFO 7_30: 0.016592342613796152
2023-05-09 07:29:02,873 INFO 8_30: 0.012830942911092363
2023-05-09 07:29:02,873 INFO 9_30: 0.009416053995420032
2023-05-09 07:29:02,873 INFO 10_30: 0.010425454983729059
2023-05-09 07:29:02,880 INFO Non empty regressions: 0.4609748503475152 --- 91793 / 199128
