2023-05-09 05:58:59,287 INFO Starting...
2023-05-09 05:58:59,287 INFO Tickers: ['INTC']
2023-05-09 06:00:16,528 INFO 4_3: 0.013314515886010467
2023-05-09 06:00:16,528 INFO 5_3: 0.0048868441935451465
2023-05-09 06:00:16,528 INFO 6_3: 0.002722168091368417
2023-05-09 06:00:16,529 INFO 7_3: 0.002029069942643617
2023-05-09 06:00:16,529 INFO 8_3: 0.0024258435205367994
2023-05-09 06:00:16,529 INFO 9_3: 0.0022299679567667472
2023-05-09 06:00:16,529 INFO 10_3: 0.002762347694193043
2023-05-09 06:00:16,529 INFO 1_5: 0.07534680019688006
2023-05-09 06:00:16,529 INFO 2_5: 0.021028999628338672
2023-05-09 06:00:16,529 INFO 3_5: 0.02799513826805822
2023-05-09 06:00:16,529 INFO 4_5: 0.020536799493737004
2023-05-09 06:00:16,529 INFO 5_5: 0.006453848703705564
2023-05-09 06:00:16,529 INFO 6_5: 0.004158588892348799
2023-05-09 06:00:16,529 INFO 7_5: 0.0025262925275983646
2023-05-09 06:00:16,529 INFO 8_5: 0.002551404779363756
2023-05-09 06:00:16,529 INFO 9_5: 0.003184233523851617
2023-05-09 06:00:16,529 INFO 10_5: 0.0034504233925647643
2023-05-09 06:00:16,529 INFO 1_10: 0.10993139332817695
2023-05-09 06:00:16,529 INFO 2_10: 0.030948339075668237
2023-05-09 06:00:16,529 INFO 3_10: 0.040244894679216096
2023-05-09 06:00:16,529 INFO 4_10: 0.03068214920695509
2023-05-09 06:00:16,529 INFO 5_10: 0.008337267586109911
2023-05-09 06:00:16,529 INFO 6_10: 0.005097787108374434
2023-05-09 06:00:16,529 INFO 7_10: 0.003560917300332486
2023-05-09 06:00:16,529 INFO 8_10: 0.003013470211846956
2023-05-09 06:00:16,529 INFO 9_10: 0.0038723092222233382
2023-05-09 06:00:16,529 INFO 10_10: 0.00401293783210953
2023-05-09 06:00:16,529 INFO 1_20: 0.14158287545327614
2023-05-09 06:00:16,529 INFO 2_20: 0.04346428535553926
2023-05-09 06:00:16,529 INFO 3_20: 0.053052143079565656
2023-05-09 06:00:16,529 INFO 4_20: 0.04297208522093759
2023-05-09 06:00:16,529 INFO 5_20: 0.011074503028537562
2023-05-09 06:00:16,529 INFO 6_20: 0.006242905788876277
2023-05-09 06:00:16,529 INFO 7_20: 0.00395266842787259
2023-05-09 06:00:16,529 INFO 8_20: 0.00476128293471819
2023-05-09 06:00:16,529 INFO 9_20: 0.004570429821301216
2023-05-09 06:00:16,529 INFO 10_20: 0.004389621608590399
2023-05-09 06:00:16,529 INFO 1_30: 0.1674886743744538
2023-05-09 06:00:16,529 INFO 2_30: 0.04990306670818559
2023-05-09 06:00:16,529 INFO 3_30: 0.06496037286671422
2023-05-09 06:00:16,529 INFO 4_30: 0.049943246311010214
2023-05-09 06:00:16,529 INFO 5_30: 0.01442949986439384
2023-05-09 06:00:16,529 INFO 6_30: 0.008829467720711581
2023-05-09 06:00:16,529 INFO 7_30: 0.005700481150743825
2023-05-09 06:00:16,529 INFO 8_30: 0.005549807640151477
2023-05-09 06:00:16,529 INFO 9_30: 0.005574919891916869
2023-05-09 06:00:16,529 INFO 10_30: 0.005690436250037669
2023-05-09 06:00:16,537 INFO Non empty regressions: 0.4726226231253704 --- 94102 / 199106
