2023-05-09 05:43:11,495 INFO Starting...
2023-05-09 05:43:11,495 INFO Tickers: ['JPM']
2023-05-09 05:44:36,180 INFO 8_2: 0.0022397653770439116
2023-05-09 05:44:36,180 INFO 9_2: 0.0018982764854766783
2023-05-09 05:44:36,180 INFO 10_2: 0.00183801373990599
2023-05-09 05:44:36,180 INFO 1_3: 0.014874854365031538
2023-05-09 05:44:36,180 INFO 2_3: 0.011480053031216101
2023-05-09 05:44:36,180 INFO 3_3: 0.016014824635410388
2023-05-09 05:44:36,180 INFO 4_3: 0.019861596561005987
2023-05-09 05:44:36,180 INFO 5_3: 0.01614037202201599
2023-05-09 05:44:36,180 INFO 6_3: 0.012303643887348841
2023-05-09 05:44:36,180 INFO 7_3: 0.006006186975211924
2023-05-09 05:44:36,180 INFO 8_3: 0.002716845446145193
2023-05-09 05:44:36,180 INFO 9_3: 0.002104174199509863
2023-05-09 05:44:36,180 INFO 10_3: 0.0019786268129042624
2023-05-09 05:44:36,180 INFO 1_5: 0.02111707042706199
2023-05-09 05:44:36,180 INFO 2_5: 0.01966574263790125
2023-05-09 05:44:36,181 INFO 3_5: 0.027881563617371742
2023-05-09 05:44:36,181 INFO 4_5: 0.03011630709895143
2023-05-09 05:44:36,181 INFO 5_5: 0.02530533124422482
2023-05-09 05:44:36,181 INFO 6_5: 0.018962677272909886
2023-05-09 05:44:36,181 INFO 7_5: 0.00925033144510064
2023-05-09 05:44:36,181 INFO 8_5: 0.004509662126873167
2023-05-09 05:44:36,181 INFO 9_5: 0.0031838817243180265
2023-05-09 05:44:36,181 INFO 10_5: 0.002445663091077096
2023-05-09 05:44:36,181 INFO 1_10: 0.03291852476798843
2023-05-09 05:44:36,181 INFO 2_10: 0.03120605841468804
2023-05-09 05:44:36,181 INFO 3_10: 0.042650958177654574
2023-05-09 05:44:36,181 INFO 4_10: 0.04978204973685268
2023-05-09 05:44:36,181 INFO 5_10: 0.03863344180627536
2023-05-09 05:44:36,181 INFO 6_10: 0.0274547025029127
2023-05-09 05:44:36,181 INFO 7_10: 0.014779438351211281
2023-05-09 05:44:36,181 INFO 8_10: 0.006016230766140372
2023-05-09 05:44:36,181 INFO 9_10: 0.004092844803342574
