2023-05-09 07:18:55,799 INFO Starting...
2023-05-09 07:18:55,799 INFO Tickers: ['TJX']
2023-05-09 07:20:15,832 INFO used_ofi_2_5: 0.022824514884898155 , std 0.14934375248120432 
2023-05-09 07:20:15,832 INFO used_ofi_3_5: 0.029689445984492385 , std 0.16972914535113376 
2023-05-09 07:20:15,832 INFO used_ofi_4_5: 0.028634847937005343 , std 0.16677797642563577 
2023-05-09 07:20:15,832 INFO used_ofi_5_5: 0.020258326302679684 , std 0.14088266933194385 
2023-05-09 07:20:15,832 INFO used_ofi_6_5: 0.014031175927041903 , std 0.11761930976309248 
2023-05-09 07:20:15,832 INFO used_ofi_7_5: 0.0060011650797477 , std 0.07723439063936036 
2023-05-09 07:20:15,832 INFO used_ofi_8_5: 0.003490217347635692 , std 0.058974873721797445 
2023-05-09 07:20:15,832 INFO used_ofi_9_5: 0.002711823550680969 , std 0.05200451483968427 
2023-05-09 07:20:15,832 INFO used_ofi_10_5: 0.002445663091077096 , std 0.049393135384606206 
2023-05-09 07:20:15,832 INFO used_ofi_1_10: 0.05938893575991322 , std 0.23635120069341325 
2023-05-09 07:20:15,832 INFO used_ofi_2_10: 0.03685569081194006 , std 0.18840740130556108 
2023-05-09 07:20:15,832 INFO used_ofi_3_10: 0.0450413804186252 , std 0.20739492392199452 
2023-05-09 07:20:15,832 INFO used_ofi_4_10: 0.04216885621308907 , std 0.20097423660451824 
2023-05-09 07:20:15,832 INFO used_ofi_5_10: 0.029458438793138083 , std 0.16908766713456372 
2023-05-09 07:20:15,832 INFO used_ofi_6_10: 0.021112048531597767 , std 0.14375788652591281 
2023-05-09 07:20:15,832 INFO used_ofi_7_10: 0.009180024908601503 , std 0.09537165224152803 
2023-05-09 07:20:15,832 INFO used_ofi_8_10: 0.004610100036157647 , std 0.06774102902830946 
2023-05-09 07:20:15,832 INFO used_ofi_9_10: 0.0031989474107106987 , std 0.05646870058868194 
2023-05-09 07:20:15,832 INFO used_ofi_10_10: 0.0033747137519585394 , std 0.05799418125166421 
2023-05-09 07:20:15,832 INFO used_ofi_1_20: 0.07713129243501668 , std 0.2667996554763904 
2023-05-09 07:20:15,832 INFO used_ofi_2_20: 0.04695974448595878 , std 0.2115526574727253 
2023-05-09 07:20:15,832 INFO used_ofi_3_20: 0.06024265798883131 , std 0.23793587402338467 
2023-05-09 07:20:15,832 INFO used_ofi_4_20: 0.058916877586276166 , std 0.23546906192058414 
2023-05-09 07:20:15,832 INFO used_ofi_5_20: 0.04017014181832791 , std 0.1963580951339245 
2023-05-09 07:20:15,832 INFO used_ofi_6_20: 0.028162789763368286 , std 0.1654377436865983 
2023-05-09 07:20:15,832 INFO used_ofi_7_20: 0.011349483749146278 , std 0.10592767800614789 
2023-05-09 07:20:15,832 INFO used_ofi_8_20: 0.005850508215820979 , std 0.0762645380857813 
2023-05-09 07:20:15,832 INFO used_ofi_9_20: 0.0045799686633723035 , std 0.0675203121320898 
2023-05-09 07:20:15,832 INFO used_ofi_10_20: 0.004474508858623599 , std 0.06674194804691946 
2023-05-09 07:20:15,832 INFO used_ofi_1_30: 0.08409163954843116 , std 0.27752519832708505 
