2023-05-09 06:42:06,133 INFO Starting...
2023-05-09 06:42:06,133 INFO Tickers: ['UTX']
2023-05-09 06:43:28,448 INFO 2_10: 0.02182013579205335
2023-05-09 06:43:28,448 INFO 3_10: 0.032436422803422925
2023-05-09 06:43:28,448 INFO 4_10: 0.044242899039813585
2023-05-09 06:43:28,448 INFO 5_10: 0.041114258165602026
2023-05-09 06:43:28,448 INFO 6_10: 0.03654433329315817
2023-05-09 06:43:28,448 INFO 7_10: 0.02155397533244948
2023-05-09 06:43:28,448 INFO 8_10: 0.014432927564179824
2023-05-09 06:43:28,448 INFO 9_10: 0.010711703025189827
2023-05-09 06:43:28,448 INFO 10_10: 0.010556024265798884
2023-05-09 06:43:28,448 INFO 1_20: 0.026902294001848057
2023-05-09 06:43:28,448 INFO 2_20: 0.029413241733960066
2023-05-09 06:43:28,448 INFO 3_20: 0.044212767667028245
2023-05-09 06:43:28,448 INFO 4_20: 0.05749568116990077
2023-05-09 06:43:28,448 INFO 5_20: 0.05484914226025471
2023-05-09 06:43:28,448 INFO 6_20: 0.046136153629826045
2023-05-09 06:43:28,448 INFO 7_20: 0.02739443975734201
2023-05-09 06:43:28,448 INFO 8_20: 0.0196556988469728
2023-05-09 06:43:28,448 INFO 9_20: 0.013754971676509582
2023-05-09 06:43:28,448 INFO 10_20: 0.013388373307621229
2023-05-09 06:43:28,448 INFO 1_30: 0.032953678036238
2023-05-09 06:43:28,448 INFO 2_30: 0.03406351693383151
2023-05-09 06:43:28,448 INFO 3_30: 0.05109778634847937
2023-05-09 06:43:28,449 INFO 4_30: 0.06688160379253545
2023-05-09 06:43:28,449 INFO 5_30: 0.06609316620465229
2023-05-09 06:43:28,449 INFO 6_30: 0.055677755011851675
2023-05-09 06:43:28,449 INFO 7_30: 0.033912860069904786
2023-05-09 06:43:28,449 INFO 8_30: 0.021900486119480936
2023-05-09 06:43:28,449 INFO 9_30: 0.01682837170061468
2023-05-09 06:43:28,449 INFO 10_30: 0.01624080993130047
2023-05-09 06:43:28,458 INFO Non empty regressions: 0.4821019645655056 --- 96000 / 199128
