2023-05-09 06:04:11,300 INFO Starting...
2023-05-09 06:04:11,301 INFO Tickers: ['CVX']
2023-05-09 06:05:33,481 INFO used_ofi_3_3: 0.017606765497569402 , std 0.13151717494792456 
2023-05-09 06:05:33,481 INFO used_ofi_4_3: 0.022985215539753325 , std 0.1498562491401156 
2023-05-09 06:05:33,481 INFO used_ofi_5_3: 0.018776867140733598 , std 0.13573612784042735 
2023-05-09 06:05:33,481 INFO used_ofi_6_3: 0.016120284440159095 , std 0.12593816288054807 
2023-05-09 06:05:33,481 INFO used_ofi_7_3: 0.009019324253746333 , std 0.09454086970063326 
2023-05-09 06:05:33,481 INFO used_ofi_8_3: 0.004645253304407216 , std 0.06799760970905602 
2023-05-09 06:05:33,481 INFO used_ofi_9_3: 0.002741954923466313 , std 0.052291840727440385 
2023-05-09 06:05:33,481 INFO used_ofi_10_3: 0.0027871519826443295 , std 0.05271986121444147 
2023-05-09 06:05:33,481 INFO used_ofi_1_5: 0.01412659194086216 , std 0.11801284396623325 
2023-05-09 06:05:33,481 INFO used_ofi_2_5: 0.015206299465670323 , std 0.12237266002760043 
2023-05-09 06:05:33,481 INFO used_ofi_3_5: 0.02501908320276405 , std 0.1561829974051504 
2023-05-09 06:05:33,481 INFO used_ofi_4_5: 0.03315455385480696 , std 0.17904002182052944 
2023-05-09 06:05:33,481 INFO used_ofi_5_5: 0.02890603029207344 , std 0.16754244747175917 
2023-05-09 06:05:33,481 INFO used_ofi_6_5: 0.02180507010566068 , std 0.14604659880787332 
2023-05-09 06:05:33,481 INFO used_ofi_7_5: 0.012961512193162187 , std 0.11310840550033713 
2023-05-09 06:05:33,481 INFO used_ofi_8_5: 0.006945281427021815 , std 0.08304844666170029 
2023-05-09 06:05:33,481 INFO used_ofi_9_5: 0.004504640231408943 , std 0.06696527792665774 
2023-05-09 06:05:33,481 INFO used_ofi_10_5: 0.0034952392430999154 , std 0.0590171377290818 
2023-05-09 06:05:33,481 INFO used_ofi_1_10: 0.020398939375677955 , std 0.14136061208139053 
2023-05-09 06:05:33,481 INFO used_ofi_2_10: 0.02324133220842875 , std 0.15066908337680365 
2023-05-09 06:05:33,481 INFO used_ofi_3_10: 0.037468362058575386 , std 0.18990651358819396 
2023-05-09 06:05:33,481 INFO used_ofi_4_10: 0.052192559559680204 , std 0.2224151440129234 
2023-05-09 06:05:33,481 INFO used_ofi_5_10: 0.043474549033787314 , std 0.20392281044575702 
2023-05-09 06:05:33,481 INFO used_ofi_6_10: 0.030317182917520388 , std 0.17145859948531597 
2023-05-09 06:05:33,481 INFO used_ofi_7_10: 0.019223815837049536 , std 0.13731081800685893 
2023-05-09 06:05:33,481 INFO used_ofi_8_10: 0.010601221324976899 , std 0.102415015653935 
2023-05-09 06:05:33,481 INFO used_ofi_9_10: 0.005790245470250291 , std 0.07587304216679687 
2023-05-09 06:05:33,481 INFO used_ofi_10_10: 0.004323851994696879 , std 0.0656136898720445 
2023-05-09 06:05:33,481 INFO used_ofi_1_20: 0.029649270820778596 , std 0.16961778079132722 
2023-05-09 06:05:33,481 INFO used_ofi_2_20: 0.03271764894941947 , std 0.1778966115378312 
2023-05-09 06:05:33,481 INFO used_ofi_3_20: 0.05253404845124744 , std 0.22310137203650146 
2023-05-09 06:05:33,481 INFO used_ofi_4_20: 0.06655518058736089 , std 0.2492500522052998 
2023-05-09 06:05:33,481 INFO used_ofi_5_20: 0.05693322887790768 , std 0.2317149894319387 
2023-05-09 06:05:33,481 INFO used_ofi_6_20: 0.03993411273150938 , std 0.19580444165507707 
2023-05-09 06:05:33,481 INFO used_ofi_7_20: 0.023547667831746416 , std 0.1516350064181492 
2023-05-09 06:05:33,482 INFO used_ofi_8_20: 0.014131613836326383 , std 0.11803351781043948 
2023-05-09 06:05:33,482 INFO used_ofi_9_20: 0.007286770318589048 , std 0.08505100409115214 
2023-05-09 06:05:33,482 INFO used_ofi_10_20: 0.006347675866779157 , std 0.07941903347352866 
2023-05-09 06:05:33,482 INFO used_ofi_1_30: 0.03591659636013017 , std 0.186082225013658 
2023-05-09 06:05:33,482 INFO used_ofi_2_30: 0.039381704230444736 , std 0.19450137686492225 
2023-05-09 06:05:33,482 INFO used_ofi_3_30: 0.0638584227230726 , std 0.24450056149300345 
2023-05-09 06:05:33,482 INFO used_ofi_4_30: 0.07851231368767828 , std 0.268976077536806 
2023-05-09 06:05:33,482 INFO used_ofi_5_30: 0.06466694789281266 , std 0.2459372557036467 
2023-05-09 06:05:33,482 INFO used_ofi_6_30: 0.04877767064400788 , std 0.21540290037637047 
2023-05-09 06:05:33,482 INFO used_ofi_7_30: 0.030337270499377286 , std 0.17151361613010466 
2023-05-09 06:05:33,482 INFO used_ofi_8_30: 0.017636896870354746 , std 0.13162764428165996 
2023-05-09 06:05:33,482 INFO used_ofi_9_30: 0.008868667389819614 , std 0.09375507521488297 
2023-05-09 06:05:33,482 INFO used_ofi_10_30: 0.007829135028725242 , std 0.08813534860331142 
2023-05-09 06:05:34,119 INFO Grouping by horizont:
2023-05-09 06:05:34,119 INFO 1: 0.05629042625848701
2023-05-09 06:05:34,119 INFO 2: 0.07710116106223132
2023-05-09 06:05:34,119 INFO 3: 0.11374091036920976
2023-05-09 06:05:34,119 INFO 5: 0.16612430195653047
2023-05-09 06:05:34,119 INFO 10: 0.24703205978064358
2023-05-09 06:05:34,119 INFO 20: 0.3296372182716645
2023-05-09 06:05:34,120 INFO 30: 0.39578562532642325
2023-05-09 06:05:34,120 INFO Grouping by level:
2023-05-09 06:05:34,120 INFO 1: 0.12136916957936603
2023-05-09 06:05:34,120 INFO 2: 0.1307350046201438
2023-05-09 06:05:34,120 INFO 3: 0.21530372423767627
2023-05-09 06:05:34,120 INFO 4: 0.2792424972881764
2023-05-09 06:05:34,120 INFO 5: 0.23512012373950422
2023-05-09 06:05:34,120 INFO 6: 0.1747619621549958
2023-05-09 06:05:34,120 INFO 7: 0.10608754168173236
2023-05-09 06:05:34,120 INFO 8: 0.06054899361214897
2023-05-09 06:05:34,120 INFO 9: 0.0337471375195854
2023-05-09 06:05:34,120 INFO 10: 0.028795548591860513
2023-05-09 06:05:34,120 INFO Grouping by level and horizont:
2023-05-09 06:05:34,120 INFO 1_1: 0.004981720300510225
2023-05-09 06:05:34,120 INFO 2_1: 0.004574946767908079
2023-05-09 06:05:34,120 INFO 3_1: 0.007919529147081274
2023-05-09 06:05:34,120 INFO 4_1: 0.010696637338797155
2023-05-09 06:05:34,120 INFO 5_1: 0.009511470009240288
2023-05-09 06:05:34,120 INFO 6_1: 0.007427383391587321
2023-05-09 06:05:34,120 INFO 7_1: 0.004574946767908079
2023-05-09 06:05:34,120 INFO 8_1: 0.0028122614599654493
2023-05-09 06:05:34,120 INFO 9_1: 0.002079064722188743
2023-05-09 06:05:34,120 INFO 10_1: 0.0017124663533003898
2023-05-09 06:05:34,120 INFO 1_2: 0.00666405528102527
2023-05-09 06:05:34,120 INFO 2_2: 0.006186975211923989
2023-05-09 06:05:34,120 INFO 3_2: 0.010897513157366116
2023-05-09 06:05:34,120 INFO 4_2: 0.015146036720099634
2023-05-09 06:05:34,120 INFO 5_2: 0.012851030492949259
2023-05-09 06:05:34,120 INFO 6_2: 0.010380257924551042
2023-05-09 06:05:34,120 INFO 7_2: 0.006423004298742517
2023-05-09 06:05:34,120 INFO 8_2: 0.0037764653890964605
2023-05-09 06:05:34,120 INFO 9_2: 0.00247579446386244
2023-05-09 06:05:34,120 INFO 10_2: 0.0023000281226146
2023-05-09 06:05:34,120 INFO 1_3: 0.009631995500381664
2023-05-09 06:05:34,120 INFO 2_3: 0.009426097786348479
2023-05-09 06:05:34,120 INFO 3_3: 0.017606765497569402
2023-05-09 06:05:34,120 INFO 4_3: 0.022985215539753325
