2023-05-09 07:03:30,820 INFO Starting...
2023-05-09 07:03:30,820 INFO Tickers: ['USB']
2023-05-09 07:04:51,019 INFO 7_1: 0.0014011088345185006
2023-05-09 07:04:51,019 INFO 8_1: 0.0008738098107749789
2023-05-09 07:04:51,019 INFO 9_1: 0.0006729339922060182
2023-05-09 07:04:51,019 INFO 10_1: 0.0005624522919930898
2023-05-09 07:04:51,019 INFO 1_2: 0.03856313526977623
2023-05-09 07:04:51,019 INFO 2_2: 0.012404081796633321
2023-05-09 07:04:51,019 INFO 3_2: 0.008923908239926078
2023-05-09 07:04:51,019 INFO 4_2: 0.00820075529307782
2023-05-09 07:04:51,019 INFO 5_2: 0.005117311478044273
2023-05-09 07:04:51,019 INFO 6_2: 0.003254188260817163
2023-05-09 07:04:51,019 INFO 7_2: 0.0012554738660560043
2023-05-09 07:04:51,019 INFO 8_2: 0.0010545980474870435
2023-05-09 07:04:51,019 INFO 9_2: 0.000893897392631875
2023-05-09 07:04:51,020 INFO 10_2: 0.0006578683058133461
2023-05-09 07:04:51,020 INFO 1_3: 0.05158993210397332
2023-05-09 07:04:51,020 INFO 2_3: 0.017586677915712508
2023-05-09 07:04:51,020 INFO 3_3: 0.012504519705917802
2023-05-09 07:04:51,020 INFO 4_3: 0.010596199429512676
2023-05-09 07:04:51,020 INFO 5_3: 0.006734361817524406
2023-05-09 07:04:51,020 INFO 6_3: 0.003997428789522317
2023-05-09 07:04:51,020 INFO 7_3: 0.0019585392310473666
2023-05-09 07:04:51,020 INFO 8_3: 0.0010596199429512676
2023-05-09 07:04:51,020 INFO 9_3: 0.0010797075248081636
2023-05-09 07:04:51,020 INFO 10_3: 0.0007583062150978265
2023-05-09 07:04:51,020 INFO 1_5: 0.0737716443694508
2023-05-09 07:04:51,020 INFO 2_5: 0.02648045478285324
2023-05-09 07:04:51,020 INFO 3_5: 0.019911815515648225
2023-05-09 07:04:51,020 INFO 4_5: 0.01696898477361295
2023-05-09 07:04:51,020 INFO 5_5: 0.009169981117673054
2023-05-09 07:04:51,020 INFO 6_5: 0.005609457233538227
2023-05-09 07:04:51,020 INFO 7_5: 0.0022899843316861518
2023-05-09 07:04:51,020 INFO 8_5: 0.001511590534731429
2023-05-09 07:04:51,020 INFO 9_5: 0.001210276806877988
2023-05-09 07:04:51,020 INFO 10_5: 0.0010646418384154916
2023-05-09 07:04:51,020 INFO 1_10: 0.11101402113213611
2023-05-09 07:04:51,020 INFO 2_10: 0.042450082359085616
2023-05-09 07:04:51,020 INFO 3_10: 0.030327226708448837
2023-05-09 07:04:51,020 INFO 4_10: 0.024833273070587764
2023-05-09 07:04:51,020 INFO 5_10: 0.012439235064882889
2023-05-09 07:04:51,020 INFO 6_10: 0.00815053633843558
2023-05-09 07:04:51,020 INFO 7_10: 0.0028574585191434654
2023-05-09 07:04:51,020 INFO 8_10: 0.0017375758306215098
2023-05-09 07:04:51,020 INFO 9_10: 0.0015216343256598771
2023-05-09 07:04:51,020 INFO 10_10: 0.0009993571973805793
2023-05-09 07:04:51,020 INFO 1_20: 0.13532501707444458
2023-05-09 07:04:51,020 INFO 2_20: 0.053272267084488366
2023-05-09 07:04:51,020 INFO 3_20: 0.040064682013579205
2023-05-09 07:04:51,020 INFO 4_20: 0.03387268490619099
2023-05-09 07:04:51,020 INFO 5_20: 0.016833393596078904
2023-05-09 07:04:51,020 INFO 6_20: 0.011550359567715239
2023-05-09 07:04:51,020 INFO 7_20: 0.003490217347635692
2023-05-09 07:04:51,020 INFO 8_20: 0.0021343055722952073
2023-05-09 07:04:51,020 INFO 9_20: 0.00178779478526375
2023-05-09 07:04:51,020 INFO 10_20: 0.001782772889799526
2023-05-09 07:04:51,020 INFO 1_30: 0.15653750351532683
2023-05-09 07:04:51,020 INFO 2_30: 0.06562110803101523
2023-05-09 07:04:51,020 INFO 3_30: 0.048476356916154435
2023-05-09 07:04:51,020 INFO 4_30: 0.039487164035193444
2023-05-09 07:04:51,020 INFO 5_30: 0.020675143626210278
2023-05-09 07:04:51,020 INFO 6_30: 0.014563496846249649
2023-05-09 07:04:51,020 INFO 7_30: 0.004499618335944719
2023-05-09 07:04:51,020 INFO 8_30: 0.0028725242055361376
2023-05-09 07:04:51,020 INFO 9_30: 0.0023251375999357197
2023-05-09 07:04:51,020 INFO 10_30: 0.0016070065485516854
2023-05-09 07:04:51,029 INFO Non empty regressions: 0.46827668635249686 --- 93247 / 199128
