2023-05-09 06:19:26,824 INFO Starting...
2023-05-09 06:19:26,824 INFO Tickers: ['ABT']
2023-05-09 06:20:42,193 INFO 2_1: 0.007095938290948536
2023-05-09 06:20:42,193 INFO 3_1: 0.011344461853682054
2023-05-09 06:20:42,193 INFO 4_1: 0.012117833755172553
2023-05-09 06:20:42,193 INFO 5_1: 0.006744405608452854
2023-05-09 06:20:42,193 INFO 6_1: 0.0036810493752762042
2023-05-09 06:20:42,193 INFO 7_1: 0.0015969627576232373
2023-05-09 06:20:42,193 INFO 8_1: 0.0008788317062392029
2023-05-09 06:20:42,193 INFO 9_1: 0.0007532843196336025
2023-05-09 06:20:42,193 INFO 10_1: 0.0006327588284922261
2023-05-09 06:20:42,193 INFO 1_2: 0.017812663211602586
2023-05-09 06:20:42,193 INFO 2_2: 0.010355148447229923
2023-05-09 06:20:42,193 INFO 3_2: 0.015196255674741874
2023-05-09 06:20:42,193 INFO 4_2: 0.017546502751998715
2023-05-09 06:20:42,193 INFO 5_2: 0.010299907597123459
2023-05-09 06:20:42,193 INFO 6_2: 0.004519705917801615
2023-05-09 06:20:42,193 INFO 7_2: 0.0020891085131171908
2023-05-09 06:20:42,193 INFO 8_2: 0.0013006709252340203
2023-05-09 06:20:42,193 INFO 9_2: 0.0009340725563456671
2023-05-09 06:20:42,193 INFO 10_2: 0.0008637660198465309
2023-05-09 06:20:42,193 INFO 1_3: 0.024813185488730866
2023-05-09 06:20:42,193 INFO 2_3: 0.014247117432003535
2023-05-09 06:20:42,193 INFO 3_3: 0.022061186774336106
2023-05-09 06:20:42,194 INFO 4_3: 0.023813828291350286
2023-05-09 06:20:42,194 INFO 5_3: 0.014111526254469486
2023-05-09 06:20:42,194 INFO 6_3: 0.006066449720782612
2023-05-09 06:20:42,194 INFO 7_3: 0.0025260134185046803
2023-05-09 06:20:42,194 INFO 8_3: 0.0014412839982322929
2023-05-09 06:20:42,194 INFO 9_3: 0.0010746856293439395
2023-05-09 06:20:42,194 INFO 10_3: 0.0009742477200594592
2023-05-09 06:20:42,194 INFO 1_5: 0.03644389538387369
2023-05-09 06:20:42,194 INFO 2_5: 0.022924952794182635
2023-05-09 06:20:42,194 INFO 3_5: 0.03534912217267285
2023-05-09 06:20:42,194 INFO 4_5: 0.03454561889839701
2023-05-09 06:20:42,194 INFO 5_5: 0.01963058936965168
2023-05-09 06:20:42,194 INFO 6_5: 0.008943995821782973
2023-05-09 06:20:42,194 INFO 7_5: 0.003545458197742156
2023-05-09 06:20:42,194 INFO 8_5: 0.0016873568759792697
2023-05-09 06:20:42,194 INFO 9_5: 0.001220320597806436
2023-05-09 06:20:42,194 INFO 10_5: 0.0009591820336667872
2023-05-09 06:20:42,194 INFO 1_10: 0.052760033747137516
2023-05-09 06:20:42,194 INFO 2_10: 0.03635350126551766
2023-05-09 06:20:42,194 INFO 3_10: 0.052468763810212524
2023-05-09 06:20:42,194 INFO 4_10: 0.05429673375919007
2023-05-09 06:20:42,194 INFO 5_10: 0.029789883893776868
2023-05-09 06:20:42,194 INFO 6_10: 0.01322767265276606
2023-05-09 06:20:42,194 INFO 7_10: 0.005132377164436945
2023-05-09 06:20:42,194 INFO 8_10: 0.0021292836768309832
2023-05-09 06:20:42,194 INFO 9_10: 0.0013308022980193645
2023-05-09 06:20:42,194 INFO 10_10: 0.0012454300751275561
2023-05-09 06:20:42,194 INFO 1_20: 0.06741894660720743
2023-05-09 06:20:42,194 INFO 2_20: 0.04740167128681049
2023-05-09 06:20:42,194 INFO 3_20: 0.0690661283194729
2023-05-09 06:20:42,194 INFO 4_20: 0.06990980675746254
2023-05-09 06:20:42,194 INFO 5_20: 0.03794544212767667
2023-05-09 06:20:42,194 INFO 6_20: 0.017049335101040536
2023-05-09 06:20:42,194 INFO 7_20: 0.007196376200233016
2023-05-09 06:20:42,194 INFO 8_20: 0.0033797356474227634
2023-05-09 06:20:42,194 INFO 9_20: 0.002164436945080551
2023-05-09 06:20:42,194 INFO 10_20: 0.001536700012052549
2023-05-09 06:20:42,194 INFO 1_30: 0.07812060584146881
2023-05-09 06:20:42,194 INFO 2_30: 0.05563757984813788
2023-05-09 06:20:42,194 INFO 3_30: 0.08311236993290748
2023-05-09 06:20:42,194 INFO 4_30: 0.08007914507251616
2023-05-09 06:20:42,194 INFO 5_30: 0.04669860592181913
2023-05-09 06:20:42,194 INFO 6_30: 0.02072034068538829
2023-05-09 06:20:42,194 INFO 7_30: 0.009672170664095456
2023-05-09 06:20:42,194 INFO 8_30: 0.004122976176127917
2023-05-09 06:20:42,194 INFO 9_30: 0.0028022176690370012
2023-05-09 06:20:42,194 INFO 10_30: 0.0019032983809409024
2023-05-09 06:20:42,203 INFO Non empty regressions: 0.47550319392551527 --- 94686 / 199128
