2023-05-09 06:50:33,127 INFO Starting...
2023-05-09 06:50:33,127 INFO Tickers: ['LLY']
2023-05-09 06:51:52,157 INFO used_ofi_1_10: 0.03339058294162549 , std 0.17965425659428147 
2023-05-09 06:51:52,157 INFO used_ofi_2_10: 0.033460889478124624 , std 0.1798367547345574 
2023-05-09 06:51:52,157 INFO used_ofi_3_10: 0.04119460849302961 , std 0.1987400632085429 
2023-05-09 06:51:52,157 INFO used_ofi_4_10: 0.041475834639026155 , std 0.19938803820696543 
2023-05-09 06:51:52,157 INFO used_ofi_5_10: 0.033847575428869875 , std 0.1808367138234292 
2023-05-09 06:51:52,157 INFO used_ofi_6_10: 0.029659314611707042 , std 0.1696456296768969 
2023-05-09 06:51:52,157 INFO used_ofi_7_10: 0.017260254710537947 , std 0.13023954206716673 
2023-05-09 06:51:52,157 INFO used_ofi_8_10: 0.011374593226467397 , std 0.1060434432456802 
2023-05-09 06:51:52,157 INFO used_ofi_9_10: 0.007879353983367482 , std 0.08841532539199452 
2023-05-09 06:51:52,157 INFO used_ofi_10_10: 0.006985456590735607 , std 0.08328661349193255 
2023-05-09 06:51:52,157 INFO used_ofi_1_20: 0.04527238760997951 , std 0.20790093441365598 
2023-05-09 06:51:52,157 INFO used_ofi_2_20: 0.04439857779920453 , std 0.20597898943487541 
2023-05-09 06:51:52,157 INFO used_ofi_3_20: 0.05107769876662247 , std 0.22015623419591973 
2023-05-09 06:51:52,157 INFO used_ofi_4_20: 0.05452774095054437 , std 0.2270560865014957 
2023-05-09 06:51:52,157 INFO used_ofi_5_20: 0.04454421276766703 , std 0.20630081404729314 
2023-05-09 06:51:52,157 INFO used_ofi_6_20: 0.03769936924992969 , std 0.1904681779407971 
2023-05-09 06:51:52,157 INFO used_ofi_7_20: 0.024200514242095537 , std 0.1536712378830654 
2023-05-09 06:51:52,157 INFO used_ofi_8_20: 0.0146790004419268 , std 0.12026440615557335 
2023-05-09 06:51:52,157 INFO used_ofi_9_20: 0.010696637338797155 , std 0.10286991439891163 
2023-05-09 06:51:52,157 INFO used_ofi_10_20: 0.009667148768631232 , std 0.09784526050512811 
2023-05-09 06:51:52,157 INFO used_ofi_1_30: 0.05288558113374312 , std 0.22380504114494248 
2023-05-09 06:51:52,157 INFO used_ofi_2_30: 0.051519625567474185 , std 0.22105509211249005 
2023-05-09 06:51:52,157 INFO used_ofi_3_30: 0.061558394600458 , std 0.24035173944590518 
2023-05-09 06:51:52,157 INFO used_ofi_4_30: 0.06414467076453337 , std 0.24501047319868388 
2023-05-09 06:51:52,157 INFO used_ofi_5_30: 0.05247378570567675 , std 0.22298046443442407 
2023-05-09 06:51:52,157 INFO used_ofi_6_30: 0.04338415491543128 , std 0.20372032303554094 
2023-05-09 06:51:52,157 INFO used_ofi_7_30: 0.02741954923466313 , std 0.16330253382734455 
2023-05-09 06:51:52,157 INFO used_ofi_8_30: 0.017395845888071994 , std 0.1307410816610848 
2023-05-09 06:51:52,157 INFO used_ofi_9_30: 0.013132256638945804 , std 0.11384111943632087 
2023-05-09 06:51:52,157 INFO used_ofi_10_30: 0.011344461853682054 , std 0.10590450905854956 
2023-05-09 06:51:52,780 INFO Grouping by horizont:
2023-05-09 06:51:52,780 INFO 1: 0.06472218874291912
2023-05-09 06:51:52,780 INFO 2: 0.09100176770720342
2023-05-09 06:51:52,780 INFO 3: 0.11791912739544413
