2023-05-09 07:13:31,678 INFO Starting...
2023-05-09 07:13:31,678 INFO Tickers: ['CHTR']
2023-05-09 07:14:50,031 INFO used_ofi_3_30: 0.036676191863238936 , std 0.18796555219946506 
2023-05-09 07:14:50,031 INFO used_ofi_4_30: 0.03228690092958553 , std 0.17676101651084905 
2023-05-09 07:14:50,031 INFO used_ofi_5_30: 0.025356441560659096 , std 0.15720525573924043 
2023-05-09 07:14:50,031 INFO used_ofi_6_30: 0.02064071594658524 , std 0.1421783274335355 
2023-05-09 07:14:50,031 INFO used_ofi_7_30: 0.01495573043526298 , std 0.1213756835713428 
2023-05-09 07:14:50,031 INFO used_ofi_8_30: 0.010671903013745411 , std 0.10275219462284306 
2023-05-09 07:14:50,031 INFO used_ofi_9_30: 0.008989508891578487 , std 0.09438589736537294 
2023-05-09 07:14:50,031 INFO used_ofi_10_30: 0.009381230508083024 , std 0.09640136421356928 
2023-05-09 07:14:50,673 INFO Grouping by horizont:
2023-05-09 07:14:50,673 INFO 1: 0.055413542519372645
2023-05-09 07:14:50,673 INFO 2: 0.0812370367766333
2023-05-09 07:14:50,673 INFO 3: 0.10926019857272715
2023-05-09 07:14:50,673 INFO 5: 0.17010260093109217
2023-05-09 07:14:50,673 INFO 10: 0.2368208275370252
2023-05-09 07:14:50,673 INFO 20: 0.3073156522918226
2023-05-09 07:14:50,673 INFO 30: 0.3612928822173453
2023-05-09 07:14:50,673 INFO Grouping by level:
2023-05-09 07:14:50,673 INFO 1: 0.5448194816217276
2023-05-09 07:14:50,673 INFO 2: 0.20806946529999346
2023-05-09 07:14:50,673 INFO 3: 0.1312669181050718
2023-05-09 07:14:50,673 INFO 4: 0.11105810035104283
2023-05-09 07:14:50,673 INFO 5: 0.0900658393640048
2023-05-09 07:14:50,673 INFO 6: 0.07054002340285555
2023-05-09 07:14:50,673 INFO 7: 0.05154654707439195
2023-05-09 07:14:50,673 INFO 8: 0.04058838595627784
2023-05-09 07:14:50,673 INFO 9: 0.034752738284761525
2023-05-09 07:14:50,673 INFO 10: 0.03873524138589099
2023-05-09 07:14:50,673 INFO Grouping by level and horizont:
2023-05-09 07:14:50,673 INFO 1_1: 0.021916322236228223
2023-05-09 07:14:50,673 INFO 2_1: 0.008718317003229193
2023-05-09 07:14:50,673 INFO 3_1: 0.005664897223296388
2023-05-09 07:14:50,673 INFO 4_1: 0.004203474269414075
2023-05-09 07:14:50,673 INFO 5_1: 0.0036962449967607633
2023-05-09 07:14:50,673 INFO 6_1: 0.0027169409554994198
2023-05-09 07:14:50,673 INFO 7_1: 0.002234822042878451
2023-05-09 07:14:50,673 INFO 8_1: 0.0018882990744321293
2023-05-09 07:14:50,673 INFO 9_1: 0.0019234535784774082
2023-05-09 07:14:50,674 INFO 10_1: 0.0024507711391565934
2023-05-09 07:14:50,674 INFO 1_2: 0.033457043707092675
2023-05-09 07:14:50,674 INFO 2_2: 0.012630511096268098
2023-05-09 07:14:50,674 INFO 3_2: 0.007824388186077813
2023-05-09 07:14:50,674 INFO 4_2: 0.006267545864072599
2023-05-09 07:14:50,674 INFO 5_2: 0.0052982859668241926
2023-05-09 07:14:50,674 INFO 6_2: 0.004359158501614596
2023-05-09 07:14:50,674 INFO 7_2: 0.00306848599595221
2023-05-09 07:14:50,674 INFO 8_2: 0.0027269850995123566
2023-05-09 07:14:50,674 INFO 9_2: 0.0025361463632665566
2023-05-09 07:14:50,674 INFO 10_2: 0.00306848599595221
2023-05-09 07:14:50,674 INFO 1_3: 0.04362673952019124
2023-05-09 07:14:50,674 INFO 2_3: 0.017813289406943517
2023-05-09 07:14:50,674 INFO 3_3: 0.010777366525881248
2023-05-09 07:14:50,674 INFO 4_3: 0.00927074492394072
2023-05-09 07:14:50,674 INFO 5_3: 0.007086143601126953
2023-05-09 07:14:50,674 INFO 6_3: 0.005695029655335198
2023-05-09 07:14:50,674 INFO 7_3: 0.004514842733815118
2023-05-09 07:14:50,674 INFO 8_3: 0.0038268188689289427
2023-05-09 07:14:50,674 INFO 9_3: 0.003234214372165668
2023-05-09 07:14:50,674 INFO 10_3: 0.0034150089643985317
2023-05-09 07:14:50,674 INFO 1_5: 0.07072081799508842
2023-05-09 07:14:50,674 INFO 2_5: 0.02758121945952461
2023-05-09 07:14:50,674 INFO 3_5: 0.017085088966005593
2023-05-09 07:14:50,674 INFO 4_5: 0.013629903425555315
