2023-05-09 07:36:51,354 INFO Starting...
2023-05-09 07:36:51,354 INFO Tickers: ['SO']
2023-05-09 07:38:09,914 INFO 1_5: 0.07653870877023825
2023-05-09 07:38:09,914 INFO 2_5: 0.029965650235024708
2023-05-09 07:38:09,914 INFO 3_5: 0.022447872725081353
2023-05-09 07:38:09,914 INFO 4_5: 0.014317423968502671
2023-05-09 07:38:09,914 INFO 5_5: 0.009185046804065726
2023-05-09 07:38:09,915 INFO 6_5: 0.006423004298742517
2023-05-09 07:38:09,915 INFO 7_5: 0.0033797356474227634
2023-05-09 07:38:09,915 INFO 8_5: 0.0026364951187176086
2023-05-09 07:38:09,915 INFO 9_5: 0.002149371258687879
2023-05-09 07:38:09,915 INFO 10_5: 0.0019736049174400388
2023-05-09 07:38:09,915 INFO 1_10: 0.11090353943192319
2023-05-09 07:38:09,915 INFO 2_10: 0.04764774416455747
2023-05-09 07:38:09,915 INFO 3_10: 0.03430958981157848
2023-05-09 07:38:09,915 INFO 4_10: 0.02065505604435338
2023-05-09 07:38:09,915 INFO 5_10: 0.01174119159535575
2023-05-09 07:38:09,915 INFO 6_10: 0.009029368044674782
2023-05-09 07:38:09,915 INFO 7_10: 0.0040627134305572295
2023-05-09 07:38:09,915 INFO 8_10: 0.0028725242055361376
2023-05-09 07:38:09,915 INFO 9_10: 0.0022899843316861518
2023-05-09 07:38:09,915 INFO 10_10: 0.0026816921778956247
2023-05-09 07:38:09,915 INFO 1_20: 0.13533506086537303
2023-05-09 07:38:09,915 INFO 2_20: 0.06128219034992568
2023-05-09 07:38:09,915 INFO 3_20: 0.0436402715841067
2023-05-09 07:38:09,915 INFO 4_20: 0.028484191073078622
2023-05-09 07:38:09,915 INFO 5_20: 0.01654212365915391
2023-05-09 07:38:09,915 INFO 6_20: 0.011063235707685509
2023-05-09 07:38:09,915 INFO 7_20: 0.00438913663573179
2023-05-09 07:38:09,915 INFO 8_20: 0.003671005584347756
2023-05-09 07:38:09,915 INFO 9_20: 0.00303824675585553
2023-05-09 07:38:09,915 INFO 10_20: 0.0027821300871801054
2023-05-09 07:38:09,915 INFO 1_30: 0.15599011690972642
2023-05-09 07:38:09,915 INFO 2_30: 0.07609678196938653
2023-05-09 07:38:09,915 INFO 3_30: 0.05313667590695432
2023-05-09 07:38:09,915 INFO 4_30: 0.032587079667349646
2023-05-09 07:38:09,915 INFO 5_30: 0.019369450805512032
2023-05-09 07:38:09,915 INFO 6_30: 0.01346370173958459
2023-05-09 07:38:09,915 INFO 7_30: 0.005785223574786068
2023-05-09 07:38:09,915 INFO 8_30: 0.003535414406813708
2023-05-09 07:38:09,915 INFO 9_30: 0.0034952392430999154
2023-05-09 07:38:09,915 INFO 10_30: 0.0029126993692499296
2023-05-09 07:38:09,924 INFO Non empty regressions: 0.47163633441806274 --- 93916 / 199128
