2023-05-09 07:09:35,197 INFO Starting...
2023-05-09 07:09:35,197 INFO Tickers: ['UPS']
2023-05-09 07:10:52,524 INFO used_ofi_7_5: 0.015844080189626773 , std 0.12487211583284497 
2023-05-09 07:10:52,524 INFO used_ofi_8_5: 0.009596842232132096 , std 0.0974922707259589 
2023-05-09 07:10:52,524 INFO used_ofi_9_5: 0.007231529468482584 , std 0.08473036321195047 
2023-05-09 07:10:52,524 INFO used_ofi_10_5: 0.007819091237796795 , std 0.0880792430145253 
2023-05-09 07:10:52,524 INFO used_ofi_1_10: 0.02292997468964686 , std 0.14968029579867553 
2023-05-09 07:10:52,524 INFO used_ofi_2_10: 0.022437828934152908 , std 0.1481025751527454 
2023-05-09 07:10:52,524 INFO used_ofi_3_10: 0.03152243782893415 , std 0.17472485153021344 
2023-05-09 07:10:52,524 INFO used_ofi_4_10: 0.044950986300269176 , std 0.2071965133174354 
2023-05-09 07:10:52,525 INFO used_ofi_5_10: 0.04319332288779077 , std 0.2032920552941059 
2023-05-09 07:10:52,525 INFO used_ofi_6_10: 0.03472640713510908 , std 0.1830860010557763 
2023-05-09 07:10:52,525 INFO used_ofi_7_10: 0.02181511389658913 , std 0.14607948077080493 
2023-05-09 07:10:52,525 INFO used_ofi_8_10: 0.013905628540436303 , std 0.11709936821064283 
2023-05-09 07:10:52,525 INFO used_ofi_9_10: 0.011480053031216101 , std 0.10652821886062194 
2023-05-09 07:10:52,525 INFO used_ofi_10_10: 0.009832871318950625 , std 0.09867211338861442 
2023-05-09 07:10:52,525 INFO used_ofi_1_20: 0.032160218552890606 , std 0.17642544854844752 
2023-05-09 07:10:52,525 INFO used_ofi_2_20: 0.031025270177975975 , std 0.1733859936337407 
2023-05-09 07:10:52,525 INFO used_ofi_3_20: 0.04318327909686232 , std 0.20326948492900945 
2023-05-09 07:10:52,525 INFO used_ofi_4_20: 0.0587160017677072 , std 0.23509239227189346 
2023-05-09 07:10:52,525 INFO used_ofi_5_20: 0.055481901088746934 , std 0.22891845653054155 
2023-05-09 07:10:52,525 INFO used_ofi_6_20: 0.04576955526093769 , std 0.20898493503636487 
2023-05-09 07:10:52,525 INFO used_ofi_7_20: 0.028971314933108352 , std 0.16772590093409848 
2023-05-09 07:10:52,525 INFO used_ofi_8_20: 0.018982764854766784 , std 0.136463986066784 
2023-05-09 07:10:52,525 INFO used_ofi_9_20: 0.014181832790968624 , std 0.11824004571065437 
2023-05-09 07:10:52,525 INFO used_ofi_10_20: 0.013167409907195372 , std 0.11399135591583805 
2023-05-09 07:10:52,525 INFO used_ofi_1_30: 0.03714193885340083 , std 0.18910953236579867 
2023-05-09 07:10:52,525 INFO used_ofi_2_30: 0.035876421196416375 , std 0.1859819980496868 
2023-05-09 07:10:52,525 INFO used_ofi_3_30: 0.05033948013338154 , std 0.21864449884065784 
2023-05-09 07:10:52,525 INFO used_ofi_4_30: 0.07117030251898276 , std 0.25710910244162744 
2023-05-09 07:10:52,525 INFO used_ofi_5_30: 0.06911132537865092 , std 0.2536433521365327 
2023-05-09 07:10:52,525 INFO used_ofi_6_30: 0.054467478204973684 , std 0.2269378153216524 
2023-05-09 07:10:52,525 INFO used_ofi_7_30: 0.03335040777791169 , std 0.1795498762989234 
2023-05-09 07:10:52,525 INFO used_ofi_8_30: 0.022046121087943432 , std 0.14683354396362966 
2023-05-09 07:10:52,525 INFO used_ofi_9_30: 0.016687758627616407 , std 0.1280987015531493 
2023-05-09 07:10:52,525 INFO used_ofi_10_30: 0.015356956329597044 , std 0.12296796420973999 
2023-05-09 07:10:53,156 INFO Grouping by horizont:
2023-05-09 07:10:53,156 INFO 1: 0.06648487405086176
2023-05-09 07:10:53,156 INFO 2: 0.08752159415049618
2023-05-09 07:10:53,156 INFO 3: 0.12216262906271343
2023-05-09 07:10:53,156 INFO 5: 0.17471174320035351
2023-05-09 07:10:53,156 INFO 10: 0.2567946245630951
2023-05-09 07:10:53,156 INFO 20: 0.34163954843115985
2023-05-09 07:10:53,156 INFO 30: 0.4055481901088747
2023-05-09 07:10:53,156 INFO Grouping by level:
2023-05-09 07:10:53,156 INFO 1: 0.13334639026154033
2023-05-09 07:10:53,156 INFO 2: 0.12944939938130245
2023-05-09 07:10:53,156 INFO 3: 0.1781165883250974
2023-05-09 07:10:53,156 INFO 4: 0.24515889277248804
2023-05-09 07:10:53,156 INFO 5: 0.2382688521955727
2023-05-09 07:10:53,157 INFO 6: 0.1965720541561207
2023-05-09 07:10:53,157 INFO 7: 0.125336466996103
2023-05-09 07:10:53,157 INFO 8: 0.08314752320115705
2023-05-09 07:10:53,157 INFO 9: 0.06440078743320879
2023-05-09 07:10:53,157 INFO 10: 0.06106624884496404
2023-05-09 07:10:53,157 INFO Grouping by level and horizont:
2023-05-09 07:10:53,157 INFO 1_1: 0.0055341288015748665
2023-05-09 07:10:53,157 INFO 2_1: 0.00553915069703909
2023-05-09 07:10:53,157 INFO 3_1: 0.00761319352376361
