2023-05-09 06:15:48,714 INFO Starting...
2023-05-09 06:15:48,714 INFO Tickers: ['WMT']
2023-05-09 06:17:06,717 INFO 8_2: 0.0024506849865413203
2023-05-09 06:17:06,717 INFO 9_2: 0.0016773130850508216
2023-05-09 06:17:06,717 INFO 10_2: 0.0014211964163753966
2023-05-09 06:17:06,717 INFO 1_3: 0.01681330601422201
2023-05-09 06:17:06,717 INFO 2_3: 0.011776344863605319
2023-05-09 06:17:06,717 INFO 3_3: 0.016848459282471577
2023-05-09 06:17:06,717 INFO 4_3: 0.02390422240970632
2023-05-09 06:17:06,717 INFO 5_3: 0.020248282511751235
2023-05-09 06:17:06,717 INFO 6_3: 0.013333132457514765
2023-05-09 06:17:06,717 INFO 7_3: 0.005574303965288659
2023-05-09 06:17:06,717 INFO 8_3: 0.002977984010284842
2023-05-09 06:17:06,717 INFO 9_3: 0.00235024707725684
2023-05-09 06:17:06,717 INFO 10_3: 0.001797838576192198
2023-05-09 06:17:06,717 INFO 1_5: 0.026043549877465752
2023-05-09 06:17:06,717 INFO 2_5: 0.018023582821099997
2023-05-09 06:17:06,717 INFO 3_5: 0.02717849825238038
2023-05-09 06:17:06,718 INFO 4_5: 0.036263107147161626
2023-05-09 06:17:06,718 INFO 5_5: 0.027625446948696317
2023-05-09 06:17:06,718 INFO 6_5: 0.01950504198304608
2023-05-09 06:17:06,718 INFO 7_5: 0.008316258888754972
2023-05-09 06:17:06,718 INFO 8_5: 0.0036910931662046524
2023-05-09 06:17:06,718 INFO 9_5: 0.0024607287774697684
2023-05-09 06:17:06,718 INFO 10_5: 0.0021795026314732234
2023-05-09 06:17:06,718 INFO 1_10: 0.0340836045156884
2023-05-09 06:17:06,718 INFO 2_10: 0.028197943031617854
2023-05-09 06:17:06,718 INFO 3_10: 0.04176208268048692
2023-05-09 06:17:06,718 INFO 4_10: 0.05647121449519907
2023-05-09 06:17:06,718 INFO 5_10: 0.04520208107348037
2023-05-09 06:17:06,718 INFO 6_10: 0.02802719858583424
2023-05-09 06:17:06,718 INFO 7_10: 0.012378972319312202
2023-05-09 06:17:06,718 INFO 8_10: 0.004986742195974448
2023-05-09 06:17:06,718 INFO 9_10: 0.0033244947973162992
2023-05-09 06:17:06,718 INFO 10_10: 0.0029076774737857056
2023-05-09 06:17:06,718 INFO 1_20: 0.04719577357277731
2023-05-09 06:17:06,718 INFO 2_20: 0.03857317906070467
2023-05-09 06:17:06,718 INFO 3_20: 0.05531115664296332
2023-05-09 06:17:06,718 INFO 4_20: 0.0718683459885099
2023-05-09 06:17:06,718 INFO 5_20: 0.05752079064722189
2023-05-09 06:17:06,718 INFO 6_20: 0.038261821541922786
2023-05-09 06:17:06,718 INFO 7_20: 0.015608051102808244
2023-05-09 06:17:06,718 INFO 8_20: 0.006859909204130007
2023-05-09 06:17:06,718 INFO 9_20: 0.004308786308304206
2023-05-09 06:17:06,718 INFO 10_20: 0.0034500421839218994
2023-05-09 06:17:06,718 INFO 1_30: 0.054437346832188344
2023-05-09 06:17:06,718 INFO 2_30: 0.05072114418866257
2023-05-09 06:17:06,718 INFO 3_30: 0.06277871519826443
2023-05-09 06:17:06,718 INFO 4_30: 0.08409666144389538
2023-05-09 06:17:06,718 INFO 5_30: 0.06913141296050782
2023-05-09 06:17:06,718 INFO 6_30: 0.044373468321883415
2023-05-09 06:17:06,718 INFO 7_30: 0.019032983809409022
2023-05-09 06:17:06,718 INFO 8_30: 0.007487646137158009
2023-05-09 06:17:06,718 INFO 9_30: 0.005735004620143827
2023-05-09 06:17:06,718 INFO 10_30: 0.004474508858623599
2023-05-09 06:17:06,727 INFO Non empty regressions: 0.4839198907235547 --- 96362 / 199128
