2023-05-09 06:22:02,475 INFO Starting...
2023-05-09 06:22:02,475 INFO Tickers: ['BMY']
2023-05-09 06:23:19,483 INFO used_ofi_5_30: 0.03071893455465831 , std 0.17255515528226023 
2023-05-09 06:23:19,483 INFO used_ofi_6_30: 0.01814410831224137 , std 0.13347246774445667 
2023-05-09 06:23:19,483 INFO used_ofi_7_30: 0.008497047125467037 , std 0.09178696702481583 
2023-05-09 06:23:19,483 INFO used_ofi_8_30: 0.0049013699730826405 , std 0.0698380021583493 
2023-05-09 06:23:19,483 INFO used_ofi_9_30: 0.004173195130770158 , std 0.06446533621389619 
2023-05-09 06:23:19,483 INFO used_ofi_10_30: 0.00352537061588526 , std 0.059270079955285285 
2023-05-09 06:23:20,127 INFO Grouping by horizont:
2023-05-09 06:23:20,127 INFO 1: 0.06430537141938854
2023-05-09 06:23:20,127 INFO 2: 0.0848750552408501
2023-05-09 06:23:20,127 INFO 3: 0.11298762604957616
2023-05-09 06:23:20,128 INFO 5: 0.1687206219115343
2023-05-09 06:23:20,128 INFO 10: 0.24368245550600617
2023-05-09 06:23:20,128 INFO 20: 0.31773030412598935
2023-05-09 06:23:20,128 INFO 30: 0.38357739745289465
2023-05-09 06:23:20,128 INFO Grouping by level:
2023-05-09 06:23:20,128 INFO 1: 0.5104354987746575
2023-05-09 06:23:20,128 INFO 2: 0.22671849262785745
2023-05-09 06:23:20,128 INFO 3: 0.21283797356474227
2023-05-09 06:23:20,128 INFO 4: 0.16852978988389378
2023-05-09 06:23:20,128 INFO 5: 0.10799586195813748
2023-05-09 06:23:20,128 INFO 6: 0.06421999919649672
2023-05-09 06:23:20,128 INFO 7: 0.03234602868506689
2023-05-09 06:23:20,128 INFO 8: 0.02000220963400426
2023-05-09 06:23:20,128 INFO 9: 0.017370736410750875
2023-05-09 06:23:20,128 INFO 10: 0.015422240970631955
2023-05-09 06:23:20,128 INFO Grouping by level and horizont:
2023-05-09 06:23:20,128 INFO 1_1: 0.02530533124422482
2023-05-09 06:23:20,128 INFO 2_1: 0.008567353661966173
2023-05-09 06:23:20,128 INFO 3_1: 0.008291149411433852
2023-05-09 06:23:20,128 INFO 4_1: 0.0077538065967618815
2023-05-09 06:23:20,128 INFO 5_1: 0.004670362781728336
2023-05-09 06:23:20,128 INFO 6_1: 0.0033244947973162992
2023-05-09 06:23:20,128 INFO 7_1: 0.002063999035796071
2023-05-09 06:23:20,128 INFO 8_1: 0.0016321160258728055
2023-05-09 06:23:20,128 INFO 9_1: 0.0014211964163753966
2023-05-09 06:23:20,128 INFO 10_1: 0.0012755614479129003
2023-05-09 06:23:20,128 INFO 1_2: 0.033300188823269454
2023-05-09 06:23:20,128 INFO 2_2: 0.011635731790607047
2023-05-09 06:23:20,128 INFO 3_2: 0.01174119159535575
2023-05-09 06:23:20,128 INFO 4_2: 0.009817805632557953
2023-05-09 06:23:20,128 INFO 5_2: 0.006985456590735607
2023-05-09 06:23:20,128 INFO 6_2: 0.004228435980876622
2023-05-09 06:23:20,128 INFO 7_2: 0.0022899843316861518
2023-05-09 06:23:20,128 INFO 8_2: 0.0017325539351572858
2023-05-09 06:23:20,128 INFO 9_2: 0.0013960869390542766
2023-05-09 06:23:20,128 INFO 10_2: 0.0017476196215499577
2023-05-09 06:23:20,128 INFO 1_3: 0.04216885621308907
2023-05-09 06:23:20,128 INFO 2_3: 0.017636896870354746
2023-05-09 06:23:20,128 INFO 3_3: 0.016200634767586677
2023-05-09 06:23:20,128 INFO 4_3: 0.0134034389940139
2023-05-09 06:23:20,128 INFO 5_3: 0.00845185006628902
