2023-05-09 07:04:51,033 INFO Starting...
2023-05-09 07:04:51,033 INFO Tickers: ['BKNG']
2023-05-09 07:05:34,751 INFO used_ofi_10_5: 0.007569885379731178 , std 0.086675153389359 
2023-05-09 07:05:34,751 INFO used_ofi_1_10: 0.13537560814710975 , std 0.34212432369814033 
2023-05-09 07:05:34,751 INFO used_ofi_2_10: 0.028391193205244497 , std 0.16608772788387158 
2023-05-09 07:05:34,751 INFO used_ofi_3_10: 0.017943432011214646 , std 0.13274586720072895 
2023-05-09 07:05:34,751 INFO used_ofi_4_10: 0.012245402820153376 , std 0.10997932955753804 
2023-05-09 07:05:34,751 INFO used_ofi_5_10: 0.01038179269398862 , std 0.10136079653617401 
2023-05-09 07:05:34,751 INFO used_ofi_6_10: 0.008312031005195019 , std 0.090790644593833 
2023-05-09 07:05:34,751 INFO used_ofi_7_10: 0.008345015255215634 , std 0.0909690935186553 
2023-05-09 07:05:34,751 INFO used_ofi_8_10: 0.006827739754267337 , std 0.08234756659498407 
2023-05-09 07:05:34,751 INFO used_ofi_9_10: 0.00796569637997856 , std 0.0888945671071104 
2023-05-09 07:05:34,751 INFO used_ofi_10_10: 0.008913993568071247 , std 0.09399220332952957 
2023-05-09 07:05:34,751 INFO used_ofi_1_20: 0.16511090954069432 , std 0.3712806177156828 
2023-05-09 07:05:34,751 INFO used_ofi_2_20: 0.037750474148594046 , std 0.19059217153427468 
2023-05-09 07:05:34,751 INFO used_ofi_3_20: 0.023641461202275914 , std 0.15192939977008135 
2023-05-09 07:05:34,751 INFO used_ofi_4_20: 0.017333223385833263 , std 0.13050970367329043 
2023-05-09 07:05:34,751 INFO used_ofi_5_20: 0.011981528819988456 , std 0.10880244384720518 
2023-05-09 07:05:34,751 INFO used_ofi_6_20: 0.010934278881833924 , std 0.10399384802558373 
2023-05-09 07:05:34,751 INFO used_ofi_7_20: 0.009631401006019625 , std 0.09766594657648522 
2023-05-09 07:05:34,751 INFO used_ofi_8_20: 0.008394491630246557 , std 0.09123609012072074 
2023-05-09 07:05:34,751 INFO used_ofi_9_20: 0.00966438525604024 , std 0.0978314106699023 
2023-05-09 07:05:34,751 INFO used_ofi_10_20: 0.011321843819576152 , std 0.10580009296830166 
2023-05-09 07:05:34,751 INFO used_ofi_1_30: 0.18991506555619692 , std 0.3922337739550004 
2023-05-09 07:05:34,751 INFO used_ofi_2_30: 0.041725076276078174 , std 0.19996023176080197 
2023-05-09 07:05:34,751 INFO used_ofi_3_30: 0.02729446689205904 , std 0.1629401085342014 
2023-05-09 07:05:34,751 INFO used_ofi_4_30: 0.01971633544982271 , std 0.13902374461311556 
2023-05-09 07:05:34,751 INFO used_ofi_5_30: 0.014727467634204667 , std 0.12045982455278653 
2023-05-09 07:05:34,751 INFO used_ofi_6_30: 0.012855611445534758 , std 0.1126514300836709 
2023-05-09 07:05:34,751 INFO used_ofi_7_30: 0.010332316318957698 , std 0.10112150888135865 
2023-05-09 07:05:34,751 INFO used_ofi_8_30: 0.008699595942937248 , std 0.09286502556596256 
2023-05-09 07:05:34,751 INFO used_ofi_9_30: 0.010043704131277316 , std 0.09971373094313882 
