2023-05-09 06:51:52,794 INFO Starting...
2023-05-09 06:51:52,794 INFO Tickers: ['QCOM']
2023-05-09 06:53:12,718 INFO 6_1: 0.003907034671166285
2023-05-09 06:53:12,718 INFO 7_1: 0.0027268892370736412
2023-05-09 06:53:12,718 INFO 8_1: 0.0025109477321120085
2023-05-09 06:53:12,718 INFO 9_1: 0.002651560805110281
2023-05-09 06:53:12,718 INFO 10_1: 0.0032441444698887148
2023-05-09 06:53:12,718 INFO 1_2: 0.032275722148567755
2023-05-09 06:53:12,718 INFO 2_2: 0.00906452131292435
2023-05-09 06:53:12,719 INFO 3_2: 0.009310594190671328
2023-05-09 06:53:12,719 INFO 4_2: 0.009767586677915713
2023-05-09 06:53:12,719 INFO 5_2: 0.006814712144951991
2023-05-09 06:53:12,719 INFO 6_2: 0.005564260174360211
2023-05-09 06:53:12,719 INFO 7_2: 0.0034851954521714678
2023-05-09 06:53:12,719 INFO 8_2: 0.0028524366236792414
2023-05-09 06:53:12,719 INFO 9_2: 0.003294363424530955
2023-05-09 06:53:12,719 INFO 10_2: 0.003665983688883532
2023-05-09 06:53:12,719 INFO 1_3: 0.0427815274597244
2023-05-09 06:53:12,719 INFO 2_3: 0.012705395524486763
2023-05-09 06:53:12,719 INFO 3_3: 0.011716082118034632
2023-05-09 06:53:12,719 INFO 4_3: 0.012363906632919528
2023-05-09 06:53:12,719 INFO 5_3: 0.008567353661966173
2023-05-09 06:53:12,719 INFO 6_3: 0.007472580450765337
2023-05-09 06:53:12,719 INFO 7_3: 0.004996785986902896
2023-05-09 06:53:12,719 INFO 8_3: 0.004082801012414126
2023-05-09 06:53:12,719 INFO 9_3: 0.0038015748664175807
2023-05-09 06:53:12,719 INFO 10_3: 0.004534771604194287
2023-05-09 06:53:12,719 INFO 1_5: 0.06281889036197823
2023-05-09 06:53:12,719 INFO 2_5: 0.019434735446546943
2023-05-09 06:53:12,719 INFO 3_5: 0.01965067695150858
2023-05-09 06:53:12,719 INFO 4_5: 0.018621188381342656
2023-05-09 06:53:12,719 INFO 5_5: 0.012805833433771242
2023-05-09 06:53:12,719 INFO 6_5: 0.010199469687838978
2023-05-09 06:53:12,719 INFO 7_5: 0.006819734040416215
2023-05-09 06:53:12,719 INFO 8_5: 0.005785223574786068
2023-05-09 06:53:12,719 INFO 9_5: 0.005664698083644691
2023-05-09 06:53:12,719 INFO 10_5: 0.006267325539351573
2023-05-09 06:53:12,719 INFO 1_10: 0.09203627817283355
2023-05-09 06:53:12,719 INFO 2_10: 0.03056827769073159
2023-05-09 06:53:12,719 INFO 3_10: 0.0305080149451609
2023-05-09 06:53:12,719 INFO 4_10: 0.027339198907235546
2023-05-09 06:53:12,719 INFO 5_10: 0.019987143947611585
2023-05-09 06:53:12,719 INFO 6_10: 0.014910007633281106
2023-05-09 06:53:12,719 INFO 7_10: 0.010169338315053634
2023-05-09 06:53:12,719 INFO 8_10: 0.007778916074083002
2023-05-09 06:53:12,719 INFO 9_10: 0.00794966051986662
2023-05-09 06:53:12,719 INFO 10_10: 0.007728697119440762
2023-05-09 06:53:12,719 INFO 1_20: 0.11854184243300792
2023-05-09 06:53:12,719 INFO 2_20: 0.03985878429954602
2023-05-09 06:53:12,719 INFO 3_20: 0.04011490096822144
2023-05-09 06:53:12,719 INFO 4_20: 0.035620304527740954
2023-05-09 06:53:12,719 INFO 5_20: 0.024597243983769234
2023-05-09 06:53:12,719 INFO 6_20: 0.022548310634365836
2023-05-09 06:53:12,719 INFO 7_20: 0.012283556305491945
2023-05-09 06:53:12,719 INFO 8_20: 0.010319995178980355
2023-05-09 06:53:12,719 INFO 9_20: 0.011259089630790246
2023-05-09 06:53:12,719 INFO 10_20: 0.010535936683941987
2023-05-09 06:53:12,719 INFO 1_30: 0.13892069422682898
2023-05-09 06:53:12,719 INFO 2_30: 0.04751215298702342
2023-05-09 06:53:12,719 INFO 3_30: 0.04609597846611225
2023-05-09 06:53:12,719 INFO 4_30: 0.04371560001607006
2023-05-09 06:53:12,719 INFO 5_30: 0.030990116909726407
2023-05-09 06:53:12,720 INFO 6_30: 0.02645534530553212
2023-05-09 06:53:12,720 INFO 7_30: 0.01654212365915391
2023-05-09 06:53:12,720 INFO 8_30: 0.013729862199188462
2023-05-09 06:53:12,720 INFO 9_30: 0.013770037362902254
2023-05-09 06:53:12,720 INFO 10_30: 0.012675264151701417
2023-05-09 06:53:12,728 INFO Non empty regressions: 0.47573420111686954 --- 94732 / 199128
