2023-05-09 07:17:38,909 INFO Starting...
2023-05-09 07:17:38,909 INFO Tickers: ['CI']
2023-05-09 07:18:55,787 INFO 2_2: 0.015068864711732619
2023-05-09 07:18:55,787 INFO 3_2: 0.01058838893744412
2023-05-09 07:18:55,787 INFO 4_2: 0.009081502466270857
2023-05-09 07:18:55,787 INFO 5_2: 0.007283284610670766
2023-05-09 07:18:55,787 INFO 6_2: 0.005997408155269582
2023-05-09 07:18:55,787 INFO 7_2: 0.005254010829490773
2023-05-09 07:18:55,787 INFO 8_2: 0.0051937353706438425
2023-05-09 07:18:55,787 INFO 9_2: 0.005168620596124288
2023-05-09 07:18:55,787 INFO 10_2: 0.007444019167595913
2023-05-09 07:18:55,787 INFO 1_3: 0.03542690093728339
2023-05-09 07:18:55,787 INFO 2_3: 0.018906402258320524
2023-05-09 07:18:55,787 INFO 3_3: 0.014149663964316928
2023-05-09 07:18:55,787 INFO 4_3: 0.012492088846026341
2023-05-09 07:18:55,787 INFO 5_3: 0.009980611394070905
2023-05-09 07:18:55,787 INFO 6_3: 0.007343560069517696
2023-05-09 07:18:55,787 INFO 7_3: 0.006655415247681907
2023-05-09 07:18:55,787 INFO 8_3: 0.006163165667098641
2023-05-09 07:18:55,787 INFO 9_3: 0.006047637704308691
2023-05-09 07:18:55,787 INFO 10_3: 0.007931245793275268
2023-05-09 07:18:55,787 INFO 1_5: 0.05362004359924857
2023-05-09 07:18:55,787 INFO 2_5: 0.02824407542469084
2023-05-09 07:18:55,787 INFO 3_5: 0.020704620113920616
2023-05-09 07:18:55,787 INFO 4_5: 0.01726891895964558
2023-05-09 07:18:55,787 INFO 5_5: 0.014305375566338166
2023-05-09 07:18:55,787 INFO 6_5: 0.010497975749173724
2023-05-09 07:18:55,787 INFO 7_5: 0.008242668997317742
2023-05-09 07:18:55,787 INFO 8_5: 0.006901540037973539
2023-05-09 07:18:55,787 INFO 9_5: 0.008393357644435068
2023-05-09 07:18:55,787 INFO 10_5: 0.010091116401956944
2023-05-09 07:18:55,787 INFO 1_10: 0.07566579267251339
2023-05-09 07:18:55,787 INFO 2_10: 0.03999276694493837
2023-05-09 07:18:55,787 INFO 3_10: 0.031493927247521175
2023-05-09 07:18:55,787 INFO 4_10: 0.027199300804677376
2023-05-09 07:18:55,787 INFO 5_10: 0.021056226957194377
2023-05-09 07:18:55,787 INFO 6_10: 0.016088524557226525
2023-05-09 07:18:55,787 INFO 7_10: 0.012823603869684458
2023-05-09 07:18:55,787 INFO 8_10: 0.010543182343308921
2023-05-09 07:18:55,788 INFO 9_10: 0.010226736184362538
2023-05-09 07:18:55,788 INFO 10_10: 0.01197472449092352
2023-05-09 07:18:55,788 INFO 1_20: 0.09594346161960159
2023-05-09 07:18:55,788 INFO 2_20: 0.05231407532423174
2023-05-09 07:18:55,788 INFO 3_20: 0.04058045266869594
2023-05-09 07:18:55,788 INFO 4_20: 0.03642646896316165
2023-05-09 07:18:55,788 INFO 5_20: 0.028188822920747817
2023-05-09 07:18:55,788 INFO 6_20: 0.020764895572767547
2023-05-09 07:18:55,788 INFO 7_20: 0.016721416875119296
2023-05-09 07:18:55,788 INFO 8_20: 0.014089388505469999
2023-05-09 07:18:55,788 INFO 9_20: 0.013436404367961584
2023-05-09 07:18:55,788 INFO 10_20: 0.01439076579970465
2023-05-09 07:18:55,788 INFO 1_30: 0.11243382256914097
2023-05-09 07:18:55,788 INFO 2_30: 0.056764413369096774
2023-05-09 07:18:55,788 INFO 3_30: 0.04414172769556875
2023-05-09 07:18:55,788 INFO 4_30: 0.04224305074189044
2023-05-09 07:18:55,788 INFO 5_30: 0.035607727313824174
2023-05-09 07:18:55,788 INFO 6_30: 0.02543624363340466
2023-05-09 07:18:55,788 INFO 7_30: 0.02095074490421225
2023-05-09 07:18:55,788 INFO 8_30: 0.016143777061169543
2023-05-09 07:18:55,788 INFO 9_30: 0.014415880574224205
2023-05-09 07:18:55,788 INFO 10_30: 0.01662598073194499
2023-05-09 07:18:55,796 INFO Non empty regressions: 0.4617602443165265 --- 91930 / 199086
