2023-05-09 07:32:55,041 INFO Starting...
2023-05-09 07:32:55,042 INFO Tickers: ['FISV']
2023-05-09 07:34:14,371 INFO 2_10: 0.03694106303483187
2023-05-09 07:34:14,371 INFO 3_10: 0.029086818528785505
2023-05-09 07:34:14,371 INFO 4_10: 0.02682194367442047
2023-05-09 07:34:14,371 INFO 5_10: 0.0245068498654132
2023-05-09 07:34:14,371 INFO 6_10: 0.02548109758547266
2023-05-09 07:34:14,371 INFO 7_10: 0.015643204371057814
2023-05-09 07:34:14,371 INFO 8_10: 0.011208870676148005
2023-05-09 07:34:14,371 INFO 9_10: 0.010430476879193283
2023-05-09 07:34:14,371 INFO 10_10: 0.014006066449720782
2023-05-09 07:34:14,371 INFO 1_20: 0.0689204933510104
2023-05-09 07:34:14,371 INFO 2_20: 0.04654794905789241
2023-05-09 07:34:14,371 INFO 3_20: 0.04108412679281668
2023-05-09 07:34:14,371 INFO 4_20: 0.040215338877505925
2023-05-09 07:34:14,371 INFO 5_20: 0.03298883130448756
2023-05-09 07:34:14,371 INFO 6_20: 0.03635350126551766
2023-05-09 07:34:14,371 INFO 7_20: 0.019786268129042626
2023-05-09 07:34:14,372 INFO 8_20: 0.015598007311879795
2023-05-09 07:34:14,372 INFO 9_20: 0.015372022015989716
2023-05-09 07:34:14,372 INFO 10_20: 0.017882969748101725
2023-05-09 07:34:14,372 INFO 1_30: 0.08064661925997349
2023-05-09 07:34:14,372 INFO 2_30: 0.053915069703909045
2023-05-09 07:34:14,372 INFO 3_30: 0.047180707886384635
2023-05-09 07:34:14,372 INFO 4_30: 0.04857679482543891
2023-05-09 07:34:14,372 INFO 5_30: 0.03976839018118999
2023-05-09 07:34:14,372 INFO 6_30: 0.04460949740870194
2023-05-09 07:34:14,372 INFO 7_30: 0.02371841227753003
2023-05-09 07:34:14,372 INFO 8_30: 0.018581013217628863
2023-05-09 07:34:14,372 INFO 9_30: 0.016742999477722873
2023-05-09 07:34:14,372 INFO 10_30: 0.020850909967458118
2023-05-09 07:34:14,379 INFO Non empty regressions: 0.466082118034631 --- 92810 / 199128
