2023-05-09 05:44:36,192 INFO Starting...
2023-05-09 05:44:36,192 INFO Tickers: ['GOOG']
2023-05-09 05:45:51,088 INFO used_ofi_7_30: 0.01839018118998835 , std 0.1343576660477092 
2023-05-09 05:45:51,088 INFO used_ofi_8_30: 0.018058736089349565 , std 0.1331638770095133 
2023-05-09 05:45:51,088 INFO used_ofi_9_30: 0.01899280864569523 , std 0.13649938412111332 
2023-05-09 05:45:51,088 INFO used_ofi_10_30: 0.023638061950102447 , std 0.15191874136309044 
2023-05-09 05:45:51,712 INFO Grouping by horizont:
2023-05-09 05:45:51,713 INFO 1: 0.05729480535133181
2023-05-09 05:45:51,713 INFO 2: 0.0855027921738781
2023-05-09 05:45:51,713 INFO 3: 0.11554377084086617
2023-05-09 05:45:51,713 INFO 5: 0.1756006186975212
2023-05-09 05:45:51,713 INFO 10: 0.2463641476839018
2023-05-09 05:45:51,713 INFO 20: 0.32546402314089434
2023-05-09 05:45:51,713 INFO 30: 0.37961010003615764
2023-05-09 05:45:51,713 INFO Grouping by level:
2023-05-09 05:45:51,713 INFO 1: 0.6519575348519545
2023-05-09 05:45:51,713 INFO 2: 0.1462476397091318
2023-05-09 05:45:51,713 INFO 3: 0.08475955164517295
2023-05-09 05:45:51,713 INFO 4: 0.07497187738540034
2023-05-09 05:45:51,713 INFO 5: 0.0728928126632116
2023-05-09 05:45:51,713 INFO 6: 0.06544031979430315
2023-05-09 05:45:51,713 INFO 7: 0.06332610180386486
2023-05-09 05:45:51,713 INFO 8: 0.0669519103290346
2023-05-09 05:45:51,713 INFO 9: 0.06901088746936644
2023-05-09 05:45:51,713 INFO 10: 0.08982162227311076
2023-05-09 05:45:51,713 INFO Grouping by level and horizont:
2023-05-09 05:45:51,713 INFO 1_1: 0.027464746293841148
2023-05-09 05:45:51,713 INFO 2_1: 0.0056044353380740024
2023-05-09 05:45:51,713 INFO 3_1: 0.002947852637499498
2023-05-09 05:45:51,713 INFO 4_1: 0.0027871519826443295
2023-05-09 05:45:51,713 INFO 5_1: 0.0028223052508938975
2023-05-09 05:45:51,713 INFO 6_1: 0.0025712104776826968
2023-05-09 05:45:51,713 INFO 7_1: 0.002701779759752521
2023-05-09 05:45:51,713 INFO 8_1: 0.0027268892370736412
2023-05-09 05:45:51,713 INFO 9_1: 0.0034048451247438833
2023-05-09 05:45:51,713 INFO 10_1: 0.00426358924912619
2023-05-09 05:45:51,713 INFO 1_2: 0.039788477763046885
2023-05-09 05:45:51,713 INFO 2_2: 0.0092001124904584
2023-05-09 05:45:51,713 INFO 3_2: 0.004821019645655056
2023-05-09 05:45:51,713 INFO 4_2: 0.004630187618014543
2023-05-09 05:45:51,713 INFO 5_2: 0.004474508858623599
2023-05-09 05:45:51,713 INFO 6_2: 0.0037061588525973245
2023-05-09 05:45:51,713 INFO 7_2: 0.00352537061588526
2023-05-09 05:45:51,713 INFO 8_2: 0.004369049053874895
2023-05-09 05:45:51,713 INFO 9_2: 0.004650275199871439
2023-05-09 05:45:51,713 INFO 10_2: 0.006337632075850709
2023-05-09 05:45:51,714 INFO 1_3: 0.05447752199590213
2023-05-09 05:45:51,714 INFO 2_3: 0.012921337029448395
2023-05-09 05:45:51,714 INFO 3_3: 0.006940259531557591
2023-05-09 05:45:51,714 INFO 4_3: 0.0059258366477843395
