2023-05-09 07:29:02,884 INFO Starting...
2023-05-09 07:29:02,884 INFO Tickers: ['ISRG']
2023-05-09 07:30:17,094 INFO used_ofi_7_10: 0.006847697756788666 , std 0.0824670042636468 
2023-05-09 07:30:17,094 INFO used_ofi_8_10: 0.006345298801778493 , std 0.07940425671772668 
2023-05-09 07:30:17,094 INFO used_ofi_9_10: 0.005501268557361401 , std 0.0739662396071423 
2023-05-09 07:30:17,094 INFO used_ofi_10_10: 0.008354894621819186 , std 0.0910224717181284 
2023-05-09 07:30:17,094 INFO used_ofi_1_20: 0.15000125599738753 , std 0.3570726525465003 
2023-05-09 07:30:17,094 INFO used_ofi_2_20: 0.04797910020347158 , std 0.21372203009314877 
2023-05-09 07:30:17,094 INFO used_ofi_3_20: 0.026607048657338792 , std 0.16093201551923966 
2023-05-09 07:30:17,094 INFO used_ofi_4_20: 0.019759350900550126 , std 0.13917226358919024 
2023-05-09 07:30:17,094 INFO used_ofi_5_20: 0.014705217413147781 , std 0.12037015408306094 
2023-05-09 07:30:17,094 INFO used_ofi_6_20: 0.011550151975683891 , std 0.1068491739089381 
2023-05-09 07:30:17,094 INFO used_ofi_7_20: 0.008636238036624885 , std 0.09252920311555503 
2023-05-09 07:30:17,094 INFO used_ofi_8_20: 0.007998191363761963 , std 0.08907424037661285 
2023-05-09 07:30:17,094 INFO used_ofi_9_20: 0.007189329046195584 , std 0.08448457015373348 
2023-05-09 07:30:17,094 INFO used_ofi_10_20: 0.00998769122560225 , std 0.0994381076327596 
2023-05-09 07:30:17,094 INFO used_ofi_1_30: 0.16910748825642444 , std 0.37484682961448096 
2023-05-09 07:30:17,094 INFO used_ofi_2_30: 0.05575623602702907 , std 0.22945038280884889 
2023-05-09 07:30:17,094 INFO used_ofi_3_30: 0.03277148383531362 , std 0.1780379557356953 
2023-05-09 07:30:17,094 INFO used_ofi_4_30: 0.023160591825969003 , std 0.15041335981966444 
2023-05-09 07:30:17,094 INFO used_ofi_5_30: 0.017578939435805973 , std 0.13141506886243387 
2023-05-09 07:30:17,094 INFO used_ofi_6_30: 0.01429827425958954 , std 0.11871745285671818 
2023-05-09 07:30:17,094 INFO used_ofi_7_30: 0.010781481574518324 , std 0.10327265480066179 
2023-05-09 07:30:17,094 INFO used_ofi_8_30: 0.00914868497073526 , std 0.09521022284419624 
2023-05-09 07:30:17,094 INFO used_ofi_9_30: 0.007350096711798839 , std 0.08541705210393322 
2023-05-09 07:30:17,094 INFO used_ofi_10_30: 0.010178602828506116 , std 0.10037429388526546 
2023-05-09 07:30:17,721 INFO Grouping by horizont:
2023-05-09 07:30:17,721 INFO 1: 0.061574015926046874
2023-05-09 07:30:17,721 INFO 2: 0.0871511467256148
2023-05-09 07:30:17,721 INFO 3: 0.11339144414579617
2023-05-09 07:30:17,721 INFO 5: 0.1666105654500239
2023-05-09 07:30:17,721 INFO 10: 0.23800145695696953
2023-05-09 07:30:17,721 INFO 20: 0.3044135748197643
2023-05-09 07:30:17,721 INFO 30: 0.3501318797256901
2023-05-09 07:30:17,721 INFO Grouping by level:
2023-05-09 07:30:17,721 INFO 1: 0.633032731291919
2023-05-09 07:30:17,721 INFO 2: 0.20886231756637944
2023-05-09 07:30:17,721 INFO 3: 0.1192443919716647
