2023-05-09 06:44:42,548 INFO Starting...
2023-05-09 06:44:42,548 INFO Tickers: ['IBM']
2023-05-09 06:46:03,291 INFO used_ofi_3_5: 0.017933188702743963 , std 0.13270866379289536 
2023-05-09 06:46:03,291 INFO used_ofi_4_5: 0.026751637137921336 , std 0.16135670747868627 
2023-05-09 06:46:03,291 INFO used_ofi_5_5: 0.029036599574143264 , std 0.16790912857648368 
2023-05-09 06:46:03,291 INFO used_ofi_6_5: 0.025425856735366195 , std 0.15741468338321818 
2023-05-09 06:46:03,291 INFO used_ofi_7_5: 0.018435378249166367 , std 0.1345195713566488 
2023-05-09 06:46:03,291 INFO used_ofi_8_5: 0.012404081796633321 , std 0.11068071445114432 
2023-05-09 06:46:03,291 INFO used_ofi_9_5: 0.008642682093929533 , std 0.09256341685651413 
2023-05-09 06:46:03,291 INFO used_ofi_10_5: 0.007723675223976538 , std 0.08754438911210168 
2023-05-09 06:46:03,291 INFO used_ofi_1_10: 0.01636635731790607 , std 0.1268798631227536 
2023-05-09 06:46:03,291 INFO used_ofi_2_10: 0.016823349805150455 , std 0.12860919370901908 
2023-05-09 06:46:03,291 INFO used_ofi_3_10: 0.02674159334699289 , std 0.16132724671380516 
2023-05-09 06:46:03,291 INFO used_ofi_4_10: 0.042339600658872684 , std 0.2013627544381529 
2023-05-09 06:46:03,291 INFO used_ofi_5_10: 0.0443081836808485 , std 0.20577893123386728 
2023-05-09 06:46:03,291 INFO used_ofi_6_10: 0.03755875617693142 , std 0.19012652632227103 
2023-05-09 06:46:03,291 INFO used_ofi_7_10: 0.027540074725804508 , std 0.16365090592447576 
2023-05-09 06:46:03,291 INFO used_ofi_8_10: 0.018410268771845244 , std 0.13442964991248643 
2023-05-09 06:46:03,291 INFO used_ofi_9_10: 0.012107789964244104 , std 0.10936723177636826 
2023-05-09 06:46:03,291 INFO used_ofi_10_10: 0.010194447792374753 , std 0.10045158548566217 
2023-05-09 06:46:03,291 INFO used_ofi_1_20: 0.022774295930255917 , std 0.14918320071354227 
2023-05-09 06:46:03,291 INFO used_ofi_2_20: 0.021825157687517575 , std 0.14611235464337902 
2023-05-09 06:46:03,291 INFO used_ofi_3_20: 0.0361325378650918 , std 0.18661987453784099 
2023-05-09 06:46:03,291 INFO used_ofi_4_20: 0.054226427222690936 , std 0.2264639525693949 
2023-05-09 06:46:03,291 INFO used_ofi_5_20: 0.05738519946968784 , std 0.23257716644484247 
2023-05-09 06:46:03,291 INFO used_ofi_6_20: 0.051489494194688845 , std 0.22099395055581036 
2023-05-09 06:46:03,291 INFO used_ofi_7_20: 0.03411875778393797 , std 0.18153420655958744 
2023-05-09 06:46:03,291 INFO used_ofi_8_20: 0.024009682214455024 , std 0.15307912128835832 
2023-05-09 06:46:03,291 INFO used_ofi_9_20: 0.016547145554618135 , std 0.12756699231624305 
2023-05-09 06:46:03,291 INFO used_ofi_10_20: 0.013609336708047086 , std 0.11586251620957524 
2023-05-09 06:46:03,291 INFO used_ofi_1_30: 0.025365593989795508 , std 0.15723288660881463 
2023-05-09 06:46:03,291 INFO used_ofi_2_30: 0.024346149210558034 , std 0.1541214268983235 
2023-05-09 06:46:03,291 INFO used_ofi_3_30: 0.04164155718934555 , std 0.19976871102400395 
2023-05-09 06:46:03,291 INFO used_ofi_4_30: 0.05996645373829898 , std 0.23742467892860553 
2023-05-09 06:46:03,291 INFO used_ofi_5_30: 0.06792113615362982 , std 0.25161052326409145 
2023-05-09 06:46:03,291 INFO used_ofi_6_30: 0.059343738700735206 , std 0.23626692400281943 
2023-05-09 06:46:03,291 INFO used_ofi_7_30: 0.042736330400546384 , std 0.20226204899694286 
2023-05-09 06:46:03,292 INFO used_ofi_8_30: 0.029684424089028164 , std 0.16971522929758212 
2023-05-09 06:46:03,292 INFO used_ofi_9_30: 0.01856594753123619 , std 0.1349861219663102 
2023-05-09 06:46:03,292 INFO used_ofi_10_30: 0.0167279337913302 , std 0.1282501852723928 
2023-05-09 06:46:03,935 INFO Grouping by horizont:
2023-05-09 06:46:03,935 INFO 1: 0.059127797195773574
2023-05-09 06:46:03,935 INFO 2: 0.08158571371178337
2023-05-09 06:46:03,935 INFO 3: 0.10896006588726849
2023-05-09 06:46:03,935 INFO 5: 0.16900184805753085
2023-05-09 06:46:03,935 INFO 10: 0.2523904222409706
2023-05-09 06:46:03,935 INFO 20: 0.33211803463099115
2023-05-09 06:46:03,935 INFO 30: 0.38629926479450405
2023-05-09 06:46:03,936 INFO Grouping by level:
2023-05-09 06:46:03,936 INFO 1: 0.09368848178056324
2023-05-09 06:46:03,936 INFO 2: 0.0905196657426379
2023-05-09 06:46:03,936 INFO 3: 0.14639327467759433
2023-05-09 06:46:03,936 INFO 4: 0.21733257000522277
2023-05-09 06:46:03,936 INFO 5: 0.23829396167289382
2023-05-09 06:46:03,936 INFO 6: 0.21276766702824312
2023-05-09 06:46:03,936 INFO 7: 0.15104857177293
2023-05-09 06:46:03,936 INFO 8: 0.10603732272709011
2023-05-09 06:46:03,936 INFO 9: 0.07122554336908923
2023-05-09 06:46:03,936 INFO 10: 0.06217608774255755
2023-05-09 06:46:03,936 INFO Grouping by level and horizont:
2023-05-09 06:46:03,936 INFO 1_1: 0.0038367281346671487
2023-05-09 06:46:03,936 INFO 2_1: 0.003389779438351211
2023-05-09 06:46:03,936 INFO 3_1: 0.005443734683218834
2023-05-09 06:46:03,936 INFO 4_1: 0.0076835000602627455
2023-05-09 06:46:03,936 INFO 5_1: 0.009235265758707967
2023-05-09 06:46:03,936 INFO 6_1: 0.009586798441203647
2023-05-09 06:46:03,936 INFO 7_1: 0.007095938290948536
2023-05-09 06:46:03,936 INFO 8_1: 0.0052930778192921135
2023-05-09 06:46:03,936 INFO 9_1: 0.003927122253023181
2023-05-09 06:46:03,936 INFO 10_1: 0.003635852316098188
2023-05-09 06:46:03,936 INFO 1_2: 0.006207062793780885
2023-05-09 06:46:03,936 INFO 2_2: 0.0052579245510425456
2023-05-09 06:46:03,936 INFO 3_2: 0.008135470652042906
2023-05-09 06:46:03,936 INFO 4_2: 0.010797075248081637
2023-05-09 06:46:03,936 INFO 5_2: 0.01312723474348158
2023-05-09 06:46:03,936 INFO 6_2: 0.011947089309388936
2023-05-09 06:46:03,936 INFO 7_2: 0.008858623598891165
2023-05-09 06:46:03,936 INFO 8_2: 0.007437427182515769
2023-05-09 06:46:03,936 INFO 9_2: 0.005172552328150737
2023-05-09 06:46:03,936 INFO 10_2: 0.004645253304407216
2023-05-09 06:46:03,936 INFO 1_3: 0.007583062150978265
2023-05-09 06:46:03,936 INFO 2_3: 0.007783937969547226
2023-05-09 06:46:03,936 INFO 3_3: 0.01036519223815837
2023-05-09 06:46:03,936 INFO 4_3: 0.015567875939094452
2023-05-09 06:46:03,936 INFO 5_3: 0.01728034229239484
2023-05-09 06:46:03,936 INFO 6_3: 0.01741593346992889
2023-05-09 06:46:03,936 INFO 7_3: 0.012263468723635049
2023-05-09 06:46:03,936 INFO 8_3: 0.008798360853320477
2023-05-09 06:46:03,936 INFO 9_3: 0.006262303643887349
2023-05-09 06:46:03,936 INFO 10_3: 0.00563958860632357
2023-05-09 06:46:03,936 INFO 1_5: 0.011555381463179462
2023-05-09 06:46:03,936 INFO 2_5: 0.011093367080470854
2023-05-09 06:46:03,936 INFO 3_5: 0.017933188702743963
2023-05-09 06:46:03,936 INFO 4_5: 0.026751637137921336
2023-05-09 06:46:03,937 INFO 5_5: 0.029036599574143264
2023-05-09 06:46:03,937 INFO 6_5: 0.025425856735366195
2023-05-09 06:46:03,937 INFO 7_5: 0.018435378249166367
2023-05-09 06:46:03,937 INFO 8_5: 0.012404081796633321
2023-05-09 06:46:03,937 INFO 9_5: 0.008642682093929533
2023-05-09 06:46:03,937 INFO 10_5: 0.007723675223976538
2023-05-09 06:46:03,937 INFO 1_10: 0.01636635731790607
2023-05-09 06:46:03,937 INFO 2_10: 0.016823349805150455
2023-05-09 06:46:03,937 INFO 3_10: 0.02674159334699289
2023-05-09 06:46:03,937 INFO 4_10: 0.042339600658872684
2023-05-09 06:46:03,937 INFO 5_10: 0.0443081836808485
2023-05-09 06:46:03,937 INFO 6_10: 0.03755875617693142
2023-05-09 06:46:03,937 INFO 7_10: 0.027540074725804508
2023-05-09 06:46:03,937 INFO 8_10: 0.018410268771845244
2023-05-09 06:46:03,937 INFO 9_10: 0.012107789964244104
2023-05-09 06:46:03,937 INFO 10_10: 0.010194447792374753
2023-05-09 06:46:03,937 INFO 1_20: 0.022774295930255917
2023-05-09 06:46:03,937 INFO 2_20: 0.021825157687517575
2023-05-09 06:46:03,937 INFO 3_20: 0.0361325378650918
2023-05-09 06:46:03,937 INFO 4_20: 0.054226427222690936
2023-05-09 06:46:03,937 INFO 5_20: 0.05738519946968784
2023-05-09 06:46:03,937 INFO 6_20: 0.051489494194688845
2023-05-09 06:46:03,937 INFO 7_20: 0.03411875778393797
2023-05-09 06:46:03,937 INFO 8_20: 0.024009682214455024
2023-05-09 06:46:03,937 INFO 9_20: 0.016547145554618135
2023-05-09 06:46:03,937 INFO 10_20: 0.013609336708047086
2023-05-09 06:46:03,937 INFO 1_30: 0.025365593989795508
2023-05-09 06:46:03,937 INFO 2_30: 0.024346149210558034
2023-05-09 06:46:03,937 INFO 3_30: 0.04164155718934555
2023-05-09 06:46:03,937 INFO 4_30: 0.05996645373829898
2023-05-09 06:46:03,937 INFO 5_30: 0.06792113615362982
2023-05-09 06:46:03,937 INFO 6_30: 0.059343738700735206
2023-05-09 06:46:03,937 INFO 7_30: 0.042736330400546384
2023-05-09 06:46:03,937 INFO 8_30: 0.029684424089028164
2023-05-09 06:46:03,937 INFO 9_30: 0.01856594753123619
2023-05-09 06:46:03,937 INFO 10_30: 0.0167279337913302
2023-05-09 06:46:03,946 INFO Non empty regressions: 0.47686412759631996 --- 94957 / 199128
