2023-05-09 07:35:35,932 INFO Starting...
2023-05-09 07:35:35,932 INFO Tickers: ['SYK']
2023-05-09 07:36:50,726 INFO used_ofi_5_2: 0.007503304368802738 , std 0.08629602999183593 
2023-05-09 07:36:50,726 INFO used_ofi_6_2: 0.005161348685037114 , std 0.07165688497826694 
2023-05-09 07:36:50,726 INFO used_ofi_7_2: 0.004508013408450138 , std 0.06699023229963733 
2023-05-09 07:36:50,726 INFO used_ofi_8_2: 0.004513039064423884 , std 0.06702739397311275 
2023-05-09 07:36:50,726 INFO used_ofi_9_2: 0.004970373758034768 , std 0.07032545159997344 
2023-05-09 07:36:50,726 INFO used_ofi_10_2: 0.006970584835585665 , std 0.0831985323346246 
2023-05-09 07:36:50,726 INFO used_ofi_1_3: 0.03264666120545384 , std 0.1777100355005033 
2023-05-09 07:36:50,726 INFO used_ofi_2_3: 0.021620371999055178 , std 0.14544047412490665 
2023-05-09 07:36:50,726 INFO used_ofi_3_3: 0.015293071128108996 , std 0.12271590403684275 
2023-05-09 07:36:50,726 INFO used_ofi_4_3: 0.012765166173314772 , std 0.11225959516176082 
2023-05-09 07:36:50,726 INFO used_ofi_5_3: 0.00999602973178074 , std 0.09947918938844495 
2023-05-09 07:36:50,726 INFO used_ofi_6_3: 0.007171611074535504 , std 0.08438115351860927 
2023-05-09 07:36:50,726 INFO used_ofi_7_3: 0.004588423904030073 , std 0.06758232217160788 
2023-05-09 07:36:50,726 INFO used_ofi_8_3: 0.005261861804512034 , std 0.0723475957780371 
2023-05-09 07:36:50,726 INFO used_ofi_9_3: 0.005271913116459526 , std 0.07241629684368033 
2023-05-09 07:36:50,726 INFO used_ofi_10_3: 0.006960533523638173 , std 0.0831389469304518 
2023-05-09 07:36:50,726 INFO used_ofi_1_5: 0.04982937897969132 , std 0.2175923067807996 
2023-05-09 07:36:50,726 INFO used_ofi_2_5: 0.030626347504007962 , std 0.17230314664152746 
2023-05-09 07:36:50,726 INFO used_ofi_3_5: 0.021751039054372572 , std 0.14586956966560136 
2023-05-09 07:36:50,726 INFO used_ofi_4_5: 0.018202925936907914 , std 0.13368462673113674 
2023-05-09 07:36:50,726 INFO used_ofi_5_5: 0.015398609903557662 , std 0.12313201337018621 
2023-05-09 07:36:50,726 INFO used_ofi_6_5: 0.00918689912000764 , std 0.09540702282623877 
2023-05-09 07:36:50,726 INFO used_ofi_7_5: 0.006498173174053544 , std 0.08034890739427361 
2023-05-09 07:36:50,726 INFO used_ofi_8_5: 0.006357454806788656 , std 0.07947979350230032 
2023-05-09 07:36:50,726 INFO used_ofi_9_5: 0.006462993582237322 , std 0.08013253581531837 
2023-05-09 07:36:50,726 INFO used_ofi_10_5: 0.008458179003814473 , std 0.09157859035688368 
2023-05-09 07:36:50,726 INFO used_ofi_1_10: 0.07046974806386604 , std 0.25593702872324137 
2023-05-09 07:36:50,726 INFO used_ofi_2_10: 0.04195417606883138 , std 0.20048447116726245 
2023-05-09 07:36:50,726 INFO used_ofi_3_10: 0.033681946336045515 , std 0.18040918165952993 
2023-05-09 07:36:50,726 INFO used_ofi_4_10: 0.027912493278185135 , std 0.16472214786476166 
2023-05-09 07:36:50,726 INFO used_ofi_5_10: 0.022057604068771077 , std 0.146870916697338 
2023-05-09 07:36:50,726 INFO used_ofi_6_10: 0.014187426813884883 , std 0.1182630277571378 
2023-05-09 07:36:50,726 INFO used_ofi_7_10: 0.008855205825740405 , std 0.09368452996906253 
2023-05-09 07:36:50,726 INFO used_ofi_8_10: 0.007784741103332512 , std 0.08788708044580044 
2023-05-09 07:36:50,726 INFO used_ofi_9_10: 0.007558586584513943 , std 0.08661093668445313 
2023-05-09 07:36:50,726 INFO used_ofi_10_10: 0.010362902617864198 , std 0.10126950610720319 
2023-05-09 07:36:50,726 INFO used_ofi_1_20: 0.09382397137386357 , std 0.29158366512803835 
2023-05-09 07:36:50,726 INFO used_ofi_2_20: 0.05573452474884284 , std 0.22940834226301246 
2023-05-09 07:36:50,726 INFO used_ofi_3_20: 0.04140135391171933 , std 0.19921667050223452 
2023-05-09 07:36:50,726 INFO used_ofi_4_20: 0.0366320063926344 , std 0.18785660089622722 
2023-05-09 07:36:50,726 INFO used_ofi_5_20: 0.03203855683263058 , std 0.17610249205707704 
2023-05-09 07:36:50,726 INFO used_ofi_6_20: 0.019484468210213136 , std 0.13822020007501917 
2023-05-09 07:36:50,726 INFO used_ofi_7_20: 0.012488755094758743 , std 0.11105307780940554 
2023-05-09 07:36:50,726 INFO used_ofi_8_20: 0.009850285708542107 , std 0.09875858231061341 
2023-05-09 07:36:50,726 INFO used_ofi_9_20: 0.008719513114449264 , std 0.09297033508327379 
2023-05-09 07:36:50,726 INFO used_ofi_10_20: 0.011709778418828117 , std 0.10757629621905591 
2023-05-09 07:36:50,726 INFO used_ofi_1_30: 0.10626749556485861 , std 0.3081796796533336 
2023-05-09 07:36:50,726 INFO used_ofi_2_30: 0.061810542821101724 , std 0.24081112851623465 
2023-05-09 07:36:50,726 INFO used_ofi_3_30: 0.04868855507365099 , std 0.21521612318432615 
2023-05-09 07:36:50,726 INFO used_ofi_4_30: 0.043547309012508854 , std 0.20408562146873044 
2023-05-09 07:36:50,726 INFO used_ofi_5_30: 0.03451620522768734 , std 0.1825509156492169 
2023-05-09 07:36:50,726 INFO used_ofi_6_30: 0.02212796325240352 , std 0.1470996821706417 
2023-05-09 07:36:50,726 INFO used_ofi_7_30: 0.013780348680011458 , std 0.11657808829393612 
2023-05-09 07:36:50,727 INFO used_ofi_8_30: 0.011121776669899839 , std 0.10487174430514973 
2023-05-09 07:36:50,727 INFO used_ofi_9_30: 0.01076998075173762 , std 0.1032181586076056 
2023-05-09 07:36:50,727 INFO used_ofi_10_30: 0.012272651887887667 , std 0.11010010855365399 
2023-05-09 07:36:51,342 INFO Grouping by horizont:
2023-05-09 07:36:51,342 INFO 1: 0.07113816030837425
2023-05-09 07:36:51,342 INFO 2: 0.09679915971032121
2023-05-09 07:36:51,342 INFO 3: 0.12157564366088883
2023-05-09 07:36:51,342 INFO 5: 0.17277200106543905
2023-05-09 07:36:51,342 INFO 10: 0.24482483076103506
2023-05-09 07:36:51,342 INFO 20: 0.3218832138064821
2023-05-09 07:36:51,342 INFO 30: 0.3649028289417476
2023-05-09 07:36:51,342 INFO Grouping by level:
2023-05-09 07:36:51,342 INFO 1: 0.39681574437503453
2023-05-09 07:36:51,342 INFO 2: 0.23984943134702658
2023-05-09 07:36:51,342 INFO 3: 0.17951140572623242
2023-05-09 07:36:51,342 INFO 4: 0.15571492469054524
2023-05-09 07:36:51,342 INFO 5: 0.12706365998421942
2023-05-09 07:36:51,342 INFO 6: 0.08179255097271572
2023-05-09 07:36:51,342 INFO 7: 0.054141391805165376
2023-05-09 07:36:51,342 INFO 8: 0.04830660521964629
2023-05-09 07:36:51,342 INFO 9: 0.0480452711090115
2023-05-09 07:36:51,342 INFO 10: 0.06265485302469104
2023-05-09 07:36:51,342 INFO Grouping by level and horizont:
2023-05-09 07:36:51,342 INFO 1_1: 0.018032053633800553
2023-05-09 07:36:51,342 INFO 2_1: 0.011528854803773263
2023-05-09 07:36:51,342 INFO 3_1: 0.007945562094492384
2023-05-09 07:36:51,342 INFO 4_1: 0.006553455389764749
2023-05-09 07:36:51,342 INFO 5_1: 0.005553349850989301
2023-05-09 07:36:51,342 INFO 6_1: 0.004472833816633916
2023-05-09 07:36:51,342 INFO 7_1: 0.003422471718121008
2023-05-09 07:36:51,342 INFO 8_1: 0.003417446062147262
2023-05-09 07:36:51,342 INFO 9_1: 0.004291910201579061
2023-05-09 07:36:51,342 INFO 10_1: 0.005920222737072756
2023-05-09 07:36:51,342 INFO 1_2: 0.025746435553500622
2023-05-09 07:36:51,342 INFO 2_2: 0.01657461340141422
2023-05-09 07:36:51,342 INFO 3_2: 0.010749878127842637
2023-05-09 07:36:51,342 INFO 4_2: 0.010101568507229406
2023-05-09 07:36:51,342 INFO 5_2: 0.007503304368802738
2023-05-09 07:36:51,342 INFO 6_2: 0.005161348685037114
2023-05-09 07:36:51,342 INFO 7_2: 0.004508013408450138
2023-05-09 07:36:51,342 INFO 8_2: 0.004513039064423884
2023-05-09 07:36:51,342 INFO 9_2: 0.004970373758034768
2023-05-09 07:36:51,342 INFO 10_2: 0.006970584835585665
2023-05-09 07:36:51,343 INFO 1_3: 0.03264666120545384
2023-05-09 07:36:51,343 INFO 2_3: 0.021620371999055178
2023-05-09 07:36:51,343 INFO 3_3: 0.015293071128108996
2023-05-09 07:36:51,343 INFO 4_3: 0.012765166173314772
2023-05-09 07:36:51,343 INFO 5_3: 0.00999602973178074
2023-05-09 07:36:51,343 INFO 6_3: 0.007171611074535504
2023-05-09 07:36:51,343 INFO 7_3: 0.004588423904030073
2023-05-09 07:36:51,343 INFO 8_3: 0.005261861804512034
2023-05-09 07:36:51,343 INFO 9_3: 0.005271913116459526
2023-05-09 07:36:51,343 INFO 10_3: 0.006960533523638173
2023-05-09 07:36:51,343 INFO 1_5: 0.04982937897969132
2023-05-09 07:36:51,343 INFO 2_5: 0.030626347504007962
2023-05-09 07:36:51,343 INFO 3_5: 0.021751039054372572
2023-05-09 07:36:51,343 INFO 4_5: 0.018202925936907914
2023-05-09 07:36:51,343 INFO 5_5: 0.015398609903557662
2023-05-09 07:36:51,343 INFO 6_5: 0.00918689912000764
2023-05-09 07:36:51,343 INFO 7_5: 0.006498173174053544
2023-05-09 07:36:51,343 INFO 8_5: 0.006357454806788656
2023-05-09 07:36:51,343 INFO 9_5: 0.006462993582237322
2023-05-09 07:36:51,343 INFO 10_5: 0.008458179003814473
2023-05-09 07:36:51,343 INFO 1_10: 0.07046974806386604
2023-05-09 07:36:51,343 INFO 2_10: 0.04195417606883138
2023-05-09 07:36:51,343 INFO 3_10: 0.033681946336045515
2023-05-09 07:36:51,343 INFO 4_10: 0.027912493278185135
2023-05-09 07:36:51,343 INFO 5_10: 0.022057604068771077
2023-05-09 07:36:51,343 INFO 6_10: 0.014187426813884883
2023-05-09 07:36:51,343 INFO 7_10: 0.008855205825740405
2023-05-09 07:36:51,343 INFO 8_10: 0.007784741103332512
2023-05-09 07:36:51,343 INFO 9_10: 0.007558586584513943
2023-05-09 07:36:51,343 INFO 10_10: 0.010362902617864198
2023-05-09 07:36:51,343 INFO 1_20: 0.09382397137386357
2023-05-09 07:36:51,343 INFO 2_20: 0.05573452474884284
2023-05-09 07:36:51,343 INFO 3_20: 0.04140135391171933
2023-05-09 07:36:51,343 INFO 4_20: 0.0366320063926344
2023-05-09 07:36:51,343 INFO 5_20: 0.03203855683263058
2023-05-09 07:36:51,343 INFO 6_20: 0.019484468210213136
2023-05-09 07:36:51,343 INFO 7_20: 0.012488755094758743
2023-05-09 07:36:51,343 INFO 8_20: 0.009850285708542107
2023-05-09 07:36:51,343 INFO 9_20: 0.008719513114449264
2023-05-09 07:36:51,343 INFO 10_20: 0.011709778418828117
2023-05-09 07:36:51,343 INFO 1_30: 0.10626749556485861
2023-05-09 07:36:51,343 INFO 2_30: 0.061810542821101724
2023-05-09 07:36:51,343 INFO 3_30: 0.04868855507365099
2023-05-09 07:36:51,343 INFO 4_30: 0.043547309012508854
2023-05-09 07:36:51,343 INFO 5_30: 0.03451620522768734
2023-05-09 07:36:51,343 INFO 6_30: 0.02212796325240352
2023-05-09 07:36:51,343 INFO 7_30: 0.013780348680011458
2023-05-09 07:36:51,343 INFO 8_30: 0.011121776669899839
2023-05-09 07:36:51,343 INFO 9_30: 0.01076998075173762
2023-05-09 07:36:51,343 INFO 10_30: 0.012272651887887667
2023-05-09 07:36:51,351 INFO Non empty regressions: 0.45163057408068186 --- 89865 / 198979
