2023-04-20 05:10:45,928 INFO Tickers: ['CAT']
2023-04-20 05:10:54,320 INFO Negative OS: -0.03583093979317087 --- ticker CAT --- day 2017-05-26 --- time 46800
2023-04-20 05:11:04,245 INFO Negative OS: -0.30370878174859106 --- ticker CAT --- day 2017-11-30 --- time 37800
2023-04-20 05:11:24,719 INFO Negative OS: -0.3811451912825987 --- ticker CAT --- day 2018-11-29 --- time 50400
2023-04-20 05:11:33,582 INFO Negative OS: -0.08639767968802259 --- ticker CAT --- day 2019-05-08 --- time 36000
2023-04-20 05:11:39,753 INFO Negative OS: -0.4812889163702154 --- ticker CAT --- day 2019-08-21 --- time 45000
2023-04-20 05:11:40,689 INFO Negative OS: -48.72675371133742 --- ticker CAT --- day 2019-09-06 --- time 52200
2023-04-20 05:11:42,561 INFO Negative OS: -0.21938486052255834 --- ticker CAT --- day 2019-10-10 --- time 39600
2023-04-20 05:11:43,372 INFO Negative OS: -1.3359412500720733 --- ticker CAT --- day 2019-10-24 --- time 41400
2023-04-20 05:11:43,778 INFO Negative OS: -0.3393372166825237 --- ticker CAT --- day 2019-10-31 --- time 36000
2023-04-20 05:11:46,200 INFO Negative OS: -9.132016355875068 --- ticker CAT --- day 2019-12-13 --- time 36000
2023-04-20 05:11:46,282 INFO p_ofi_add_3: 0.2844298196741732 , std 0.29665806442012804 
2023-04-20 05:11:46,282 INFO p_ofi_add_4: 0.338750375752641 , std 0.3019475047604401 
2023-04-20 05:11:46,282 INFO p_ofi_add_5: 0.3849860970231827 , std 0.306908607498992 
2023-04-20 05:11:46,282 INFO p_ofi_add_6: 0.3954955344994487 , std 0.3061455576502076 
2023-04-20 05:11:46,283 INFO p_ofi_add_7: 0.4083454019307092 , std 0.3076914865383057 
2023-04-20 05:11:46,283 INFO p_ofi_add_8: 0.4010195357225779 , std 0.30474919002014433 
2023-04-20 05:11:46,283 INFO p_ofi_add_9: 0.40738304309136736 , std 0.3074567927400889 
2023-04-20 05:11:46,283 INFO p_ofi_add_10: 0.35691129352720014 , std 0.309087899194913 
2023-04-20 05:11:46,283 INFO p_ofi_cancel_1: 0.1723976588125567 , std 0.25282367607879425 
2023-04-20 05:11:46,283 INFO p_ofi_cancel_2: 0.15281100711938533 , std 0.23682914135479227 
2023-04-20 05:11:46,283 INFO p_ofi_cancel_3: 0.2957930986512082 , std 0.2974481073236897 
2023-04-20 05:11:46,283 INFO p_ofi_cancel_4: 0.3556648965973839 , std 0.30689419554925584 
2023-04-20 05:11:46,283 INFO p_ofi_cancel_5: 0.40230310941374103 , std 0.3077112266034818 
2023-04-20 05:11:46,283 INFO p_ofi_cancel_6: 0.40681549458000266 , std 0.30270777982947067 
2023-04-20 05:11:46,283 INFO p_ofi_cancel_7: 0.4233948746878099 , std 0.30531247219360036 
2023-04-20 05:11:46,283 INFO p_ofi_cancel_8: 0.4190291128603449 , std 0.3063272178722635 
2023-04-20 05:11:46,283 INFO p_ofi_cancel_9: 0.42393133537001654 , std 0.3053501670309181 
2023-04-20 05:11:46,283 INFO p_ofi_cancel_10: 0.36230453860218353 , std 0.3089177272685167 
2023-04-20 05:11:46,283 INFO p_ofi_trade_1: 0.40163591832315954 , std 0.3077500444282223 
2023-04-20 05:11:46,283 INFO p_ofi_trade_2: 0.35807386935302465 , std 0.3044540577886793 
2023-04-20 05:11:46,283 INFO p_ofi_trade_3: 0.3877983246986023 , std 0.3031027383452595 
2023-04-20 05:11:46,283 INFO p_ofi_trade_4: 0.40928852666830634 , std 0.3072856852004557 
2023-04-20 05:11:46,283 INFO p_ofi_trade_5: 0.41498269818187206 , std 0.3051551432579767 
2023-04-20 05:11:46,283 INFO p_ofi_trade_6: 0.4148450230283519 , std 0.30490537583551197 
2023-04-20 05:11:46,283 INFO p_ofi_trade_7: 0.4148987033362524 , std 0.3053499226137115 
2023-04-20 05:11:46,283 INFO p_ofi_trade_8: 0.40378417349818285 , std 0.30646001191981265 
2023-04-20 05:11:46,283 INFO p_ofi_trade_9: 0.4022303629472227 , std 0.30580722708033214 
2023-04-20 05:11:46,283 INFO p_ofi_trade_10: 0.37489425955485517 , std 0.3071268713048568 
