2023-05-09 15:17:00,704 INFO Starting...
2023-05-09 15:17:00,704 INFO Tickers: ['PNC']
2023-05-09 15:18:35,391 INFO ofi_trade_8_30: -1.9155362453670385e-08 , std 1.5676939774549987e-06 
2023-05-09 15:18:35,391 INFO ofi_trade_9_30: -1.2543686313081994e-08 , std 1.0588227384643098e-06 
2023-05-09 15:18:35,391 INFO ofi_trade_10_30: -9.178525290055694e-09 , std 1.466983791563952e-06 
2023-05-09 15:18:35,391 INFO used_intercept: 0.9894941946888434 , std 0.1019579980478271 
2023-05-09 15:18:35,391 INFO used_ofi_add_1_1: 0.0019786268129042624 , std 0.044437730014476644 
2023-05-09 15:18:35,391 INFO used_ofi_add_2_1: 0.0038015748664175807 , std 0.061539604280110564 
2023-05-09 15:18:35,391 INFO used_ofi_add_3_1: 0.004569924872443855 , std 0.0674465763334513 
2023-05-09 15:18:35,391 INFO used_ofi_add_4_1: 0.005237836969185649 , std 0.07218311459801303 
2023-05-09 15:18:35,391 INFO used_ofi_add_5_1: 0.005283034028363665 , std 0.07249223116871778 
2023-05-09 15:18:35,391 INFO used_ofi_add_6_1: 0.004439355590374031 , std 0.06648043104791249 
2023-05-09 15:18:35,391 INFO used_ofi_add_7_1: 0.004122976176127917 , std 0.06407789980624365 
2023-05-09 15:18:35,391 INFO used_ofi_add_8_1: 0.003856815716524045 , std 0.061983390428830346 
2023-05-09 15:18:35,391 INFO used_ofi_add_9_1: 0.004253545458197742 , std 0.06508035655428437 
2023-05-09 15:18:35,391 INFO used_ofi_add_10_1: 0.0056847856655015865 , std 0.07518290282663269 
2023-05-09 15:18:35,391 INFO used_ofi_cancel_1_1: 0.000602627455706882 , std 0.024541073649221434 
2023-05-09 15:18:35,391 INFO used_ofi_cancel_2_1: 0.001832991844441766 , std 0.042774197658635014 
2023-05-09 15:18:35,391 INFO used_ofi_cancel_3_1: 0.0018530794262986623 , std 0.043007505425663686 
2023-05-09 15:18:35,391 INFO used_ofi_cancel_4_1: 0.001807882367120646 , std 0.04248074773903234 
2023-05-09 15:18:35,391 INFO used_ofi_cancel_5_1: 0.0021895464224016715 , std 0.046741334050985524 
2023-05-09 15:18:35,391 INFO used_ofi_cancel_6_1: 0.00183801373990599 , std 0.042832644622973114 
2023-05-09 15:18:35,391 INFO used_ofi_cancel_7_1: 0.002063999035796071 , std 0.045384346902608445 
2023-05-09 15:18:35,391 INFO used_ofi_cancel_8_1: 0.0018832107990840062 , std 0.04335509561943347 
2023-05-09 15:18:35,391 INFO used_ofi_cancel_9_1: 0.002018801976618055 , std 0.044885703906670085 
2023-05-09 15:18:35,391 INFO used_ofi_cancel_10_1: 0.0028474147282150173 , std 0.05328514762652499 
2023-05-09 15:18:35,391 INFO used_ofi_trade_1_1: 7.030653649913623e-05 , std 0.00838460455179979 
2023-05-09 15:18:35,391 INFO used_ofi_trade_2_1: 0.00010043790928448034 , std 0.010021368245447271 
2023-05-09 15:18:35,391 INFO used_ofi_trade_3_1: 9.541601382025632e-05 , std 0.009767646062617288 
2023-05-09 15:18:35,391 INFO used_ofi_trade_4_1: 9.03941183560323e-05 , std 0.009507152426431324 
2023-05-09 15:18:35,391 INFO used_ofi_trade_5_1: 6.02627455706882e-05 , std 0.007762674408487351 
2023-05-09 15:18:35,391 INFO used_ofi_trade_6_1: 0.00010545980474870436 , std 0.010268820914705188 
2023-05-09 15:18:35,391 INFO used_ofi_trade_7_1: 0.00012554738660560042 , std 0.011204089630992644 
2023-05-09 15:18:35,391 INFO used_ofi_trade_8_1: 0.00010545980474870436 , std 0.010268820914705186 
2023-05-09 15:18:35,391 INFO used_ofi_trade_9_1: 0.00013559117753404845 , std 0.011643573015471817 
