2023-05-09 13:32:18,639 INFO Starting...
2023-05-09 13:32:18,639 INFO Tickers: ['DIS']
2023-05-09 13:33:51,817 INFO used_ofi_cancel_8_1: 0.0014312402073038447 , std 0.037804652607487894 
2023-05-09 13:33:51,817 INFO used_ofi_cancel_9_1: 0.0011048170021292836 , std 0.03322042115207285 
2023-05-09 13:33:51,817 INFO used_ofi_cancel_10_1: 0.0013257804025551404 , std 0.036387122844206046 
2023-05-09 13:33:51,817 INFO used_ofi_trade_1_1: 5.021895464224017e-06 , std 0.0022409529769252105 
2023-05-09 13:33:51,817 INFO used_ofi_trade_2_1: 0.0002661604596038729 , std 0.01631225362154526 
2023-05-09 13:33:51,817 INFO used_ofi_trade_3_1: 0.00016572255031939255 , std 0.012872260343688989 
2023-05-09 13:33:51,817 INFO used_ofi_trade_4_1: 0.0003866859507452493 , std 0.019660529614452034 
2023-05-09 13:33:51,817 INFO used_ofi_trade_5_1: 0.0005724960829215379 , std 0.023920040366951254 
2023-05-09 13:33:51,817 INFO used_ofi_trade_6_1: 0.0005172552328150737 , std 0.022737363080163872 
2023-05-09 13:33:51,817 INFO used_ofi_trade_7_1: 0.00031135751878188904 , std 0.017642578475874415 
2023-05-09 13:33:51,817 INFO used_ofi_trade_8_1: 0.00018581013217628862 , std 0.013629952559384397 
2023-05-09 13:33:51,817 INFO used_ofi_trade_9_1: 0.00014563496846249649 , std 0.012067052619362249 
