2023-05-09 13:30:42,602 INFO Starting...
2023-05-09 13:30:42,602 INFO Tickers: ['UNH']
2023-05-09 13:32:17,940 INFO ofi_trade_7_5: -1.1303591504358005e-08 , std 1.1953633870731746e-06 
2023-05-09 13:32:17,940 INFO ofi_trade_8_5: -1.0500064219981527e-08 , std 1.0613792926247393e-06 
2023-05-09 13:32:17,940 INFO ofi_trade_9_5: -1.1481284757666523e-08 , std 1.3719696709674273e-06 
2023-05-09 13:32:17,940 INFO ofi_trade_10_5: -1.029149094095223e-08 , std 8.551558872151474e-07 
2023-05-09 13:32:17,940 INFO ofi_add_1_10: -7.67920144839064e-08 , std 2.5624383718458664e-06 
2023-05-09 13:32:17,940 INFO ofi_add_2_10: -1.7330181477948587e-07 , std 3.0670744223476367e-06 
2023-05-09 13:32:17,940 INFO ofi_add_3_10: -1.7023917469029812e-07 , std 3.062545448121379e-06 
2023-05-09 13:32:17,940 INFO ofi_add_4_10: -2.007211242130778e-07 , std 2.9678847817561516e-06 
2023-05-09 13:32:17,940 INFO ofi_add_5_10: -2.578396429375146e-07 , std 3.2753401461783364e-06 
2023-05-09 13:32:17,940 INFO ofi_add_6_10: -2.708750879100225e-07 , std 3.1724755934093693e-06 
2023-05-09 13:32:17,940 INFO ofi_add_7_10: -2.442460790868996e-07 , std 3.1573898082809544e-06 
2023-05-09 13:32:17,940 INFO ofi_add_8_10: -2.2673093517822642e-07 , std 3.0016570677133743e-06 
2023-05-09 13:32:17,940 INFO ofi_add_9_10: -1.8891391700043946e-07 , std 3.0704548248903452e-06 
2023-05-09 13:32:17,940 INFO ofi_add_10_10: -2.488238488914098e-07 , std 3.365259580717989e-06 
2023-05-09 13:32:17,940 INFO ofi_cancel_1_10: -1.6887970964235066e-08 , std 1.1810911975991862e-06 
2023-05-09 13:32:17,940 INFO ofi_cancel_2_10: -7.035957277896531e-08 , std 2.227921664712308e-06 
2023-05-09 13:32:17,940 INFO ofi_cancel_3_10: -9.413345412115925e-08 , std 2.7567384728914844e-06 
2023-05-09 13:32:17,940 INFO ofi_cancel_4_10: -8.44120470927046e-08 , std 2.170427962439178e-06 
2023-05-09 13:32:17,940 INFO ofi_cancel_5_10: -1.1139362073164892e-07 , std 2.689505501429764e-06 
2023-05-09 13:32:17,940 INFO ofi_cancel_6_10: -9.95461078891594e-08 , std 2.2461880652329082e-06 
2023-05-09 13:32:17,940 INFO ofi_cancel_7_10: -1.1722365591126546e-07 , std 2.785736449338325e-06 
2023-05-09 13:32:17,940 INFO ofi_cancel_8_10: -1.0652958408383263e-07 , std 2.1976477553104944e-06 
2023-05-09 13:32:17,940 INFO ofi_cancel_9_10: -1.1382711926984351e-07 , std 2.5317362755042563e-06 
2023-05-09 13:32:17,940 INFO ofi_cancel_10_10: -1.4703778948881694e-07 , std 3.020313797808052e-06 
2023-05-09 13:32:17,940 INFO ofi_trade_1_10: -4.2206237477974907e-10 , std 1.2952661338297082e-07 
2023-05-09 13:32:17,940 INFO ofi_trade_2_10: -2.2637452722925414e-09 , std 4.239955719110811e-07 
2023-05-09 13:32:17,941 INFO ofi_trade_3_10: -1.8269295316824535e-09 , std 4.020095970995361e-07 
2023-05-09 13:32:17,941 INFO ofi_trade_4_10: -7.92131266045707e-09 , std 7.402206906045275e-07 
2023-05-09 13:32:17,941 INFO ofi_trade_5_10: -1.3577868967838022e-08 , std 1.0960761292813446e-06 
2023-05-09 13:32:17,941 INFO ofi_trade_6_10: -1.5338620987770595e-08 , std 1.1493905617419538e-06 
2023-05-09 13:32:17,941 INFO ofi_trade_7_10: -1.4559879597104065e-08 , std 1.0949766924082638e-06 
2023-05-09 13:32:17,941 INFO ofi_trade_8_10: -1.9542687147109987e-08 , std 1.4190583461679448e-06 
2023-05-09 13:32:17,941 INFO ofi_trade_9_10: -2.014757653978744e-08 , std 1.2230061246541656e-06 
2023-05-09 13:32:17,941 INFO ofi_trade_10_10: -1.0463918103220274e-08 , std 9.002196792106634e-07 
2023-05-09 13:32:17,941 INFO ofi_add_1_20: -8.250589726139555e-08 , std 2.2576816787433754e-06 
2023-05-09 13:32:17,941 INFO ofi_add_2_20: -2.1838896845454096e-07 , std 3.1888696962582212e-06 
2023-05-09 13:32:17,941 INFO ofi_add_3_20: -2.1562667007664986e-07 , std 3.029843587473002e-06 
2023-05-09 13:32:17,941 INFO ofi_add_4_20: -2.4615269390755535e-07 , std 3.0389859398927346e-06 
2023-05-09 13:32:17,941 INFO ofi_add_5_20: -2.5554146609497706e-07 , std 3.025128679411869e-06 
2023-05-09 13:32:17,941 INFO ofi_add_6_20: -2.897783706812136e-07 , std 3.3419441219070524e-06 
2023-05-09 13:32:17,941 INFO ofi_add_7_20: -2.6509583045472114e-07 , std 3.071198267634878e-06 
2023-05-09 13:32:17,941 INFO ofi_add_8_20: -2.2167724602454897e-07 , std 2.7966586081633868e-06 
2023-05-09 13:32:17,941 INFO ofi_add_9_20: -2.271295789657708e-07 , std 2.9611987796203687e-06 
2023-05-09 13:32:17,941 INFO ofi_add_10_20: -2.921350840711892e-07 , std 3.3693204859982556e-06 
2023-05-09 13:32:17,941 INFO ofi_cancel_1_20: -2.6559527247459123e-08 , std 1.519652349656287e-06 
2023-05-09 13:32:17,941 INFO ofi_cancel_2_20: -8.657335583782626e-08 , std 2.326172473160035e-06 
2023-05-09 13:32:17,941 INFO ofi_cancel_3_20: -9.724352704623366e-08 , std 2.2855269932884477e-06 
2023-05-09 13:32:17,941 INFO ofi_cancel_4_20: -1.2137309823754702e-07 , std 2.7670595532055777e-06 
2023-05-09 13:32:17,941 INFO ofi_cancel_5_20: -1.0682160138428818e-07 , std 2.2843723901387094e-06 
2023-05-09 13:32:17,941 INFO ofi_cancel_6_20: -1.1854873901297734e-07 , std 2.70103999454318e-06 
2023-05-09 13:32:17,941 INFO ofi_cancel_7_20: -1.2850683332578462e-07 , std 2.732444390741627e-06 
2023-05-09 13:32:17,941 INFO ofi_cancel_8_20: -1.2040347227501539e-07 , std 2.3797590973678328e-06 
2023-05-09 13:32:17,941 INFO ofi_cancel_9_20: -1.4548256193885315e-07 , std 2.628869079126011e-06 
2023-05-09 13:32:17,941 INFO ofi_cancel_10_20: -1.4927146265818443e-07 , std 2.7057163886904754e-06 
2023-05-09 13:32:17,941 INFO ofi_trade_1_20: -8.08099905312175e-11 , std 3.699316469637212e-07 
2023-05-09 13:32:17,941 INFO ofi_trade_2_20: -3.6085428247974707e-09 , std 7.314064885445373e-07 
2023-05-09 13:32:17,941 INFO ofi_trade_3_20: -7.843914392842727e-09 , std 1.253112050104159e-06 
