2023-05-09 14:38:20,940 INFO Starting...
2023-05-09 14:38:20,940 INFO Tickers: ['MMM']
2023-05-09 14:39:53,676 INFO ofi_add_9_30: -2.0743057250285404e-07 , std 2.9054745255536633e-06 
2023-05-09 14:39:53,676 INFO ofi_add_10_30: -2.3062672074311313e-07 , std 3.182197078799615e-06 
2023-05-09 14:39:53,676 INFO ofi_cancel_1_30: -3.8347857757417647e-08 , std 1.5286413712956398e-06 
2023-05-09 14:39:53,676 INFO ofi_cancel_2_30: -1.0232385975295686e-07 , std 2.0804015827724517e-06 
2023-05-09 14:39:53,676 INFO ofi_cancel_3_30: -1.1979509522644343e-07 , std 2.600873706009907e-06 
2023-05-09 14:39:53,676 INFO ofi_cancel_4_30: -1.4364539089210312e-07 , std 2.5760584569937567e-06 
2023-05-09 14:39:53,676 INFO ofi_cancel_5_30: -1.489030000360169e-07 , std 2.6882614497281527e-06 
2023-05-09 14:39:53,676 INFO ofi_cancel_6_30: -1.319134705933034e-07 , std 2.2923645185536776e-06 
2023-05-09 14:39:53,676 INFO ofi_cancel_7_30: -1.2251054371606827e-07 , std 2.1979223891249373e-06 
2023-05-09 14:39:53,676 INFO ofi_cancel_8_30: -1.1208278813005574e-07 , std 2.1937467000198674e-06 
2023-05-09 14:39:53,676 INFO ofi_cancel_9_30: -1.1709645692039122e-07 , std 2.178632807571396e-06 
2023-05-09 14:39:53,676 INFO ofi_cancel_10_30: -1.0903912743617899e-07 , std 2.380083069807374e-06 
2023-05-09 14:39:53,676 INFO ofi_trade_1_30: -4.4545977366490445e-10 , std 4.1973679143416117e-07 
2023-05-09 14:39:53,676 INFO ofi_trade_2_30: -5.004534860289708e-09 , std 7.022902301495355e-07 
2023-05-09 14:39:53,676 INFO ofi_trade_3_30: -4.895390461309405e-09 , std 6.422336888837171e-07 
2023-05-09 14:39:53,676 INFO ofi_trade_4_30: -7.252403502634164e-09 , std 7.523057556749183e-07 
2023-05-09 14:39:53,676 INFO ofi_trade_5_30: -1.715585017647711e-08 , std 1.331602884537532e-06 
