2023-05-09 15:02:25,297 INFO Starting...
2023-05-09 15:02:25,297 INFO Tickers: ['CHTR']
2023-05-09 15:04:03,136 INFO ofi_add_10_5: -8.66109739266767e-08 , std 2.547194800472835e-06 
2023-05-09 15:04:03,136 INFO ofi_cancel_1_5: -2.410623059285374e-08 , std 1.8972525335211776e-06 
2023-05-09 15:04:03,136 INFO ofi_cancel_2_5: -4.5373757036665904e-08 , std 1.7213248138574856e-06 
2023-05-09 15:04:03,136 INFO ofi_cancel_3_5: -3.240259210460635e-08 , std 2.072243440569861e-06 
2023-05-09 15:04:03,136 INFO ofi_cancel_4_5: -3.199680939529818e-08 , std 1.806856297579047e-06 
2023-05-09 15:04:03,136 INFO ofi_cancel_5_5: -4.3920454893457266e-08 , std 2.2731331086717413e-06 
2023-05-09 15:04:03,136 INFO ofi_cancel_6_5: -3.3539242158021975e-08 , std 1.7888635724094053e-06 
2023-05-09 15:04:03,136 INFO ofi_cancel_7_5: -3.0238708452972974e-08 , std 1.6992876797073954e-06 
2023-05-09 15:04:03,136 INFO ofi_cancel_8_5: -3.73258365131039e-08 , std 1.7860667780942518e-06 
2023-05-09 15:04:03,136 INFO ofi_cancel_9_5: -3.428315364637406e-08 , std 1.5582008947495488e-06 
2023-05-09 15:04:03,136 INFO ofi_cancel_10_5: -8.884802437467905e-08 , std 2.3597178355498074e-06 
2023-05-09 15:04:03,137 INFO ofi_trade_1_5: -6.347232584043927e-09 , std 1.2777450491500696e-06 
2023-05-09 15:04:03,137 INFO ofi_trade_2_5: -1.4069700201997145e-08 , std 1.5729997685195427e-06 
2023-05-09 15:04:03,137 INFO ofi_trade_3_5: -2.6449673257024155e-09 , std 4.096501332822032e-07 
2023-05-09 15:04:03,137 INFO ofi_trade_4_5: -1.7144987246968354e-09 , std 5.227691674203565e-07 
2023-05-09 15:04:03,137 INFO ofi_trade_5_5: -2.616146606023479e-10 , std 2.747095095412936e-07 
2023-05-09 15:04:03,137 INFO ofi_trade_6_5: -1.124838633408852e-09 , std 3.3850693101537816e-07 
2023-05-09 15:04:03,137 INFO ofi_trade_7_5: -4.826495971244444e-09 , std 7.136890413109637e-07 
2023-05-09 15:04:03,137 INFO ofi_trade_8_5: -1.15538075001324e-09 , std 1.9539945776865297e-07 
2023-05-09 15:04:03,137 INFO ofi_trade_9_5: -7.689906000537208e-10 , std 2.6994153627090994e-07 
2023-05-09 15:04:03,137 INFO ofi_trade_10_5: -1.362803730497425e-09 , std 3.3053033272651617e-07 
2023-05-09 15:04:03,137 INFO ofi_add_1_10: -1.1729743654330841e-07 , std 2.8323206572710046e-06 
2023-05-09 15:04:03,137 INFO ofi_add_2_10: -1.7496360122279408e-07 , std 2.7816683184105307e-06 
2023-05-09 15:04:03,137 INFO ofi_add_3_10: -1.758464899924847e-07 , std 2.6098544010370156e-06 
2023-05-09 15:04:03,137 INFO ofi_add_4_10: -1.7463584446848412e-07 , std 2.742997721190163e-06 
2023-05-09 15:04:03,137 INFO ofi_add_5_10: -1.5314063622858048e-07 , std 2.6991674526863517e-06 
2023-05-09 15:04:03,137 INFO ofi_add_6_10: -1.4820608269732713e-07 , std 2.5054320229844264e-06 
2023-05-09 15:04:03,137 INFO ofi_add_7_10: -1.2512139504658327e-07 , std 2.6272078346415667e-06 
2023-05-09 15:04:03,137 INFO ofi_add_8_10: -9.835218351007024e-08 , std 2.200612703558098e-06 
2023-05-09 15:04:03,137 INFO ofi_add_9_10: -7.444904666283738e-08 , std 2.1968911184958834e-06 
2023-05-09 15:04:03,137 INFO ofi_add_10_10: -7.655084255692106e-08 , std 2.4722968109080148e-06 
2023-05-09 15:04:03,137 INFO ofi_cancel_1_10: -1.747726106398443e-08 , std 9.504776325385112e-07 
2023-05-09 15:04:03,137 INFO ofi_cancel_2_10: -5.066821188293798e-08 , std 2.0184356857977773e-06 
2023-05-09 15:04:03,137 INFO ofi_cancel_3_10: -5.7857288739470026e-08 , std 2.0522839732497574e-06 
2023-05-09 15:04:03,137 INFO ofi_cancel_4_10: -4.742509874340711e-08 , std 1.7306483112155248e-06 
