2023-05-09 13:15:11,257 INFO Starting...
2023-05-09 13:15:11,257 INFO Tickers: ['BRK.B']
2023-05-09 13:16:45,763 INFO ofi_add_5_30: -2.388353266261144e-07 , std 2.60292130985971e-06 
2023-05-09 13:16:45,763 INFO ofi_add_6_30: -2.391543842634172e-07 , std 2.6389593870397633e-06 
2023-05-09 13:16:45,763 INFO ofi_add_7_30: -2.085740264083092e-07 , std 2.4099208920389156e-06 
2023-05-09 13:16:45,763 INFO ofi_add_8_30: -1.9692359319190927e-07 , std 2.2415856244994824e-06 
2023-05-09 13:16:45,763 INFO ofi_add_9_30: -1.6357627913471417e-07 , std 2.4331670448779676e-06 
2023-05-09 13:16:45,763 INFO ofi_add_10_30: -1.8577734710809204e-07 , std 2.3950740814712972e-06 
2023-05-09 13:16:45,763 INFO ofi_cancel_1_30: -4.971590319758134e-08 , std 1.6456658304616813e-06 
2023-05-09 13:16:45,763 INFO ofi_cancel_2_30: -1.2699132483810502e-07 , std 2.0187720254732417e-06 
2023-05-09 13:16:45,763 INFO ofi_cancel_3_30: -1.4318712899428286e-07 , std 2.2389452007079056e-06 
2023-05-09 13:16:45,763 INFO ofi_cancel_4_30: -1.4546932267119345e-07 , std 2.217324821372519e-06 
2023-05-09 13:16:45,763 INFO ofi_cancel_5_30: -1.398595651181117e-07 , std 2.289935155575054e-06 
2023-05-09 13:16:45,763 INFO ofi_cancel_6_30: -1.1386594764741304e-07 , std 1.8735682354370949e-06 
2023-05-09 13:16:45,763 INFO ofi_cancel_7_30: -1.0364573539963805e-07 , std 1.9207425672098114e-06 
2023-05-09 13:16:45,763 INFO ofi_cancel_8_30: -7.624766996905663e-08 , std 1.7932526594577308e-06 
2023-05-09 13:16:45,763 INFO ofi_cancel_9_30: -7.409375376611014e-08 , std 1.6242607501512506e-06 
2023-05-09 13:16:45,763 INFO ofi_cancel_10_30: -9.22719418638885e-08 , std 1.7241772979174682e-06 
2023-05-09 13:16:45,763 INFO ofi_trade_1_30: -1.028921132146975e-09 , std 3.2080729097391233e-07 
2023-05-09 13:16:45,763 INFO ofi_trade_2_30: -7.28883347862995e-10 , std 1.65224893579324e-07 
2023-05-09 13:16:45,763 INFO ofi_trade_3_30: -2.164942309095294e-09 , std 2.801495790000301e-07 
2023-05-09 13:16:45,763 INFO ofi_trade_4_30: -5.2982877942523095e-09 , std 6.094890028807729e-07 
2023-05-09 13:16:45,763 INFO ofi_trade_5_30: -4.3394480095052835e-09 , std 5.139422634253702e-07 
