2023-05-09 15:33:46,005 INFO Starting...
2023-05-09 15:33:46,005 INFO Tickers: ['MS']
2023-05-09 15:35:14,057 INFO ofi_cancel_4_10: -4.214726597912652e-07 , std 7.35810363279207e-06 
2023-05-09 15:35:14,057 INFO ofi_cancel_5_10: -1.2707387842285242e-07 , std 4.7126671891961424e-06 
2023-05-09 15:35:14,057 INFO ofi_cancel_6_10: -8.729309132021883e-08 , std 4.250575705023443e-06 
2023-05-09 15:35:14,057 INFO ofi_cancel_7_10: -2.4511007670647805e-08 , std 2.2170625770834306e-06 
2023-05-09 15:35:14,057 INFO ofi_cancel_8_10: -1.8897300772192855e-08 , std 1.9969047434700396e-06 
2023-05-09 15:35:14,057 INFO ofi_cancel_9_10: -2.1990908593184686e-08 , std 1.7019216688602185e-06 
2023-05-09 15:35:14,057 INFO ofi_cancel_10_10: -1.3563212382542618e-08 , std 1.2001991444511516e-06 
2023-05-09 15:35:14,057 INFO ofi_trade_1_10: -6.259790119157675e-10 , std 2.7933467357869424e-07 
2023-05-09 15:35:14,057 INFO ofi_trade_2_10: -2.5906012208386398e-08 , std 3.0986766477004553e-06 
2023-05-09 15:35:14,057 INFO ofi_trade_3_10: -6.834270023026497e-08 , std 3.6999160939414057e-06 
2023-05-09 15:35:14,057 INFO ofi_trade_4_10: -1.0868178458293315e-07 , std 4.670684310720258e-06 
2023-05-09 15:35:14,057 INFO ofi_trade_5_10: -4.33314764776357e-08 , std 3.255820642778226e-06 
2023-05-09 15:35:14,057 INFO ofi_trade_6_10: -2.8931744811757732e-08 , std 2.3521483655969735e-06 
2023-05-09 15:35:14,057 INFO ofi_trade_7_10: -1.502394866097325e-08 , std 2.405831839845448e-06 
2023-05-09 15:35:14,057 INFO ofi_trade_8_10: -5.523354989597409e-09 , std 1.05973040744069e-06 
2023-05-09 15:35:14,057 INFO ofi_trade_9_10: -1.2662148806057085e-09 , std 2.9326331454852464e-07 
2023-05-09 15:35:14,057 INFO ofi_trade_10_10: -4.270810416520621e-09 , std 8.491318506582386e-07 
2023-05-09 15:35:14,057 INFO ofi_add_1_20: -2.985818751398103e-06 , std 1.313353834064697e-05 
2023-05-09 15:35:14,057 INFO ofi_add_2_20: -7.579318880363719e-07 , std 9.244812155238884e-06 
2023-05-09 15:35:14,057 INFO ofi_add_3_20: -2.5591477052420705e-07 , std 6.307464446439212e-06 
2023-05-09 15:35:14,057 INFO ofi_add_4_20: -3.8398378467567065e-07 , std 7.651782048029137e-06 
2023-05-09 15:35:14,057 INFO ofi_add_5_20: -3.0091402431727244e-07 , std 6.338148123075488e-06 
2023-05-09 15:35:14,057 INFO ofi_add_6_20: -2.498261156310647e-07 , std 5.96162423768873e-06 
2023-05-09 15:35:14,057 INFO ofi_add_7_20: -2.5947494508342605e-07 , std 5.819716246472505e-06 
2023-05-09 15:35:14,057 INFO ofi_add_8_20: -2.2240649449592866e-07 , std 5.83768259388313e-06 
2023-05-09 15:35:14,057 INFO ofi_add_9_20: -1.5549445024070516e-07 , std 4.785668098756104e-06 
2023-05-09 15:35:14,057 INFO ofi_add_10_20: -1.4216168959116752e-07 , std 4.499271695648713e-06 
2023-05-09 15:35:14,057 INFO ofi_cancel_1_20: -1.5707131115465533e-07 , std 6.456419850859854e-06 
2023-05-09 15:35:14,057 INFO ofi_cancel_2_20: -1.3697344265278784e-07 , std 5.469715350573611e-06 
2023-05-09 15:35:14,057 INFO ofi_cancel_3_20: -3.315319314925038e-07 , std 6.933320640549594e-06 
2023-05-09 15:35:14,057 INFO ofi_cancel_4_20: -4.4019283024166493e-07 , std 7.392134605893339e-06 
2023-05-09 15:35:14,057 INFO ofi_cancel_5_20: -1.5663050078718187e-07 , std 5.244122574613233e-06 
2023-05-09 15:35:14,058 INFO ofi_cancel_6_20: -4.9369262053378595e-08 , std 2.6418206785406697e-06 
2023-05-09 15:35:14,058 INFO ofi_cancel_7_20: -2.163582390336031e-08 , std 2.4850084183677014e-06 
2023-05-09 15:35:14,058 INFO ofi_cancel_8_20: -1.6513643193760607e-08 , std 2.301855121022055e-06 
2023-05-09 15:35:14,058 INFO ofi_cancel_9_20: -2.57040369990337e-08 , std 3.16183107307752e-06 
2023-05-09 15:35:14,058 INFO ofi_cancel_10_20: -1.8413230263599424e-08 , std 1.9114954377361327e-06 
2023-05-09 15:35:14,058 INFO ofi_trade_1_20: 9.776334827371301e-13 , std 1.5543125924620434e-06 
2023-05-09 15:35:14,058 INFO ofi_trade_2_20: -3.4263562302582636e-08 , std 2.4920852844970608e-06 
2023-05-09 15:35:14,058 INFO ofi_trade_3_20: -6.71206041364751e-08 , std 3.639986588209052e-06 
2023-05-09 15:35:14,058 INFO ofi_trade_4_20: -1.0626847564994987e-07 , std 4.4484404600420826e-06 
2023-05-09 15:35:14,058 INFO ofi_trade_5_20: -4.205704246553622e-08 , std 2.7579632440856356e-06 
2023-05-09 15:35:14,058 INFO ofi_trade_6_20: -2.4599468101269457e-08 , std 2.368400335015587e-06 
2023-05-09 15:35:14,058 INFO ofi_trade_7_20: -5.950599677369316e-09 , std 1.7254944733405763e-06 
2023-05-09 15:35:14,058 INFO ofi_trade_8_20: -3.796565334372892e-09 , std 7.343243694766034e-07 
2023-05-09 15:35:14,058 INFO ofi_trade_9_20: -2.780395610656168e-09 , std 9.048770008805207e-07 
2023-05-09 15:35:14,058 INFO ofi_trade_10_20: 6.011461130583052e-09 , std 1.8580839010229313e-06 
2023-05-09 15:35:14,058 INFO ofi_add_1_30: -3.1459731151952703e-06 , std 1.3258705952825612e-05 
2023-05-09 15:35:14,058 INFO ofi_add_2_30: -9.242217305283648e-07 , std 9.96337230626919e-06 
2023-05-09 15:35:14,058 INFO ofi_add_3_30: -2.483387134847083e-07 , std 6.077124817201671e-06 
2023-05-09 15:35:14,058 INFO ofi_add_4_30: -4.365970136492021e-07 , std 7.76077604855388e-06 
2023-05-09 15:35:14,058 INFO ofi_add_5_30: -3.681474822312135e-07 , std 6.9584863760931364e-06 
2023-05-09 15:35:14,058 INFO ofi_add_6_30: -3.507857974538749e-07 , std 6.3805713737393714e-06 
2023-05-09 15:35:14,058 INFO ofi_add_7_30: -3.3951479037814855e-07 , std 6.088346054036423e-06 
2023-05-09 15:35:14,058 INFO ofi_add_8_30: -2.5033838457419566e-07 , std 5.842911329199848e-06 
2023-05-09 15:35:14,058 INFO ofi_add_9_30: -1.732895587253908e-07 , std 4.923953265273845e-06 
2023-05-09 15:35:14,058 INFO ofi_add_10_30: -2.1450839173464276e-07 , std 5.132445320393423e-06 
2023-05-09 15:35:14,058 INFO ofi_cancel_1_30: -1.930198125198467e-07 , std 6.35205971749597e-06 
2023-05-09 15:35:14,058 INFO ofi_cancel_2_30: -1.6606275394340825e-07 , std 6.515579281507493e-06 
2023-05-09 15:35:14,058 INFO ofi_cancel_3_30: -3.967938093981749e-07 , std 7.0288297731544775e-06 
2023-05-09 15:35:14,058 INFO ofi_cancel_4_30: -4.788727043540345e-07 , std 7.180571686628252e-06 
2023-05-09 15:35:14,058 INFO ofi_cancel_5_30: -1.210019684959324e-07 , std 4.566246495266214e-06 
2023-05-09 15:35:14,058 INFO ofi_cancel_6_30: -8.102133169542701e-08 , std 4.179904292542231e-06 
2023-05-09 15:35:14,058 INFO ofi_cancel_7_30: -4.0892319128826484e-08 , std 3.1725352281854613e-06 
2023-05-09 15:35:14,058 INFO ofi_cancel_8_30: -1.62859624144276e-08 , std 1.8879202995458577e-06 
2023-05-09 15:35:14,058 INFO ofi_cancel_9_30: -2.2926205952070034e-08 , std 2.9370385723445e-06 
2023-05-09 15:35:14,058 INFO ofi_cancel_10_30: -1.405159797249518e-08 , std 1.5116868669810737e-06 
2023-05-09 15:35:14,058 INFO ofi_trade_1_30: 0.0 , std 0.0 
2023-05-09 15:35:14,058 INFO ofi_trade_2_30: -3.159807550689533e-08 , std 2.4068764608008484e-06 
2023-05-09 15:35:14,058 INFO ofi_trade_3_30: -9.65603131228624e-08 , std 4.900880253418746e-06 
2023-05-09 15:35:14,058 INFO ofi_trade_4_30: -1.2978843911908235e-07 , std 4.828483360843492e-06 
2023-05-09 15:35:14,058 INFO ofi_trade_5_30: -3.427667117002947e-08 , std 3.5999271533265915e-06 
2023-05-09 15:35:14,058 INFO ofi_trade_6_30: -3.3525467814981734e-08 , std 3.53134688686768e-06 
2023-05-09 15:35:14,058 INFO ofi_trade_7_30: -1.04141801444232e-08 , std 1.687057771751495e-06 
2023-05-09 15:35:14,058 INFO ofi_trade_8_30: -1.5812428688213472e-09 , std 1.1919617513960347e-06 
2023-05-09 15:35:14,058 INFO ofi_trade_9_30: -8.224962402520593e-09 , std 1.5254972077117372e-06 
2023-05-09 15:35:14,058 INFO ofi_trade_10_30: -8.796777052726703e-09 , std 1.5750735426578089e-06 
2023-05-09 15:35:14,058 INFO used_intercept: 0.9876863123217227 , std 0.11028173363725806 
2023-05-09 15:35:14,058 INFO used_ofi_add_1_1: 0.027012775702060985 , std 0.16212058984265731 
2023-05-09 15:35:14,058 INFO used_ofi_add_2_1: 0.0053633843557912494 , std 0.07303847249253852 
2023-05-09 15:35:14,058 INFO used_ofi_add_3_1: 0.0025360572094331284 , std 0.05029538371723205 
2023-05-09 15:35:14,058 INFO used_ofi_add_4_1: 0.004439355590374031 , std 0.06648043104791249 
2023-05-09 15:35:14,058 INFO used_ofi_add_5_1: 0.0022498091679723593 , std 0.04737876662261342 
2023-05-09 15:35:14,058 INFO used_ofi_add_6_1: 0.0013860431481258287 , std 0.03720379056651839 
2023-05-09 15:35:14,058 INFO used_ofi_add_7_1: 0.0008336346470611867 , std 0.028860694730661045 
2023-05-09 15:35:14,058 INFO used_ofi_add_8_1: 0.0008587441243823069 , std 0.029291751106943837 
2023-05-09 15:35:14,058 INFO used_ofi_add_9_1: 0.0007633281105620506 , std 0.027617846417808845 
2023-05-09 15:35:14,058 INFO used_ofi_add_10_1: 0.000929050660881443 , std 0.030466170185157158 
2023-05-09 15:35:14,058 INFO used_ofi_cancel_1_1: 0.0029277650556426018 , std 0.054029559015612544 
2023-05-09 15:35:14,058 INFO used_ofi_cancel_2_1: 0.001516612430195653 , std 0.03891416601871648 
2023-05-09 15:35:14,059 INFO used_ofi_cancel_3_1: 0.0021343055722952073 , std 0.046149217891739806 
2023-05-09 15:35:14,059 INFO used_ofi_cancel_4_1: 0.0031085532923546665 , std 0.055667676337199996 
2023-05-09 15:35:14,059 INFO used_ofi_cancel_5_1: 0.0012253424932706601 , std 0.03498343935414077 
2023-05-09 15:35:14,059 INFO used_ofi_cancel_6_1: 0.000592583664778434 , std 0.024335827690437645 
2023-05-09 15:35:14,059 INFO used_ofi_cancel_7_1: 0.00022096340042585674 , std 0.014863195336182891 
2023-05-09 15:35:14,059 INFO used_ofi_cancel_8_1: 0.00018581013217628862 , std 0.013629952559384397 
2023-05-09 15:35:14,059 INFO used_ofi_cancel_9_1: 0.00014563496846249649 , std 0.01206705261936225 
2023-05-09 15:35:14,059 INFO used_ofi_cancel_10_1: 0.000301313727853441 , std 0.01735577534686503 
2023-05-09 15:35:14,059 INFO used_ofi_trade_1_1: 2.008758185689607e-05 , std 0.00448187219205894 
2023-05-09 15:35:14,059 INFO used_ofi_trade_2_1: 0.00013559117753404845 , std 0.011643573015471817 
2023-05-09 15:35:14,059 INFO used_ofi_trade_3_1: 0.0003214013097103371 , std 0.017924787611250895 
2023-05-09 15:35:14,059 INFO used_ofi_trade_4_1: 0.0006930215740629143 , std 0.026316179342009305 
2023-05-09 15:35:14,059 INFO used_ofi_trade_5_1: 0.00023100719135430478 , std 0.01519716509852569 
2023-05-09 15:35:14,059 INFO used_ofi_trade_6_1: 0.00011048170021292837 , std 0.010510446898531306 
2023-05-09 15:35:14,059 INFO used_ofi_trade_7_1: 3.01313727853441e-05 , std 0.005489122414896408 
2023-05-09 15:35:14,059 INFO used_ofi_trade_8_1: 4.519705917801615e-05 , std 0.006722723882761943 
2023-05-09 15:35:14,059 INFO used_ofi_trade_9_1: 2.5109477321120085e-05 , std 0.005010872861614906 
2023-05-09 15:35:14,059 INFO used_ofi_trade_10_1: 4.017516371379214e-05 , std 0.006338260776428554 
