2023-05-09 13:45:50,578 INFO Starting...
2023-05-09 13:45:50,578 INFO Tickers: ['KO']
2023-05-09 13:47:12,658 INFO ofi_add_4_20: -2.0433727352406172e-07 , std 5.9047210947601765e-06 
2023-05-09 13:47:12,658 INFO ofi_add_5_20: -2.1529615709261274e-07 , std 4.8904539122656775e-06 
2023-05-09 13:47:12,658 INFO ofi_add_6_20: -8.412746554545481e-08 , std 3.269351090031553e-06 
2023-05-09 13:47:12,658 INFO ofi_add_7_20: -8.311284307838369e-08 , std 3.0776495569365522e-06 
2023-05-09 13:47:12,658 INFO ofi_add_8_20: -4.076670695282287e-08 , std 2.8037948571211202e-06 
2023-05-09 13:47:12,658 INFO ofi_add_9_20: -3.8884903854104553e-08 , std 2.165228573159111e-06 
2023-05-09 13:47:12,658 INFO ofi_add_10_20: -3.5577874566248304e-08 , std 2.495430870633677e-06 
2023-05-09 13:47:12,658 INFO ofi_cancel_1_20: 3.506960976068375e-09 , std 4.550770631485508e-06 
2023-05-09 13:47:12,658 INFO ofi_cancel_2_20: -1.026093958543851e-08 , std 3.7225759477434318e-06 
2023-05-09 13:47:12,658 INFO ofi_cancel_3_20: -2.0487801004599286e-07 , std 4.6261601350738416e-06 
2023-05-09 13:47:12,658 INFO ofi_cancel_4_20: -2.307440252393121e-07 , std 5.093569505561435e-06 
2023-05-09 13:47:12,658 INFO ofi_cancel_5_20: -2.1117759826096404e-08 , std 2.434084395320204e-06 
2023-05-09 13:47:12,658 INFO ofi_cancel_6_20: -8.013510500005096e-09 , std 1.1517458992323842e-06 
2023-05-09 13:47:12,658 INFO ofi_cancel_7_20: -2.7624911093105373e-09 , std 8.056436403432312e-07 
2023-05-09 13:47:12,658 INFO ofi_cancel_8_20: 8.193943697288743e-10 , std 7.465132063427482e-07 
2023-05-09 13:47:12,658 INFO ofi_cancel_9_20: -3.9912281394123974e-09 , std 6.260850405233877e-07 
2023-05-09 13:47:12,658 INFO ofi_cancel_10_20: -1.8616607126433e-09 , std 3.341495037246849e-07 
2023-05-09 13:47:12,658 INFO ofi_trade_1_20: 2.272824282282447e-10 , std 7.17894581416018e-08 
2023-05-09 13:47:12,658 INFO ofi_trade_2_20: -2.1169698803214795e-08 , std 1.8536886432215325e-06 
2023-05-09 13:47:12,658 INFO ofi_trade_3_20: -5.687807290345991e-08 , std 3.355664055235857e-06 
2023-05-09 13:47:12,658 INFO ofi_trade_4_20: -6.463112223967753e-08 , std 3.4204362172592873e-06 
2023-05-09 13:47:12,658 INFO ofi_trade_5_20: -2.9756717067238202e-08 , std 2.569639732547335e-06 
2023-05-09 13:47:12,658 INFO ofi_trade_6_20: -9.917845320153028e-09 , std 1.5033614157436005e-06 
2023-05-09 13:47:12,658 INFO ofi_trade_7_20: -3.296107985239782e-09 , std 8.701580753403329e-07 
2023-05-09 13:47:12,658 INFO ofi_trade_8_20: -6.720092204328782e-09 , std 1.090279761213313e-06 
2023-05-09 13:47:12,658 INFO ofi_trade_9_20: 5.272987501633379e-10 , std 7.552641222914131e-07 
2023-05-09 13:47:12,658 INFO ofi_trade_10_20: -7.1949060507183666e-09 , std 1.1736511338310238e-06 
2023-05-09 13:47:12,658 INFO ofi_add_1_30: -2.2730537722777924e-06 , std 9.783513072883945e-06 
2023-05-09 13:47:12,658 INFO ofi_add_2_30: -5.193174859578809e-07 , std 6.840251813725348e-06 
2023-05-09 13:47:12,658 INFO ofi_add_3_30: -1.3875411653631484e-07 , std 5.132871439231372e-06 
2023-05-09 13:47:12,658 INFO ofi_add_4_30: -2.5327823738629865e-07 , std 5.990147343338002e-06 
2023-05-09 13:47:12,658 INFO ofi_add_5_30: -2.140612066347197e-07 , std 5.373364755888461e-06 
2023-05-09 13:47:12,658 INFO ofi_add_6_30: -8.271182252270783e-08 , std 3.361783479500765e-06 
2023-05-09 13:47:12,658 INFO ofi_add_7_30: -9.148373657822992e-08 , std 3.697616160763458e-06 
2023-05-09 13:47:12,658 INFO ofi_add_8_30: -3.667513891174257e-08 , std 2.370190585577841e-06 
2023-05-09 13:47:12,658 INFO ofi_add_9_30: -3.917300376167365e-08 , std 2.6642016634493044e-06 
2023-05-09 13:47:12,659 INFO ofi_add_10_30: -4.199026254371797e-08 , std 2.4903201379525968e-06 
2023-05-09 13:47:12,659 INFO ofi_cancel_1_30: -8.837407907256312e-09 , std 4.444166669105628e-06 
2023-05-09 13:47:12,659 INFO ofi_cancel_2_30: -2.1011738373129394e-08 , std 3.895563832248617e-06 
