2023-05-09 14:23:58,709 INFO Starting...
2023-05-09 14:23:58,709 INFO Tickers: ['NKE']
2023-05-09 14:25:27,671 INFO ofi_add_10_20: -2.502515130136564e-07 , std 4.8889429145965885e-06 
2023-05-09 14:25:27,671 INFO ofi_cancel_1_20: -5.201670459497117e-08 , std 4.1250585585582035e-06 
2023-05-09 14:25:27,671 INFO ofi_cancel_2_20: -1.8316948754087094e-07 , std 4.390951138477125e-06 
2023-05-09 14:25:27,671 INFO ofi_cancel_3_20: -3.570120596200078e-07 , std 5.477436324484522e-06 
2023-05-09 14:25:27,671 INFO ofi_cancel_4_20: -3.8677220978422644e-07 , std 6.041912563303185e-06 
2023-05-09 14:25:27,671 INFO ofi_cancel_5_20: -2.821930706012469e-07 , std 4.681146732411066e-06 
2023-05-09 14:25:27,671 INFO ofi_cancel_6_20: -1.3882203504350747e-07 , std 3.4993706092857223e-06 
2023-05-09 14:25:27,671 INFO ofi_cancel_7_20: -6.024568790281041e-08 , std 2.434345022330439e-06 
2023-05-09 14:25:27,671 INFO ofi_cancel_8_20: -2.7381239322011356e-08 , std 2.0315926233729704e-06 
2023-05-09 14:25:27,671 INFO ofi_cancel_9_20: -3.03216063313781e-08 , std 1.5447148447685842e-06 
2023-05-09 14:25:27,671 INFO ofi_cancel_10_20: -3.5615008575168466e-08 , std 1.885787835640585e-06 
2023-05-09 14:25:27,671 INFO ofi_trade_1_20: -3.6700483006599905e-09 , std 7.328519592513643e-07 
2023-05-09 14:25:27,671 INFO ofi_trade_2_20: -5.0115586950051646e-08 , std 2.6639972175518286e-06 
2023-05-09 14:25:27,671 INFO ofi_trade_3_20: -8.424897384841332e-08 , std 3.3044823725426257e-06 
2023-05-09 14:25:27,671 INFO ofi_trade_4_20: -1.499349939372326e-07 , std 4.267442053436198e-06 
2023-05-09 14:25:27,671 INFO ofi_trade_5_20: -1.0643151447792716e-07 , std 3.3016925071682374e-06 
2023-05-09 14:25:27,671 INFO ofi_trade_6_20: -5.558582548523686e-08 , std 2.6938356492394066e-06 
2023-05-09 14:25:27,671 INFO ofi_trade_7_20: -2.6028130539632582e-08 , std 1.954376705723116e-06 
2023-05-09 14:25:27,671 INFO ofi_trade_8_20: -1.0547559459527478e-08 , std 1.4103036556164482e-06 
2023-05-09 14:25:27,671 INFO ofi_trade_9_20: -7.0109961483395725e-09 , std 8.619756437223715e-07 
2023-05-09 14:25:27,671 INFO ofi_trade_10_20: -1.472321062107468e-08 , std 1.171944599098532e-06 
2023-05-09 14:25:27,671 INFO ofi_add_1_30: -1.724719137962765e-06 , std 1.0590346666951988e-05 
2023-05-09 14:25:27,671 INFO ofi_add_2_30: -5.187818007168973e-07 , std 6.414383573406672e-06 
2023-05-09 14:25:27,671 INFO ofi_add_3_30: -3.204751857069836e-07 , std 5.757141185058842e-06 
2023-05-09 14:25:27,671 INFO ofi_add_4_30: -4.1594908245902464e-07 , std 6.121542086348405e-06 
2023-05-09 14:25:27,671 INFO ofi_add_5_30: -4.0611710688810316e-07 , std 5.793772532573021e-06 
2023-05-09 14:25:27,671 INFO ofi_add_6_30: -3.8842699900150514e-07 , std 5.232616259834434e-06 
2023-05-09 14:25:27,671 INFO ofi_add_7_30: -3.487521514805794e-07 , std 4.838230683273667e-06 
2023-05-09 14:25:27,671 INFO ofi_add_8_30: -2.5256123747892616e-07 , std 5.9550739479957825e-06 
2023-05-09 14:25:27,672 INFO ofi_add_9_30: -2.3146099185759347e-07 , std 4.113069949586138e-06 
2023-05-09 14:25:27,672 INFO ofi_add_10_30: -2.541482506049851e-07 , std 4.201912496020074e-06 
2023-05-09 14:25:27,672 INFO ofi_cancel_1_30: -3.7469310677202215e-08 , std 4.060439535788007e-06 
2023-05-09 14:25:27,672 INFO ofi_cancel_2_30: -1.4060215725794265e-07 , std 4.127629642174425e-06 
2023-05-09 14:25:27,672 INFO ofi_cancel_3_30: -3.250991752564257e-07 , std 5.44611466233544e-06 
2023-05-09 14:25:27,672 INFO ofi_cancel_4_30: -4.161755408667277e-07 , std 6.171686120187909e-06 
2023-05-09 14:25:27,672 INFO ofi_cancel_5_30: -2.5812331112604187e-07 , std 4.991285117261276e-06 
2023-05-09 14:25:27,672 INFO ofi_cancel_6_30: -1.3570282729819865e-07 , std 3.927018430413754e-06 
2023-05-09 14:25:27,672 INFO ofi_cancel_7_30: -4.037506728347637e-08 , std 2.27543908644382e-06 
2023-05-09 14:25:27,672 INFO ofi_cancel_8_30: -3.0908665076331636e-08 , std 1.7897338162520987e-06 
2023-05-09 14:25:27,672 INFO ofi_cancel_9_30: -2.6746296189557393e-08 , std 1.6534109362920125e-06 
2023-05-09 14:25:27,672 INFO ofi_cancel_10_30: -3.053072305962994e-08 , std 1.838842245025899e-06 
2023-05-09 14:25:27,672 INFO ofi_trade_1_30: 0.0 , std 0.0 
2023-05-09 14:25:27,672 INFO ofi_trade_2_30: -4.134798967118007e-08 , std 2.586044605685577e-06 
2023-05-09 14:25:27,672 INFO ofi_trade_3_30: -8.661794156877922e-08 , std 3.5460165521578055e-06 
2023-05-09 14:25:27,672 INFO ofi_trade_4_30: -1.3731818067362702e-07 , std 3.952842492747687e-06 
2023-05-09 14:25:27,672 INFO ofi_trade_5_30: -1.1262577732260976e-07 , std 3.6960056508512467e-06 
2023-05-09 14:25:27,672 INFO ofi_trade_6_30: -6.733120257824945e-08 , std 2.737465791168782e-06 
2023-05-09 14:25:27,672 INFO ofi_trade_7_30: -3.135033276760258e-08 , std 2.5461096806787263e-06 
2023-05-09 14:25:27,672 INFO ofi_trade_8_30: -8.916901544110898e-09 , std 1.4113685935056501e-06 
2023-05-09 14:25:27,672 INFO ofi_trade_9_30: -6.56201343751095e-09 , std 8.284663361081724e-07 
2023-05-09 14:25:27,672 INFO ofi_trade_10_30: -9.10600940790852e-09 , std 1.167054736901368e-06 
2023-05-09 14:25:27,672 INFO used_intercept: 0.986169699891527 , std 0.11678622738740436 
2023-05-09 14:25:27,672 INFO used_ofi_add_1_1: 0.013493833112369933 , std 0.11537655559213683 
2023-05-09 14:25:27,672 INFO used_ofi_add_2_1: 0.004077779116949901 , std 0.06372715931550119 
2023-05-09 14:25:27,672 INFO used_ofi_add_3_1: 0.0028524366236792414 , std 0.05333198129628351 
2023-05-09 14:25:27,672 INFO used_ofi_add_4_1: 0.005945924229641236 , std 0.07688023292561359 
2023-05-09 14:25:27,672 INFO used_ofi_add_5_1: 0.0054537784741472825 , std 0.07364804664417249 
2023-05-09 14:25:27,672 INFO used_ofi_add_6_1: 0.005262946446506769 , std 0.07235501255067248 
2023-05-09 14:25:27,672 INFO used_ofi_add_7_1: 0.0034450202884576753 , std 0.05859310645178143 
2023-05-09 14:25:27,672 INFO used_ofi_add_8_1: 0.0023201157044714957 , std 0.048111669765134535 
2023-05-09 14:25:27,672 INFO used_ofi_add_9_1: 0.0020489333494033988 , std 0.04521874856221811 
2023-05-09 14:25:27,672 INFO used_ofi_add_10_1: 0.0021795026314732234 , std 0.04663424063660332 
2023-05-09 14:25:27,672 INFO used_ofi_cancel_1_1: 0.0014613715800891889 , std 0.038199947293080086 
2023-05-09 14:25:27,672 INFO used_ofi_cancel_2_1: 0.0011801454340926438 , std 0.034332967987737883 
2023-05-09 14:25:27,672 INFO used_ofi_cancel_3_1: 0.002109196094974087 , std 0.045877525944704484 
