2023-05-09 14:17:40,384 INFO Starting...
2023-05-09 14:17:40,384 INFO Tickers: ['TMO']
2023-05-09 14:19:14,488 INFO ofi_cancel_5_20: -6.546389434623043e-08 , std 2.434431915771188e-06 
2023-05-09 14:19:14,488 INFO ofi_cancel_6_20: -5.063201916671591e-08 , std 2.2148235094836003e-06 
2023-05-09 14:19:14,488 INFO ofi_cancel_7_20: -8.291480257975584e-08 , std 2.32718600052112e-06 
2023-05-09 14:19:14,488 INFO ofi_cancel_8_20: -5.641533369254861e-08 , std 2.4494464714698347e-06 
2023-05-09 14:19:14,488 INFO ofi_cancel_9_20: -6.407146931605901e-08 , std 2.763388717726025e-06 
2023-05-09 14:19:14,488 INFO ofi_cancel_10_20: -7.376456929559703e-08 , std 2.561228249651061e-06 
2023-05-09 14:19:14,488 INFO ofi_trade_1_20: -7.758438945816554e-10 , std 7.011603976148331e-07 
2023-05-09 14:19:14,488 INFO ofi_trade_2_20: -6.988260457499117e-09 , std 9.251501456154675e-07 
2023-05-09 14:19:14,488 INFO ofi_trade_3_20: -1.022371044551286e-09 , std 4.088697000376616e-07 
2023-05-09 14:19:14,488 INFO ofi_trade_4_20: -1.8845958163064238e-09 , std 4.12669751257587e-07 
2023-05-09 14:19:14,488 INFO ofi_trade_5_20: -1.6230837080526582e-09 , std 3.525252179061546e-07 
2023-05-09 14:19:14,488 INFO ofi_trade_6_20: -4.969820665125523e-09 , std 5.113564483091375e-07 
2023-05-09 14:19:14,488 INFO ofi_trade_7_20: -5.661062721865593e-09 , std 6.494932360680206e-07 
2023-05-09 14:19:14,488 INFO ofi_trade_8_20: -9.579840304064184e-09 , std 9.860581500621976e-07 
2023-05-09 14:19:14,488 INFO ofi_trade_9_20: -1.296983625791348e-08 , std 1.491766209423625e-06 
2023-05-09 14:19:14,488 INFO ofi_trade_10_20: -1.0362332817406693e-08 , std 1.2349915425493314e-06 
2023-05-09 14:19:14,488 INFO ofi_add_1_30: -1.7503199534564975e-07 , std 3.217769081521074e-06 
2023-05-09 14:19:14,488 INFO ofi_add_2_30: -3.137559944114023e-07 , std 4.044091358288132e-06 
2023-05-09 14:19:14,488 INFO ofi_add_3_30: -2.389560777344924e-07 , std 3.3274996198714985e-06 
2023-05-09 14:19:14,488 INFO ofi_add_4_30: -2.6416286906730173e-07 , std 3.279190770687408e-06 
2023-05-09 14:19:14,488 INFO ofi_add_5_30: -2.4193738722041005e-07 , std 2.9900951711288103e-06 
2023-05-09 14:19:14,488 INFO ofi_add_6_30: -2.1864312272936112e-07 , std 3.142526195569776e-06 
2023-05-09 14:19:14,488 INFO ofi_add_7_30: -1.7043480262833606e-07 , std 2.950279821043026e-06 
2023-05-09 14:19:14,488 INFO ofi_add_8_30: -1.3478038245838504e-07 , std 2.964925790524231e-06 
2023-05-09 14:19:14,488 INFO ofi_add_9_30: -1.5267651098747663e-07 , std 3.0436281799303185e-06 
2023-05-09 14:19:14,488 INFO ofi_add_10_30: -1.308455608761726e-07 , std 3.30574760399319e-06 
2023-05-09 14:19:14,488 INFO ofi_cancel_1_30: -3.954209186728267e-08 , std 2.189083873905443e-06 
2023-05-09 14:19:14,488 INFO ofi_cancel_2_30: -6.416478326925144e-08 , std 2.3597756268168927e-06 
2023-05-09 14:19:14,488 INFO ofi_cancel_3_30: -6.418030142969769e-08 , std 2.272430541398099e-06 
2023-05-09 14:19:14,488 INFO ofi_cancel_4_30: -6.891652171067125e-08 , std 2.3615809049097622e-06 
2023-05-09 14:19:14,488 INFO ofi_cancel_5_30: -8.716799214432355e-08 , std 2.6427941854505054e-06 
2023-05-09 14:19:14,488 INFO ofi_cancel_6_30: -6.678109785243867e-08 , std 2.1175510585742612e-06 
2023-05-09 14:19:14,488 INFO ofi_cancel_7_30: -8.476517337149868e-08 , std 2.5048166939245653e-06 
2023-05-09 14:19:14,488 INFO ofi_cancel_8_30: -7.090392441032646e-08 , std 2.309594135398717e-06 
2023-05-09 14:19:14,488 INFO ofi_cancel_9_30: -6.964174640787538e-08 , std 2.612938027062968e-06 
2023-05-09 14:19:14,488 INFO ofi_cancel_10_30: -1.0010353393121461e-07 , std 2.8603632213853577e-06 
2023-05-09 14:19:14,488 INFO ofi_trade_1_30: -3.3658576289499684e-09 , std 5.057442585139432e-07 
2023-05-09 14:19:14,488 INFO ofi_trade_2_30: -7.279996683964371e-09 , std 8.212623594157589e-07 
2023-05-09 14:19:14,488 INFO ofi_trade_3_30: -1.486743127060144e-08 , std 1.579949166009071e-06 
2023-05-09 14:19:14,488 INFO ofi_trade_4_30: -3.992623686193527e-09 , std 5.238798755273815e-07 
2023-05-09 14:19:14,488 INFO ofi_trade_5_30: -2.4735688618258135e-09 , std 4.3317102090782863e-07 
2023-05-09 14:19:14,489 INFO ofi_trade_6_30: -1.2834943566906094e-08 , std 1.1927868604621857e-06 
2023-05-09 14:19:14,489 INFO ofi_trade_7_30: -8.227298052990118e-10 , std 1.3457687437347286e-06 
2023-05-09 14:19:14,489 INFO ofi_trade_8_30: -1.4423761953678601e-08 , std 1.2209712077945638e-06 
2023-05-09 14:19:14,489 INFO ofi_trade_9_30: -8.736262237379296e-09 , std 6.755831662635351e-07 
2023-05-09 14:19:14,489 INFO ofi_trade_10_30: -1.3196164231455596e-08 , std 1.2238712131722608e-06 
2023-05-09 14:19:14,489 INFO used_intercept: 0.9870384878068378 , std 0.1131084055003371 
