2023-05-09 14:13:00,326 INFO Starting...
2023-05-09 14:13:00,326 INFO Tickers: ['ACN']
2023-05-09 14:14:31,811 INFO used_ofi_add_6_1: 0.005072114418866257 , std 0.07103793405067596 
2023-05-09 14:14:31,811 INFO used_ofi_add_7_1: 0.005021895464224017 , std 0.07068717019495423 
2023-05-09 14:14:31,811 INFO used_ofi_add_8_1: 0.004439355590374031 , std 0.06648043104791249 
2023-05-09 14:14:31,811 INFO used_ofi_add_9_1: 0.0040978666988067975 , std 0.06388328566476217 
2023-05-09 14:14:31,811 INFO used_ofi_add_10_1: 0.005147442850829617 , std 0.07156079012229434 
2023-05-09 14:14:31,811 INFO used_ofi_cancel_1_1: 0.0004921457554939537 , std 0.0221788987113721 
2023-05-09 14:14:31,811 INFO used_ofi_cancel_2_1: 0.0019987143947611586 , std 0.04466228314281898 
2023-05-09 14:14:31,811 INFO used_ofi_cancel_3_1: 0.0017777509943353018 , std 0.04212588985098642 
2023-05-09 14:14:31,811 INFO used_ofi_cancel_4_1: 0.0021343055722952073 , std 0.046149217891739806 
2023-05-09 14:14:31,811 INFO used_ofi_cancel_5_1: 0.002154393154152103 , std 0.046365415390023694 
2023-05-09 14:14:31,811 INFO used_ofi_cancel_6_1: 0.0018882326945482302 , std 0.043412754713787395 
2023-05-09 14:14:31,811 INFO used_ofi_cancel_7_1: 0.0022146558997227913 , std 0.047007990799103665 
2023-05-09 14:14:31,811 INFO used_ofi_cancel_8_1: 0.0019334297537262465 , std 0.04392825517948161 
2023-05-09 14:14:31,811 INFO used_ofi_cancel_9_1: 0.0020891085131171908 , std 0.04565899844212105 
2023-05-09 14:14:31,811 INFO used_ofi_cancel_10_1: 0.002711823550680969 , std 0.05200451483968427 
2023-05-09 14:14:31,811 INFO used_ofi_trade_1_1: 6.02627455706882e-05 , std 0.007762674408487351 
2023-05-09 14:14:31,811 INFO used_ofi_trade_2_1: 0.0001205254911413764 , std 0.010977748619246181 
2023-05-09 14:14:31,811 INFO used_ofi_trade_3_1: 8.537222289180829e-05 , std 0.00923931461069309 
2023-05-09 14:14:31,811 INFO used_ofi_trade_4_1: 0.0001205254911413764 , std 0.010977748619246183 
2023-05-09 14:14:31,811 INFO used_ofi_trade_5_1: 0.0001807882367120646 , std 0.013444536151371344 
2023-05-09 14:14:31,812 INFO used_ofi_trade_6_1: 0.00014061307299827246 , std 0.011857204601505978 
2023-05-09 14:14:31,812 INFO used_ofi_trade_7_1: 0.00018581013217628862 , std 0.013629952559384394 
2023-05-09 14:14:31,812 INFO used_ofi_trade_8_1: 0.0001205254911413764 , std 0.010977748619246185 
2023-05-09 14:14:31,812 INFO used_ofi_trade_9_1: 8.537222289180829e-05 , std 0.009239314610693092 
