2023-05-09 14:16:06,876 INFO Starting...
2023-05-09 14:16:06,876 INFO Tickers: ['PYPL']
2023-05-09 14:17:39,696 INFO ofi_cancel_2_30: -1.3562400999120008e-07 , std 4.660809585429873e-06 
2023-05-09 14:17:39,696 INFO ofi_cancel_3_30: -1.6427599589219176e-07 , std 4.841401088470357e-06 
2023-05-09 14:17:39,696 INFO ofi_cancel_4_30: -1.8077585464735327e-07 , std 5.310812233175762e-06 
2023-05-09 14:17:39,696 INFO ofi_cancel_5_30: -1.515720842017413e-07 , std 4.098891651831372e-06 
2023-05-09 14:17:39,696 INFO ofi_cancel_6_30: -1.350522302576306e-07 , std 3.5433840445638194e-06 
2023-05-09 14:17:39,696 INFO ofi_cancel_7_30: -1.3355719100142568e-07 , std 4.007230076387564e-06 
2023-05-09 14:17:39,696 INFO ofi_cancel_8_30: -1.308199667887905e-07 , std 3.3734120644022037e-06 
2023-05-09 14:17:39,696 INFO ofi_cancel_9_30: -1.188807366558669e-07 , std 2.7565845379249216e-06 
2023-05-09 14:17:39,696 INFO ofi_cancel_10_30: -1.3889057805759385e-07 , std 3.2530966702639005e-06 
2023-05-09 14:17:39,696 INFO ofi_trade_1_30: -3.760147450866075e-09 , std 1.226938599469737e-06 
2023-05-09 14:17:39,696 INFO ofi_trade_2_30: -7.490488250467675e-08 , std 3.4051215976204602e-06 
2023-05-09 14:17:39,696 INFO ofi_trade_3_30: -1.4772194526202365e-07 , std 4.198409491858766e-06 
2023-05-09 14:17:39,696 INFO ofi_trade_4_30: -1.460062588580932e-07 , std 4.543310838580347e-06 
2023-05-09 14:17:39,696 INFO ofi_trade_5_30: -1.513554200525531e-07 , std 4.4477104769403574e-06 
2023-05-09 14:17:39,696 INFO ofi_trade_6_30: -1.159579886624618e-07 , std 3.8118880856571343e-06 
2023-05-09 14:17:39,696 INFO ofi_trade_7_30: -1.0017676068358054e-07 , std 3.725266433778034e-06 
2023-05-09 14:17:39,696 INFO ofi_trade_8_30: -8.745280696455985e-08 , std 3.1327420685146003e-06 
2023-05-09 14:17:39,696 INFO ofi_trade_9_30: -7.103505013211076e-08 , std 2.7915536181697494e-06 
2023-05-09 14:17:39,696 INFO ofi_trade_10_30: -7.020639539743852e-08 , std 2.8014027089038926e-06 
2023-05-09 14:17:39,696 INFO used_intercept: 0.9896648353303938 , std 0.1011353006662773 
2023-05-09 14:17:39,696 INFO used_ofi_add_1_1: 0.011319466066711529 , std 0.10578910981134161 
2023-05-09 14:17:39,696 INFO used_ofi_add_2_1: 0.0053232626578146505 , std 0.07276623896073349 
2023-05-09 14:17:39,696 INFO used_ofi_add_3_1: 0.0032341331619175798 , std 0.056777403468356726 
2023-05-09 14:17:39,696 INFO used_ofi_add_4_1: 0.003455098781675924 , std 0.0586784549394817 
2023-05-09 14:17:39,696 INFO used_ofi_add_5_1: 0.004012534776975382 , std 0.06321735791409623 
2023-05-09 14:17:39,696 INFO used_ofi_add_6_1: 0.004243544288540924 , std 0.06500412771826197 
2023-05-09 14:17:39,696 INFO used_ofi_add_7_1: 0.0036459327260126755 , std 0.06027138542102765 
2023-05-09 14:17:39,696 INFO used_ofi_add_8_1: 0.0034952743489047138 , std 0.059017433069649856 
2023-05-09 14:17:39,696 INFO used_ofi_add_9_1: 0.004409268503359682 , std 0.06625576846301733 
2023-05-09 14:17:39,696 INFO used_ofi_add_10_1: 0.004404246557456083 , std 0.06621819364583437 
2023-05-09 14:17:39,697 INFO used_ofi_cancel_1_1: 0.0008035113445757962 , std 0.02833488510820071 
2023-05-09 14:17:39,697 INFO used_ofi_cancel_2_1: 0.001079718369273726 , std 0.032841324235127596 
2023-05-09 14:17:39,697 INFO used_ofi_cancel_3_1: 0.0012956620431284714 , std 0.035971979414517456 
2023-05-09 14:17:39,697 INFO used_ofi_cancel_4_1: 0.001376013177586051 , std 0.037069121453322314 
2023-05-09 14:17:39,697 INFO used_ofi_cancel_5_1: 0.0012353986922852868 , std 0.035126521068224024 
2023-05-09 14:17:39,697 INFO used_ofi_cancel_6_1: 0.0013358376103572611 , std 0.03652469230857416 
2023-05-09 14:17:39,697 INFO used_ofi_cancel_7_1: 0.0013358376103572611 , std 0.036524692308574164 
2023-05-09 14:17:39,697 INFO used_ofi_cancel_8_1: 0.0014011229071040447 , std 0.03740534402599758 
2023-05-09 14:17:39,697 INFO used_ofi_cancel_9_1: 0.0014714301497544269 , std 0.03833099324396408 
2023-05-09 14:17:39,697 INFO used_ofi_cancel_10_1: 0.0011902011791528981 , std 0.034478755782453074 
2023-05-09 14:17:39,697 INFO used_ofi_trade_1_1: 3.5153621325191086e-05 , std 0.005928944724662125 
2023-05-09 14:17:39,697 INFO used_ofi_trade_2_1: 0.000587567670721051 , std 0.024232672880913783 
2023-05-09 14:17:39,697 INFO used_ofi_trade_3_1: 0.0006578749133714332 , std 0.025640634039933365 
2023-05-09 14:17:39,697 INFO used_ofi_trade_4_1: 0.0007382260478290128 , std 0.027160284794738802 
2023-05-09 14:17:39,697 INFO used_ofi_trade_5_1: 0.0008386649659009873 , std 0.028947566512160523 
2023-05-09 14:17:39,697 INFO used_ofi_trade_6_1: 0.0005524140493958599 , std 0.023496997427626582 
2023-05-09 14:17:39,697 INFO used_ofi_trade_7_1: 0.000642809075660637 , std 0.025345529628573265 
2023-05-09 14:17:39,697 INFO used_ofi_trade_8_1: 0.0005825457248174522 , std 0.024128952842921905 
2023-05-09 14:17:39,697 INFO used_ofi_trade_9_1: 0.00035655815915550956 , std 0.0188793809600487 
2023-05-09 14:17:39,697 INFO used_ofi_trade_10_1: 0.00040677761819149684 , std 0.020164626209301158 
