2023-05-09 14:47:44,843 INFO Starting...
2023-05-09 14:47:44,843 INFO Tickers: ['MO']
2023-05-09 14:49:15,526 INFO ofi_add_1_30: -2.321514428435717e-06 , std 1.198735143367085e-05 
2023-05-09 14:49:15,526 INFO ofi_add_2_30: -8.354558925188478e-07 , std 8.73337742898532e-06 
2023-05-09 14:49:15,526 INFO ofi_add_3_30: -4.537124456473184e-07 , std 6.347563313935675e-06 
2023-05-09 14:49:15,526 INFO ofi_add_4_30: -6.016814542286105e-07 , std 7.026471917487198e-06 
2023-05-09 14:49:15,526 INFO ofi_add_5_30: -4.013470284738469e-07 , std 6.284243608969389e-06 
2023-05-09 14:49:15,526 INFO ofi_add_6_30: -3.6230012087329824e-07 , std 5.8265015607460156e-06 
2023-05-09 14:49:15,526 INFO ofi_add_7_30: -4.075833332906672e-07 , std 6.2865338266490665e-06 
2023-05-09 14:49:15,526 INFO ofi_add_8_30: -2.509791400799558e-07 , std 5.335710795133528e-06 
2023-05-09 14:49:15,526 INFO ofi_add_9_30: -2.3319603471021604e-07 , std 5.383142763841717e-06 
2023-05-09 14:49:15,526 INFO ofi_add_10_30: -2.288440610545133e-07 , std 6.190694388709802e-06 
2023-05-09 14:49:15,526 INFO ofi_cancel_1_30: -1.3091043601508255e-07 , std 5.36534728563421e-06 
2023-05-09 14:49:15,526 INFO ofi_cancel_2_30: -2.8057390034386233e-07 , std 6.186459957919123e-06 
2023-05-09 14:49:15,526 INFO ofi_cancel_3_30: -3.201617242212252e-07 , std 5.713329485178696e-06 
2023-05-09 14:49:15,526 INFO ofi_cancel_4_30: -2.1742551232397642e-07 , std 5.218764688859322e-06 
2023-05-09 14:49:15,526 INFO ofi_cancel_5_30: -1.72224848768673e-07 , std 4.6229663487547275e-06 
2023-05-09 14:49:15,526 INFO ofi_cancel_6_30: -8.966425012609614e-08 , std 3.563793187396924e-06 
2023-05-09 14:49:15,526 INFO ofi_cancel_7_30: -5.929801762574275e-08 , std 3.478335231639017e-06 
2023-05-09 14:49:15,526 INFO ofi_cancel_8_30: -4.6933593055829994e-08 , std 3.2056077097081502e-06 
2023-05-09 14:49:15,526 INFO ofi_cancel_9_30: -5.724076625332445e-08 , std 2.426943233498202e-06 
2023-05-09 14:49:15,526 INFO ofi_cancel_10_30: -5.274630696916208e-08 , std 2.5394724719959864e-06 
2023-05-09 14:49:15,526 INFO ofi_trade_1_30: 2.575310982660426e-09 , std 6.532216446204152e-07 
2023-05-09 14:49:15,526 INFO ofi_trade_2_30: -1.3374888906591625e-07 , std 4.692290080313433e-06 
2023-05-09 14:49:15,526 INFO ofi_trade_3_30: -2.5450505345988253e-07 , std 5.9313690970651255e-06 
2023-05-09 14:49:15,526 INFO ofi_trade_4_30: -1.2505534508835304e-07 , std 4.786834110946153e-06 
