2023-05-09 14:22:24,574 INFO Starting...
2023-05-09 14:22:24,574 INFO Tickers: ['UNP']
2023-05-09 14:23:58,019 INFO ofi_cancel_1_20: -5.236292573725046e-08 , std 1.7245287801397674e-06 
2023-05-09 14:23:58,019 INFO ofi_cancel_2_20: -1.0339374959896162e-07 , std 2.4865981955181635e-06 
2023-05-09 14:23:58,019 INFO ofi_cancel_3_20: -1.1374616146135371e-07 , std 2.9998543532831447e-06 
2023-05-09 14:23:58,019 INFO ofi_cancel_4_20: -1.4124479837622056e-07 , std 2.949500745165468e-06 
2023-05-09 14:23:58,019 INFO ofi_cancel_5_20: -1.8266271190022567e-07 , std 3.363371093625557e-06 
2023-05-09 14:23:58,019 INFO ofi_cancel_6_20: -1.791851409353397e-07 , std 3.3917861522089334e-06 
2023-05-09 14:23:58,019 INFO ofi_cancel_7_20: -1.1673823563439928e-07 , std 2.627462308451343e-06 
2023-05-09 14:23:58,019 INFO ofi_cancel_8_20: -9.240369974913667e-08 , std 2.4126625824038854e-06 
2023-05-09 14:23:58,019 INFO ofi_cancel_9_20: -9.451763856539512e-08 , std 2.804021178059896e-06 
2023-05-09 14:23:58,019 INFO ofi_cancel_10_20: -1.1441470567757717e-07 , std 2.5921980888206235e-06 
2023-05-09 14:23:58,019 INFO ofi_trade_1_20: -3.799631263018904e-09 , std 6.493900490894321e-07 
2023-05-09 14:23:58,019 INFO ofi_trade_2_20: -7.842458485642003e-09 , std 7.48960486940916e-07 
2023-05-09 14:23:58,019 INFO ofi_trade_3_20: -1.3076953589424458e-08 , std 1.2130807709483156e-06 
2023-05-09 14:23:58,019 INFO ofi_trade_4_20: -2.985522610918395e-08 , std 1.4865787927553412e-06 
2023-05-09 14:23:58,019 INFO ofi_trade_5_20: -4.5813560597421094e-08 , std 2.151649999583452e-06 
2023-05-09 14:23:58,019 INFO ofi_trade_6_20: -4.7399394546950733e-08 , std 1.944385039944971e-06 
2023-05-09 14:23:58,020 INFO ofi_trade_7_20: -4.414657559872452e-08 , std 1.753213687882218e-06 
2023-05-09 14:23:58,020 INFO ofi_trade_8_20: -3.867353023552398e-08 , std 2.3692128373758916e-06 
2023-05-09 14:23:58,020 INFO ofi_trade_9_20: -1.8974008414708288e-08 , std 1.5414916695860485e-06 
2023-05-09 14:23:58,020 INFO ofi_trade_10_20: -1.0477438904562291e-08 , std 8.128345912837932e-07 
2023-05-09 14:23:58,020 INFO ofi_add_1_30: -1.9594333449865453e-07 , std 3.6475246811236535e-06 
2023-05-09 14:23:58,020 INFO ofi_add_2_30: -2.7074669493087077e-07 , std 3.910764569908614e-06 
2023-05-09 14:23:58,020 INFO ofi_add_3_30: -3.103632888721708e-07 , std 4.066129342017295e-06 
2023-05-09 14:23:58,020 INFO ofi_add_4_30: -4.226699066767957e-07 , std 4.501327071860858e-06 
2023-05-09 14:23:58,020 INFO ofi_add_5_30: -3.8949182572429393e-07 , std 3.820679149519017e-06 
2023-05-09 14:23:58,020 INFO ofi_add_6_30: -3.538007968768594e-07 , std 3.77712191078499e-06 
2023-05-09 14:23:58,020 INFO ofi_add_7_30: -2.961169197160574e-07 , std 3.7246814341624388e-06 
2023-05-09 14:23:58,020 INFO ofi_add_8_30: -2.7085546421461717e-07 , std 3.488957235075037e-06 
2023-05-09 14:23:58,020 INFO ofi_add_9_30: -2.812716552865653e-07 , std 3.74500549679891e-06 
2023-05-09 14:23:58,020 INFO ofi_add_10_30: -3.4695831339389287e-07 , std 4.156646007226631e-06 
2023-05-09 14:23:58,020 INFO ofi_cancel_1_30: -6.038252012495042e-08 , std 2.139695369140081e-06 
2023-05-09 14:23:58,020 INFO ofi_cancel_2_30: -9.840230607662814e-08 , std 2.651798089531736e-06 
2023-05-09 14:23:58,020 INFO ofi_cancel_3_30: -1.2375362843695363e-07 , std 2.8336439524822295e-06 
2023-05-09 14:23:58,020 INFO ofi_cancel_4_30: -1.5716254899950077e-07 , std 3.0594260868784793e-06 
2023-05-09 14:23:58,020 INFO ofi_cancel_5_30: -1.604846459631008e-07 , std 3.5189081283053144e-06 
2023-05-09 14:23:58,020 INFO ofi_cancel_6_30: -1.670637454559533e-07 , std 3.3444603678833688e-06 
2023-05-09 14:23:58,020 INFO ofi_cancel_7_30: -1.2048055502618857e-07 , std 2.8051821785030997e-06 
2023-05-09 14:23:58,020 INFO ofi_cancel_8_30: -1.1235338737298457e-07 , std 2.714347989582075e-06 
2023-05-09 14:23:58,020 INFO ofi_cancel_9_30: -1.1376883938490582e-07 , std 2.679253261541893e-06 
2023-05-09 14:23:58,020 INFO ofi_cancel_10_30: -1.2894969670681737e-07 , std 2.8644284728977783e-06 
2023-05-09 14:23:58,020 INFO ofi_trade_1_30: -1.8063884140356692e-09 , std 2.8475202561665374e-07 
2023-05-09 14:23:58,020 INFO ofi_trade_2_30: -6.920449747977688e-09 , std 1.0429848730237464e-06 
2023-05-09 14:23:58,020 INFO ofi_trade_3_30: -1.0567835465508945e-08 , std 9.690277732759538e-07 
2023-05-09 14:23:58,020 INFO ofi_trade_4_30: -3.724252765725536e-08 , std 1.7902356429026114e-06 
2023-05-09 14:23:58,020 INFO ofi_trade_5_30: -4.669474776525014e-08 , std 1.93426872976731e-06 
2023-05-09 14:23:58,020 INFO ofi_trade_6_30: -5.883435848956061e-08 , std 2.1004422844773017e-06 
2023-05-09 14:23:58,020 INFO ofi_trade_7_30: -4.6567604749873514e-08 , std 1.897024039078358e-06 
2023-05-09 14:23:58,020 INFO ofi_trade_8_30: -2.89316858433525e-08 , std 1.5252796473206212e-06 
2023-05-09 14:23:58,020 INFO ofi_trade_9_30: -2.1667771433729427e-08 , std 1.1701607951909335e-06 
2023-05-09 14:23:58,020 INFO ofi_trade_10_30: -1.3139559106794429e-08 , std 1.3287155830371123e-06 
2023-05-09 14:23:58,020 INFO used_intercept: 0.9880780201679322 , std 0.1085350000182042 
2023-05-09 14:23:58,020 INFO used_ofi_add_1_1: 0.0023050500180788235 , std 0.04795557071386992 
2023-05-09 14:23:58,020 INFO used_ofi_add_2_1: 0.004148085653449038 , std 0.0642719148529176 
2023-05-09 14:23:58,020 INFO used_ofi_add_3_1: 0.003535414406813708 , std 0.05935415109144264 
2023-05-09 14:23:58,020 INFO used_ofi_add_4_1: 0.005323209192077458 , std 0.07276587549102147 
2023-05-09 14:23:58,020 INFO used_ofi_add_5_1: 0.006151821943674421 , std 0.07819192433012341 
2023-05-09 14:23:58,020 INFO used_ofi_add_6_1: 0.005840464424892532 , std 0.07619943175768498 
2023-05-09 14:23:58,020 INFO used_ofi_add_7_1: 0.005664698083644691 , std 0.07505071138414243 
2023-05-09 14:23:58,020 INFO used_ofi_add_8_1: 0.0049013699730826405 , std 0.0698380021583493 
2023-05-09 14:23:58,020 INFO used_ofi_add_9_1: 0.004710537945442127 , std 0.0684715180035223 
2023-05-09 14:23:58,020 INFO used_ofi_add_10_1: 0.005448756578683058 , std 0.073614316749049 
2023-05-09 14:23:58,020 INFO used_ofi_cancel_1_1: 0.0006478245148848981 , std 0.025444151357096045 
2023-05-09 14:23:58,020 INFO used_ofi_cancel_2_1: 0.0012454300751275561 , std 0.03526866851832549 
2023-05-09 14:23:58,020 INFO used_ofi_cancel_3_1: 0.0015818970712305654 , std 0.03974159877114405 
2023-05-09 14:23:58,020 INFO used_ofi_cancel_4_1: 0.0019936924992969346 , std 0.0446062516864529 
2023-05-09 14:23:58,020 INFO used_ofi_cancel_5_1: 0.0021845245269374474 , std 0.046687818320506856 
2023-05-09 14:23:58,020 INFO used_ofi_cancel_6_1: 0.002074042826724519 , std 0.04549440815174357 
2023-05-09 14:23:58,020 INFO used_ofi_cancel_7_1: 0.0018681451126913342 , std 0.04318165289251052 
2023-05-09 14:23:58,020 INFO used_ofi_cancel_8_1: 0.0017476196215499577 , std 0.04176799548946934 
2023-05-09 14:23:58,020 INFO used_ofi_cancel_9_1: 0.0019635611265115907 , std 0.04426856169127299 
2023-05-09 14:23:58,020 INFO used_ofi_cancel_10_1: 0.002069020931260295 , std 0.04543941112785575 
2023-05-09 14:23:58,020 INFO used_ofi_trade_1_1: 6.02627455706882e-05 , std 0.007762674408487351 
2023-05-09 14:23:58,021 INFO used_ofi_trade_2_1: 0.00017576634124784058 , std 0.013256524712047458 
2023-05-09 14:23:58,021 INFO used_ofi_trade_3_1: 0.00015567875939094452 , std 0.012476158203342039 
2023-05-09 14:23:58,021 INFO used_ofi_trade_4_1: 0.0002410509822827528 , std 0.015523945268735434 
2023-05-09 14:23:58,021 INFO used_ofi_trade_5_1: 0.00028624804146076897 , std 0.016916444765952707 
2023-05-09 14:23:58,021 INFO used_ofi_trade_6_1: 0.0005473866056004179 , std 0.023389890412407396 
2023-05-09 14:23:58,021 INFO used_ofi_trade_7_1: 0.00035655457795990517 , std 0.018879286183350285 
2023-05-09 14:23:58,021 INFO used_ofi_trade_8_1: 0.0002410509822827528 , std 0.015523945268735434 
2023-05-09 14:23:58,021 INFO used_ofi_trade_9_1: 0.00018581013217628862 , std 0.013629952559384395 
