2023-05-09 13:23:15,713 INFO Starting...
2023-05-09 13:23:15,713 INFO Tickers: ['V']
2023-05-09 13:24:48,225 INFO ofi_add_7_20: -2.3179059071763494e-07 , std 3.3845871767868697e-06 
2023-05-09 13:24:48,225 INFO ofi_add_8_20: -1.5446658207962324e-07 , std 2.57891221712235e-06 
2023-05-09 13:24:48,225 INFO ofi_add_9_20: -1.2241352095198555e-07 , std 2.302257852570123e-06 
2023-05-09 13:24:48,225 INFO ofi_add_10_20: -1.6249402419614991e-07 , std 2.5858654091757084e-06 
2023-05-09 13:24:48,225 INFO ofi_cancel_1_20: -1.7179967388240518e-08 , std 1.6723114490669651e-06 
2023-05-09 13:24:48,225 INFO ofi_cancel_2_20: -9.998796718653327e-08 , std 2.3905195346446973e-06 
2023-05-09 13:24:48,226 INFO ofi_cancel_3_20: -1.1343569124039565e-07 , std 2.3573088836671647e-06 
2023-05-09 13:24:48,226 INFO ofi_cancel_4_20: -1.6299103358392084e-07 , std 2.9026149572161606e-06 
2023-05-09 13:24:48,226 INFO ofi_cancel_5_20: -1.716232648872073e-07 , std 2.8242619950517953e-06 
2023-05-09 13:24:48,226 INFO ofi_cancel_6_20: -1.672168990339338e-07 , std 2.5604223377972055e-06 
2023-05-09 13:24:48,226 INFO ofi_cancel_7_20: -9.634473638525384e-08 , std 1.985698010278828e-06 
2023-05-09 13:24:48,226 INFO ofi_cancel_8_20: -8.528764886464878e-08 , std 1.6630371090534514e-06 
2023-05-09 13:24:48,226 INFO ofi_cancel_9_20: -8.414166922872922e-08 , std 1.6387717878002601e-06 
2023-05-09 13:24:48,226 INFO ofi_cancel_10_20: -9.122015517017134e-08 , std 1.6068578086753513e-06 
2023-05-09 13:24:48,226 INFO ofi_trade_1_20: -1.249675922105024e-10 , std 3.9580887645726636e-08 
2023-05-09 13:24:48,226 INFO ofi_trade_2_20: -4.2618227194967894e-09 , std 7.615095449619804e-07 
2023-05-09 13:24:48,226 INFO ofi_trade_3_20: -2.1485188349506084e-08 , std 1.640884031487434e-06 
2023-05-09 13:24:48,226 INFO ofi_trade_4_20: -4.308870608042234e-08 , std 1.9320390490987276e-06 
2023-05-09 13:24:48,226 INFO ofi_trade_5_20: -4.5106254876048705e-08 , std 1.985708830416701e-06 
2023-05-09 13:24:48,226 INFO ofi_trade_6_20: -3.912922236783547e-08 , std 1.7920168080041307e-06 
2023-05-09 13:24:48,226 INFO ofi_trade_7_20: -2.4882165360249002e-08 , std 1.5311705633928112e-06 
2023-05-09 13:24:48,226 INFO ofi_trade_8_20: -7.870342465765417e-09 , std 6.344486438243822e-07 
2023-05-09 13:24:48,226 INFO ofi_trade_9_20: -6.237456832960539e-09 , std 5.70858069511398e-07 
2023-05-09 13:24:48,226 INFO ofi_trade_10_20: -6.5126369330121175e-09 , std 6.325892002137177e-07 
2023-05-09 13:24:48,226 INFO ofi_add_1_30: -5.567346570109611e-07 , std 5.098409590264917e-06 
2023-05-09 13:24:48,226 INFO ofi_add_2_30: -2.622500355850885e-07 , std 3.4878626138065633e-06 
