2023-05-09 14:05:07,418 INFO Starting...
2023-05-09 14:05:07,418 INFO Tickers: ['CRM']
2023-05-09 14:06:41,712 INFO ofi_add_3_10: -2.133116939563853e-07 , std 3.3297600638415975e-06 
2023-05-09 14:06:41,712 INFO ofi_add_4_10: -2.613383679311402e-07 , std 3.554537453836887e-06 
2023-05-09 14:06:41,712 INFO ofi_add_5_10: -2.81021487740561e-07 , std 3.563840471053716e-06 
2023-05-09 14:06:41,712 INFO ofi_add_6_10: -2.8551953549022184e-07 , std 3.6194199606776158e-06 
2023-05-09 14:06:41,712 INFO ofi_add_7_10: -2.1896867333898662e-07 , std 3.2773516790701605e-06 
2023-05-09 14:06:41,712 INFO ofi_add_8_10: -1.8217287158901386e-07 , std 2.7294296936185044e-06 
2023-05-09 14:06:41,712 INFO ofi_add_9_10: -1.683916395661733e-07 , std 2.900151700470416e-06 
2023-05-09 14:06:41,712 INFO ofi_add_10_10: -2.325545358291258e-07 , std 3.625296036351047e-06 
2023-05-09 14:06:41,712 INFO ofi_cancel_1_10: -6.278208228814396e-08 , std 2.034498841512431e-06 
2023-05-09 14:06:41,712 INFO ofi_cancel_2_10: -1.4509394538721733e-07 , std 3.383845123837771e-06 
2023-05-09 14:06:41,712 INFO ofi_cancel_3_10: -1.363586638662652e-07 , std 2.8641737739699756e-06 
2023-05-09 14:06:41,712 INFO ofi_cancel_4_10: -1.1785691535675525e-07 , std 2.837377527411682e-06 
2023-05-09 14:06:41,712 INFO ofi_cancel_5_10: -1.2043506968669863e-07 , std 2.7545255506120205e-06 
2023-05-09 14:06:41,712 INFO ofi_cancel_6_10: -1.0159811458392604e-07 , std 2.4151910002034816e-06 
2023-05-09 14:06:41,712 INFO ofi_cancel_7_10: -7.421442441416372e-08 , std 2.083016084038424e-06 
2023-05-09 14:06:41,712 INFO ofi_cancel_8_10: -7.940980070607364e-08 , std 2.4352704796273935e-06 
2023-05-09 14:06:41,712 INFO ofi_cancel_9_10: -9.018251994224616e-08 , std 2.3684581127170277e-06 
2023-05-09 14:06:41,713 INFO ofi_cancel_10_10: -9.11783422492143e-08 , std 2.333532105734907e-06 
2023-05-09 14:06:41,713 INFO ofi_trade_1_10: -1.7133290932327248e-09 , std 5.207218902631391e-07 
2023-05-09 14:06:41,713 INFO ofi_trade_2_10: -1.2045208195267155e-08 , std 9.225149720019657e-07 
2023-05-09 14:06:41,713 INFO ofi_trade_3_10: -1.4266180292826739e-08 , std 1.1685755209406803e-06 
2023-05-09 14:06:41,713 INFO ofi_trade_4_10: -1.6337442455477986e-08 , std 1.2597366930417608e-06 
2023-05-09 14:06:41,713 INFO ofi_trade_5_10: -2.595240975683557e-08 , std 1.7047906402031351e-06 
2023-05-09 14:06:41,713 INFO ofi_trade_6_10: -1.8520531418192114e-08 , std 1.214360031349325e-06 
2023-05-09 14:06:41,713 INFO ofi_trade_7_10: -8.7715779509057e-09 , std 1.0489668781700518e-06 
