2023-05-09 15:26:03,015 INFO Starting...
2023-05-09 15:26:03,015 INFO Tickers: ['FISV']
2023-05-09 15:27:35,736 INFO ofi_trade_9_10: -1.308559103032751e-08 , std 1.0857389092780445e-06 
2023-05-09 15:27:35,736 INFO ofi_trade_10_10: -1.971289928464063e-08 , std 1.3281684302486866e-06 
2023-05-09 15:27:35,736 INFO ofi_add_1_20: -3.781930020375703e-07 , std 4.9137473929140324e-06 
2023-05-09 15:27:35,736 INFO ofi_add_2_20: -4.234086237894693e-07 , std 5.0419566894831816e-06 
2023-05-09 15:27:35,736 INFO ofi_add_3_20: -3.835616199083482e-07 , std 4.864047349653455e-06 
2023-05-09 15:27:35,736 INFO ofi_add_4_20: -4.0998925522475144e-07 , std 4.873815115122337e-06 
2023-05-09 15:27:35,736 INFO ofi_add_5_20: -3.854498437198995e-07 , std 4.7384914611891745e-06 
2023-05-09 15:27:35,736 INFO ofi_add_6_20: -3.0319602497063744e-07 , std 4.132383064640107e-06 
2023-05-09 15:27:35,736 INFO ofi_add_7_20: -2.6594611992200656e-07 , std 4.4394968170734244e-06 
2023-05-09 15:27:35,736 INFO ofi_add_8_20: -1.7148830657404125e-07 , std 3.7666651032048143e-06 
2023-05-09 15:27:35,736 INFO ofi_add_9_20: -1.8358894634085003e-07 , std 3.7829410890588e-06 
2023-05-09 15:27:35,736 INFO ofi_add_10_20: -2.8136344251078635e-07 , std 4.554413895852119e-06 
2023-05-09 15:27:35,736 INFO ofi_cancel_1_20: -8.062788654296565e-08 , std 2.6106069108302946e-06 
2023-05-09 15:27:35,736 INFO ofi_cancel_2_20: -2.1552703488623992e-07 , std 3.7383261698100623e-06 
2023-05-09 15:27:35,736 INFO ofi_cancel_3_20: -1.8010340629821327e-07 , std 3.9740026160540125e-06 
2023-05-09 15:27:35,736 INFO ofi_cancel_4_20: -1.644584439619081e-07 , std 3.420758631765086e-06 
2023-05-09 15:27:35,736 INFO ofi_cancel_5_20: -1.4644061784526608e-07 , std 3.361671976496878e-06 
2023-05-09 15:27:35,736 INFO ofi_cancel_6_20: -1.6275314344813344e-07 , std 3.4792484034513517e-06 
2023-05-09 15:27:35,736 INFO ofi_cancel_7_20: -1.5443946773980575e-07 , std 3.616954360944775e-06 
2023-05-09 15:27:35,736 INFO ofi_cancel_8_20: -1.7649882462346328e-07 , std 3.3451801791376432e-06 
2023-05-09 15:27:35,736 INFO ofi_cancel_9_20: -1.324867564118549e-07 , std 3.113674687019283e-06 
2023-05-09 15:27:35,736 INFO ofi_cancel_10_20: -1.6796255608494497e-07 , std 3.4109549079771e-06 
2023-05-09 15:27:35,736 INFO ofi_trade_1_20: -8.962604094427126e-09 , std 1.0970467930605773e-06 
2023-05-09 15:27:35,736 INFO ofi_trade_2_20: -2.9541252900272694e-08 , std 1.881962731822414e-06 
2023-05-09 15:27:35,736 INFO ofi_trade_3_20: -2.68960649718463e-08 , std 1.747917679433535e-06 
2023-05-09 15:27:35,736 INFO ofi_trade_4_20: -4.174166933232128e-08 , std 2.1382076489849336e-06 
2023-05-09 15:27:35,736 INFO ofi_trade_5_20: -3.562221493466602e-08 , std 1.8642958022454076e-06 
2023-05-09 15:27:35,736 INFO ofi_trade_6_20: -4.397155688313429e-08 , std 2.477248782543198e-06 
2023-05-09 15:27:35,736 INFO ofi_trade_7_20: -3.698455209041083e-08 , std 1.9091252557009705e-06 
2023-05-09 15:27:35,736 INFO ofi_trade_8_20: -3.0897415140597456e-08 , std 1.8863652366125272e-06 
2023-05-09 15:27:35,736 INFO ofi_trade_9_20: -2.4176486165324126e-08 , std 1.2871740418787311e-06 
2023-05-09 15:27:35,736 INFO ofi_trade_10_20: -1.4918938682426546e-08 , std 1.292285583842764e-06 
2023-05-09 15:27:35,736 INFO ofi_add_1_30: -4.0480304467836534e-07 , std 5.0475460334920075e-06 
2023-05-09 15:27:35,736 INFO ofi_add_2_30: -4.1175081161532507e-07 , std 4.762339952757177e-06 
2023-05-09 15:27:35,736 INFO ofi_add_3_30: -4.242300197853965e-07 , std 5.035532447468098e-06 
2023-05-09 15:27:35,736 INFO ofi_add_4_30: -4.277883462843822e-07 , std 4.982545023121796e-06 
2023-05-09 15:27:35,736 INFO ofi_add_5_30: -3.633737984197021e-07 , std 4.327231844015653e-06 
2023-05-09 15:27:35,736 INFO ofi_add_6_30: -3.724143129015497e-07 , std 4.590914395109359e-06 
2023-05-09 15:27:35,736 INFO ofi_add_7_30: -2.716884523205707e-07 , std 3.931938790406798e-06 
2023-05-09 15:27:35,736 INFO ofi_add_8_30: -1.841067455816439e-07 , std 3.4387068359528508e-06 
2023-05-09 15:27:35,736 INFO ofi_add_9_30: -1.7341350979654463e-07 , std 3.7069423195424872e-06 
2023-05-09 15:27:35,736 INFO ofi_add_10_30: -3.159771631778591e-07 , std 4.191244684652631e-06 
2023-05-09 15:27:35,736 INFO ofi_cancel_1_30: -1.098448684529056e-07 , std 3.0510261882975053e-06 
2023-05-09 15:27:35,736 INFO ofi_cancel_2_30: -2.5287945064655003e-07 , std 3.9856250421427255e-06 
2023-05-09 15:27:35,736 INFO ofi_cancel_3_30: -1.8266859322466902e-07 , std 3.559217838380158e-06 
2023-05-09 15:27:35,736 INFO ofi_cancel_4_30: -1.4859335402396145e-07 , std 3.374851949679886e-06 
2023-05-09 15:27:35,736 INFO ofi_cancel_5_30: -1.6956362633378645e-07 , std 3.6362218104731583e-06 
2023-05-09 15:27:35,736 INFO ofi_cancel_6_30: -1.6919386857347278e-07 , std 3.542037759675193e-06 
2023-05-09 15:27:35,736 INFO ofi_cancel_7_30: -1.3613935241780038e-07 , std 3.1034576441956427e-06 
2023-05-09 15:27:35,736 INFO ofi_cancel_8_30: -1.6085450473551692e-07 , std 3.3851646368246593e-06 
2023-05-09 15:27:35,736 INFO ofi_cancel_9_30: -1.5028105092786595e-07 , std 3.2367273530629797e-06 
2023-05-09 15:27:35,736 INFO ofi_cancel_10_30: -1.8300598051793968e-07 , std 3.4018305916279156e-06 
