2023-05-09 15:13:52,590 INFO Starting...
2023-05-09 15:13:52,590 INFO Tickers: ['CME']
2023-05-09 15:15:27,140 INFO ofi_add_7_20: -1.9472986079886e-07 , std 3.3398150583128397e-06 
2023-05-09 15:15:27,140 INFO ofi_add_8_20: -1.247994489823151e-07 , std 2.7736040101727227e-06 
2023-05-09 15:15:27,140 INFO ofi_add_9_20: -1.1471571438858466e-07 , std 2.676876713136563e-06 
2023-05-09 15:15:27,140 INFO ofi_add_10_20: -1.7594036181569806e-07 , std 3.460653551128451e-06 
2023-05-09 15:15:27,140 INFO ofi_cancel_1_20: -6.221718817803734e-08 , std 2.0284230695747043e-06 
2023-05-09 15:15:27,140 INFO ofi_cancel_2_20: -1.0804860794625209e-07 , std 2.4994511662824233e-06 
2023-05-09 15:15:27,140 INFO ofi_cancel_3_20: -1.0035737395409024e-07 , std 2.686037887434763e-06 
2023-05-09 15:15:27,140 INFO ofi_cancel_4_20: -1.0963189912603173e-07 , std 2.7424003620427028e-06 
2023-05-09 15:15:27,140 INFO ofi_cancel_5_20: -1.0800384684543615e-07 , std 2.675636101727858e-06 
2023-05-09 15:15:27,140 INFO ofi_cancel_6_20: -6.305453112414039e-08 , std 2.1729677711200316e-06 
2023-05-09 15:15:27,140 INFO ofi_cancel_7_20: -5.5284332007882906e-08 , std 2.19720323532859e-06 
2023-05-09 15:15:27,140 INFO ofi_cancel_8_20: -6.33202340682658e-08 , std 1.885533422679694e-06 
2023-05-09 15:15:27,140 INFO ofi_cancel_9_20: -8.093610463216121e-08 , std 2.470628863230027e-06 
2023-05-09 15:15:27,140 INFO ofi_cancel_10_20: -1.1163420400890874e-07 , std 2.526170624940268e-06 
2023-05-09 15:15:27,140 INFO ofi_trade_1_20: -6.5056868147423635e-09 , std 8.015891703636116e-07 
2023-05-09 15:15:27,140 INFO ofi_trade_2_20: -1.5388474173380746e-08 , std 1.4260877418459294e-06 
2023-05-09 15:15:27,140 INFO ofi_trade_3_20: -1.683619950620528e-08 , std 1.3056592175722726e-06 
2023-05-09 15:15:27,140 INFO ofi_trade_4_20: -1.840925707085078e-08 , std 1.4122198656800222e-06 
2023-05-09 15:15:27,140 INFO ofi_trade_5_20: -2.9665869646435012e-08 , std 1.7381107739956594e-06 
2023-05-09 15:15:27,140 INFO ofi_trade_6_20: -2.0036622945541573e-08 , std 1.1749491867663574e-06 
2023-05-09 15:15:27,140 INFO ofi_trade_7_20: -1.103545691876437e-08 , std 8.700749649136055e-07 
2023-05-09 15:15:27,140 INFO ofi_trade_8_20: -3.10783964340349e-08 , std 1.860075691650743e-06 
2023-05-09 15:15:27,140 INFO ofi_trade_9_20: -1.607706527343048e-08 , std 1.337100536803901e-06 
2023-05-09 15:15:27,140 INFO ofi_trade_10_20: -1.700348494708182e-08 , std 1.454783945162928e-06 
2023-05-09 15:15:27,140 INFO ofi_add_1_30: -1.3938399876557659e-07 , std 3.276019144206868e-06 
2023-05-09 15:15:27,141 INFO ofi_add_2_30: -3.745563585811242e-07 , std 4.127582419969354e-06 
2023-05-09 15:15:27,141 INFO ofi_add_3_30: -3.209384089698558e-07 , std 3.87693193516274e-06 
2023-05-09 15:15:27,141 INFO ofi_add_4_30: -2.9599142135655017e-07 , std 3.5452694012265555e-06 
2023-05-09 15:15:27,141 INFO ofi_add_5_30: -3.151947312102651e-07 , std 3.7706769570125127e-06 
2023-05-09 15:15:27,141 INFO ofi_add_6_30: -2.907808846077919e-07 , std 3.4862797964962833e-06 
2023-05-09 15:15:27,141 INFO ofi_add_7_30: -2.5045185450843526e-07 , std 3.427893718935327e-06 
2023-05-09 15:15:27,141 INFO ofi_add_8_30: -1.6304602628029824e-07 , std 2.8574027164882332e-06 
2023-05-09 15:15:27,141 INFO ofi_add_9_30: -1.4386771768418653e-07 , std 3.0478772920505355e-06 
2023-05-09 15:15:27,141 INFO ofi_add_10_30: -2.372724875519375e-07 , std 3.6434741649866378e-06 
2023-05-09 15:15:27,141 INFO ofi_cancel_1_30: -5.806502348936612e-08 , std 1.9904160549549996e-06 
2023-05-09 15:15:27,141 INFO ofi_cancel_2_30: -1.0937193575448763e-07 , std 2.6235647584493023e-06 
2023-05-09 15:15:27,141 INFO ofi_cancel_3_30: -1.1913355317767336e-07 , std 2.8704875964993088e-06 
2023-05-09 15:15:27,141 INFO ofi_cancel_4_30: -1.2745544727211215e-07 , std 2.8319039386285963e-06 
2023-05-09 15:15:27,141 INFO ofi_cancel_5_30: -1.0237554508478634e-07 , std 2.8033904055901587e-06 
2023-05-09 15:15:27,141 INFO ofi_cancel_6_30: -7.201806997397397e-08 , std 2.260889147924014e-06 
2023-05-09 15:15:27,141 INFO ofi_cancel_7_30: -7.83257305412673e-08 , std 2.355087248777953e-06 
2023-05-09 15:15:27,141 INFO ofi_cancel_8_30: -7.63627757097075e-08 , std 2.345086097966075e-06 
2023-05-09 15:15:27,141 INFO ofi_cancel_9_30: -7.66340252824167e-08 , std 2.337320542577302e-06 
2023-05-09 15:15:27,141 INFO ofi_cancel_10_30: -1.0009718833795035e-07 , std 2.5654913148492084e-06 
2023-05-09 15:15:27,141 INFO ofi_trade_1_30: -6.382611922629767e-09 , std 9.52030016377977e-07 
2023-05-09 15:15:27,141 INFO ofi_trade_2_30: -1.2263812714335776e-08 , std 1.10858706858995e-06 
2023-05-09 15:15:27,141 INFO ofi_trade_3_30: -1.3272775938826207e-08 , std 1.518147391425486e-06 
2023-05-09 15:15:27,141 INFO ofi_trade_4_30: -2.046625436394927e-08 , std 1.9551234740293492e-06 
2023-05-09 15:15:27,141 INFO ofi_trade_5_30: -2.1464066162673525e-08 , std 1.3558814534642096e-06 
2023-05-09 15:15:27,141 INFO ofi_trade_6_30: -1.55786904975254e-08 , std 1.1491183486218323e-06 
2023-05-09 15:15:27,141 INFO ofi_trade_7_30: -2.4362889348077233e-08 , std 1.7298846232122971e-06 
2023-05-09 15:15:27,141 INFO ofi_trade_8_30: -2.2199631258081458e-08 , std 1.4443918880475322e-06 
2023-05-09 15:15:27,141 INFO ofi_trade_9_30: -1.9686166205977093e-08 , std 1.3500471564911183e-06 
2023-05-09 15:15:27,141 INFO ofi_trade_10_30: -2.713531530025925e-08 , std 1.8737872726833114e-06 
2023-05-09 15:15:27,141 INFO used_intercept: 0.9875507211441886 , std 0.11087963885124079 
2023-05-09 15:15:27,141 INFO used_ofi_add_1_1: 0.0031688160379253543 , std 0.05620297717063698 
2023-05-09 15:15:27,141 INFO used_ofi_add_2_1: 0.006955325217950263 , std 0.08310805417685345 
2023-05-09 15:15:27,141 INFO used_ofi_add_3_1: 0.005167530432686513 , std 0.07169956109986846 
2023-05-09 15:15:27,141 INFO used_ofi_add_4_1: 0.004981720300510225 , std 0.07040527511030484 
2023-05-09 15:15:27,141 INFO used_ofi_add_5_1: 0.004595034349764975 , std 0.06763076229859794 
2023-05-09 15:15:27,141 INFO used_ofi_add_6_1: 0.004705516049977904 , std 0.06843518224335567 
2023-05-09 15:15:27,141 INFO used_ofi_add_7_1: 0.003716202643525772 , std 0.06084728820118466 
2023-05-09 15:15:27,141 INFO used_ofi_add_8_1: 0.003249166365352939 , std 0.0569087803707231 
2023-05-09 15:15:27,141 INFO used_ofi_add_9_1: 0.0030834438150335462 , std 0.05544308964400413 
2023-05-09 15:15:27,141 INFO used_ofi_add_10_1: 0.004635209513478768 , std 0.06792440169957277 
2023-05-09 15:15:27,141 INFO used_ofi_cancel_1_1: 0.0007080872604555864 , std 0.02660048632801978 
2023-05-09 15:15:27,141 INFO used_ofi_cancel_2_1: 0.0019484954401189185 , std 0.04409873927493567 
2023-05-09 15:15:27,141 INFO used_ofi_cancel_3_1: 0.002094130408581415 , std 0.04571372908014911 
2023-05-09 15:15:27,141 INFO used_ofi_cancel_4_1: 0.002013780081153831 , std 0.04482995394754025 
2023-05-09 15:15:27,141 INFO used_ofi_cancel_5_1: 0.0016321160258728055 , std 0.04036647399948248 
2023-05-09 15:15:27,141 INFO used_ofi_cancel_6_1: 0.0016270941304085814 , std 0.04030442525454706 
2023-05-09 15:15:27,141 INFO used_ofi_cancel_7_1: 0.0016873568759792697 , std 0.04104277893554913 
2023-05-09 15:15:27,141 INFO used_ofi_cancel_8_1: 0.0013960869390542766 , std 0.03733815582367291 
2023-05-09 15:15:27,141 INFO used_ofi_cancel_9_1: 0.00181290426258487 , std 0.042539600852847366 
2023-05-09 15:15:27,141 INFO used_ofi_cancel_10_1: 0.0022498091679723593 , std 0.047378766622613415 
2023-05-09 15:15:27,141 INFO used_ofi_trade_1_1: 0.00011550359567715239 , std 0.010746639223335732 
2023-05-09 15:15:27,141 INFO used_ofi_trade_2_1: 0.00025109477321120084 , std 0.015843980706440754 
2023-05-09 15:15:27,141 INFO used_ofi_trade_3_1: 0.00025611666867542484 , std 0.016001595949387406 
2023-05-09 15:15:27,141 INFO used_ofi_trade_4_1: 0.00022096340042585674 , std 0.014863195336182891 
2023-05-09 15:15:27,141 INFO used_ofi_trade_5_1: 0.00015567875939094452 , std 0.012476158203342042 
2023-05-09 15:15:27,142 INFO used_ofi_trade_6_1: 0.00014061307299827246 , std 0.011857204601505977 
2023-05-09 15:15:27,142 INFO used_ofi_trade_7_1: 6.02627455706882e-05 , std 0.007762674408487351 
2023-05-09 15:15:27,142 INFO used_ofi_trade_8_1: 9.541601382025632e-05 , std 0.00976764606261729 
2023-05-09 15:15:27,142 INFO used_ofi_trade_9_1: 7.030653649913623e-05 , std 0.008384604551799792 
