2023-05-09 13:47:13,310 INFO Starting...
2023-05-09 13:47:13,310 INFO Tickers: ['CMCSA']
2023-05-09 13:48:39,069 INFO ofi_add_6_10: -1.1686056251775715e-07 , std 5.198729930394957e-06 
2023-05-09 13:48:39,069 INFO ofi_add_7_10: -5.8925775615178164e-08 , std 5.695935432859601e-06 
2023-05-09 13:48:39,069 INFO ofi_add_8_10: -6.039167029431974e-08 , std 4.202796467225337e-06 
2023-05-09 13:48:39,069 INFO ofi_add_9_10: -7.571941717469075e-08 , std 4.6760064925995156e-06 
2023-05-09 13:48:39,069 INFO ofi_add_10_10: -6.997947074050434e-08 , std 5.05531217843518e-06 
2023-05-09 13:48:39,069 INFO ofi_cancel_1_10: -1.1472075743008722e-07 , std 9.205300772931772e-06 
2023-05-09 13:48:39,069 INFO ofi_cancel_2_10: -3.506442653199569e-08 , std 5.978951688916793e-06 
2023-05-09 13:48:39,069 INFO ofi_cancel_3_10: -1.2778001233350026e-07 , std 5.904601317082131e-06 
2023-05-09 13:48:39,069 INFO ofi_cancel_4_10: -1.0027069938101193e-07 , std 5.149939494567555e-06 
2023-05-09 13:48:39,069 INFO ofi_cancel_5_10: -3.067360273496247e-08 , std 3.2659378323736342e-06 
2023-05-09 13:48:39,069 INFO ofi_cancel_6_10: -2.75971279870291e-09 , std 7.645028256628522e-07 
2023-05-09 13:48:39,069 INFO ofi_cancel_7_10: -5.915771132407734e-09 , std 1.1943138006738016e-06 
2023-05-09 13:48:39,069 INFO ofi_cancel_8_10: -5.955821353624598e-09 , std 1.2391957736453918e-06 
2023-05-09 13:48:39,069 INFO ofi_cancel_9_10: -1.0873032574021057e-08 , std 2.3950300567786047e-06 
2023-05-09 13:48:39,069 INFO ofi_cancel_10_10: -3.6321264062854932e-09 , std 7.115761939322321e-07 
2023-05-09 13:48:39,069 INFO ofi_trade_1_10: -1.4443788388188253e-09 , std 1.1542938566713103e-06 
2023-05-09 13:48:39,069 INFO ofi_trade_2_10: -1.4438485061439754e-07 , std 5.993686169522592e-06 
2023-05-09 13:48:39,069 INFO ofi_trade_3_10: -1.167609779942549e-07 , std 5.322672602459593e-06 
2023-05-09 13:48:39,069 INFO ofi_trade_4_10: -8.812796604927041e-08 , std 4.341877349740328e-06 
2023-05-09 13:48:39,070 INFO ofi_trade_5_10: -5.7278150205222894e-08 , std 3.704330720919842e-06 
2023-05-09 13:48:39,070 INFO ofi_trade_6_10: -2.7355391567567805e-08 , std 3.8203008729428996e-06 
2023-05-09 13:48:39,070 INFO ofi_trade_7_10: -2.662078210421735e-08 , std 2.415125533601654e-06 
2023-05-09 13:48:39,070 INFO ofi_trade_8_10: -4.241689411432841e-08 , std 3.602116021793519e-06 
2023-05-09 13:48:39,070 INFO ofi_trade_9_10: -4.645141395864158e-08 , std 4.732845485508262e-06 
2023-05-09 13:48:39,070 INFO ofi_trade_10_10: -4.314266588047348e-08 , std 3.366018251757191e-06 
2023-05-09 13:48:39,070 INFO ofi_add_1_20: -3.2599444358106646e-06 , std 1.3894634758727766e-05 
2023-05-09 13:48:39,070 INFO ofi_add_2_20: -1.0968008991945736e-06 , std 1.229816981611945e-05 
2023-05-09 13:48:39,070 INFO ofi_add_3_20: -3.4934565367595045e-07 , std 9.934755990975358e-06 
2023-05-09 13:48:39,070 INFO ofi_add_4_20: -3.3469059284386183e-07 , std 8.69525932058635e-06 
2023-05-09 13:48:39,070 INFO ofi_add_5_20: -2.979879399329114e-07 , std 7.576068827580163e-06 
2023-05-09 13:48:39,070 INFO ofi_add_6_20: -1.8964065167938184e-07 , std 5.6779818992090894e-06 
2023-05-09 13:48:39,070 INFO ofi_add_7_20: -1.2202456146531575e-07 , std 4.856681828124336e-06 
2023-05-09 13:48:39,070 INFO ofi_add_8_20: -8.084175848335533e-08 , std 4.438318278115514e-06 
2023-05-09 13:48:39,070 INFO ofi_add_9_20: -1.1193373416334464e-07 , std 5.318560657633082e-06 
2023-05-09 13:48:39,070 INFO ofi_add_10_20: -8.706991341810624e-08 , std 4.4856511572951595e-06 
2023-05-09 13:48:39,070 INFO ofi_cancel_1_20: -1.5558660207580637e-07 , std 8.81182889288725e-06 
2023-05-09 13:48:39,070 INFO ofi_cancel_2_20: -7.269780798505045e-08 , std 6.2784231228566244e-06 
2023-05-09 13:48:39,070 INFO ofi_cancel_3_20: -1.801399061653256e-07 , std 6.65045701911534e-06 
2023-05-09 13:48:39,070 INFO ofi_cancel_4_20: -1.4164200127794015e-07 , std 5.1077225709820785e-06 
2023-05-09 13:48:39,070 INFO ofi_cancel_5_20: -5.204536375908022e-08 , std 3.7551459489288534e-06 
2023-05-09 13:48:39,070 INFO ofi_cancel_6_20: -4.231829301831133e-09 , std 1.809367088010899e-06 
2023-05-09 13:48:39,070 INFO ofi_cancel_7_20: -3.421772826475897e-09 , std 9.274181229407041e-07 
2023-05-09 13:48:39,070 INFO ofi_cancel_8_20: -2.0055081940322525e-08 , std 3.586404719019333e-06 
2023-05-09 13:48:39,070 INFO ofi_cancel_9_20: -9.850205647443521e-09 , std 2.2137866307851884e-06 
2023-05-09 13:48:39,070 INFO ofi_cancel_10_20: -1.1889942191580933e-08 , std 1.9407862806411903e-06 
2023-05-09 13:48:39,070 INFO ofi_trade_1_20: -9.779480641965283e-09 , std 2.7311858550850208e-06 
2023-05-09 13:48:39,070 INFO ofi_trade_2_20: -1.5279390192955534e-07 , std 6.919480757555336e-06 
2023-05-09 13:48:39,070 INFO ofi_trade_3_20: -2.0135721271617766e-07 , std 7.298027204878859e-06 
2023-05-09 13:48:39,070 INFO ofi_trade_4_20: -1.637736543915196e-07 , std 5.446113709609567e-06 
2023-05-09 13:48:39,070 INFO ofi_trade_5_20: -7.59636297071215e-08 , std 5.288024873170889e-06 
2023-05-09 13:48:39,070 INFO ofi_trade_6_20: -7.395546793576763e-08 , std 5.072047986703073e-06 
2023-05-09 13:48:39,070 INFO ofi_trade_7_20: -4.815070378317669e-08 , std 5.59034981658773e-06 
2023-05-09 13:48:39,070 INFO ofi_trade_8_20: -4.009546033464235e-08 , std 4.029599588037069e-06 
2023-05-09 13:48:39,070 INFO ofi_trade_9_20: -4.59532532220661e-08 , std 3.0458606170516064e-06 
2023-05-09 13:48:39,070 INFO ofi_trade_10_20: -2.7254502249308797e-08 , std 2.5843240171406945e-06 
2023-05-09 13:48:39,070 INFO ofi_add_1_30: -3.908148408434694e-06 , std 1.4936268197413041e-05 
2023-05-09 13:48:39,070 INFO ofi_add_2_30: -1.1822974716168792e-06 , std 1.2528302204385629e-05 
2023-05-09 13:48:39,070 INFO ofi_add_3_30: -3.5895305873963123e-07 , std 9.281684581563603e-06 
2023-05-09 13:48:39,070 INFO ofi_add_4_30: -3.720159762369246e-07 , std 8.431614133454409e-06 
2023-05-09 13:48:39,070 INFO ofi_add_5_30: -3.043614479349991e-07 , std 8.204231120965258e-06 
2023-05-09 13:48:39,070 INFO ofi_add_6_30: -2.2529321078215816e-07 , std 6.918782236273627e-06 
2023-05-09 13:48:39,070 INFO ofi_add_7_30: -1.7769286320194958e-07 , std 6.1572930903434046e-06 
2023-05-09 13:48:39,070 INFO ofi_add_8_30: -8.540037343767137e-08 , std 4.363579193723014e-06 
2023-05-09 13:48:39,070 INFO ofi_add_9_30: -8.372593064779056e-08 , std 4.46655099674727e-06 
2023-05-09 13:48:39,070 INFO ofi_add_10_30: -1.1450348451704776e-07 , std 5.107611076196368e-06 
2023-05-09 13:48:39,070 INFO ofi_cancel_1_30: -5.5611519154696874e-08 , std 8.724787849199977e-06 
2023-05-09 13:48:39,070 INFO ofi_cancel_2_30: -4.290882510201964e-08 , std 5.99349940875103e-06 
2023-05-09 13:48:39,070 INFO ofi_cancel_3_30: -1.9046596345790475e-07 , std 7.336714127178263e-06 
2023-05-09 13:48:39,070 INFO ofi_cancel_4_30: -1.2514235566808918e-07 , std 5.466072491858538e-06 
2023-05-09 13:48:39,070 INFO ofi_cancel_5_30: -2.8930193762942402e-08 , std 3.7815679781216183e-06 
2023-05-09 13:48:39,070 INFO ofi_cancel_6_30: -1.9323312521184634e-09 , std 1.4646221988298265e-06 
2023-05-09 13:48:39,070 INFO ofi_cancel_7_30: -1.0743699264750377e-08 , std 1.6646524164056001e-06 
2023-05-09 13:48:39,070 INFO ofi_cancel_8_30: -8.0405180202048e-09 , std 1.24488553140414e-06 
2023-05-09 13:48:39,071 INFO ofi_cancel_9_30: 3.171096141516421e-09 , std 1.6046345101586998e-06 
2023-05-09 13:48:39,071 INFO ofi_cancel_10_30: -8.483527218636075e-09 , std 9.25628938336192e-07 
2023-05-09 13:48:39,071 INFO ofi_trade_1_30: -5.028973545788799e-09 , std 1.6579227444602004e-06 
2023-05-09 13:48:39,071 INFO ofi_trade_2_30: -1.4270964050214567e-07 , std 5.668978194909989e-06 
2023-05-09 13:48:39,071 INFO ofi_trade_3_30: -1.8720567705058556e-07 , std 6.692795705789666e-06 
2023-05-09 13:48:39,071 INFO ofi_trade_4_30: -1.6156444755565955e-07 , std 7.064827025781596e-06 
2023-05-09 13:48:39,071 INFO ofi_trade_5_30: -7.846436702394822e-08 , std 4.443170033717018e-06 
2023-05-09 13:48:39,071 INFO ofi_trade_6_30: -5.976992653843512e-08 , std 3.934999672490376e-06 
2023-05-09 13:48:39,071 INFO ofi_trade_7_30: -3.3295483196152005e-08 , std 3.882025686269055e-06 
2023-05-09 13:48:39,071 INFO ofi_trade_8_30: -4.9954661056489296e-08 , std 4.366698946401774e-06 
2023-05-09 13:48:39,071 INFO ofi_trade_9_30: -4.236323946116579e-08 , std 3.546036998312415e-06 
2023-05-09 13:48:39,071 INFO ofi_trade_10_30: -4.6446483011666935e-08 , std 4.049356064946172e-06 
2023-05-09 13:48:39,071 INFO used_intercept: 0.986435860351131 , std 0.11567261458294718 
2023-05-09 13:48:39,071 INFO used_ofi_add_1_1: 0.03789522317303443 , std 0.1909428585564287 
2023-05-09 13:48:39,071 INFO used_ofi_add_2_1: 0.005544172592503315 , std 0.07425250664299389 
2023-05-09 13:48:39,071 INFO used_ofi_add_3_1: 0.0023150938090072716 , std 0.048059693607666355 
2023-05-09 13:48:39,071 INFO used_ofi_add_4_1: 0.0022347434815796876 , std 0.0472202223962491 
2023-05-09 13:48:39,071 INFO used_ofi_add_5_1: 0.0012454300751275561 , std 0.0352686685183255 
2023-05-09 13:48:39,071 INFO used_ofi_add_6_1: 0.0008888754971676509 , std 0.029800761693590756 
2023-05-09 13:48:39,071 INFO used_ofi_add_7_1: 0.0005122333373508497 , std 0.022626775164812065 
2023-05-09 13:48:39,071 INFO used_ofi_add_8_1: 0.00036659836888835323 , std 0.019143248797533863 
2023-05-09 13:48:39,071 INFO used_ofi_add_9_1: 0.00047205817363705756 , std 0.02172177098483823 
2023-05-09 13:48:39,071 INFO used_ofi_add_10_1: 0.000617693142099554 , std 0.024845756122158114 
2023-05-09 13:48:39,071 INFO used_ofi_cancel_1_1: 0.004052669639628781 , std 0.06353145290657856 
2023-05-09 13:48:39,071 INFO used_ofi_cancel_2_1: 0.0007331967377767065 , std 0.027067677409050448 
2023-05-09 13:48:39,071 INFO used_ofi_cancel_3_1: 0.000908963079024547 , std 0.03013530927575685 
2023-05-09 13:48:39,071 INFO used_ofi_cancel_4_1: 0.0009390944518098912 , std 0.03063025552326443 
2023-05-09 13:48:39,071 INFO used_ofi_cancel_5_1: 0.00023100719135430478 , std 0.01519716509852569 
2023-05-09 13:48:39,071 INFO used_ofi_cancel_6_1: 4.519705917801615e-05 , std 0.006722723882761943 
2023-05-09 13:48:39,071 INFO used_ofi_cancel_7_1: 4.017516371379214e-05 , std 0.006338260776428555 
2023-05-09 13:48:39,071 INFO used_ofi_cancel_8_1: 3.01313727853441e-05 , std 0.005489122414896408 
2023-05-09 13:48:39,071 INFO used_ofi_cancel_9_1: 2.5109477321120085e-05 , std 0.005010872861614906 
2023-05-09 13:48:39,071 INFO used_ofi_cancel_10_1: 0.00020087581856896068 , std 0.014171643076033028 
2023-05-09 13:48:39,071 INFO used_ofi_trade_1_1: 3.01313727853441e-05 , std 0.005489122414896408 
2023-05-09 13:48:39,071 INFO used_ofi_trade_2_1: 0.0007030653649913623 , std 0.026506057120664173 
2023-05-09 13:48:39,071 INFO used_ofi_trade_3_1: 0.0007131091559198103 , std 0.02669458055957339 
2023-05-09 13:48:39,071 INFO used_ofi_trade_4_1: 0.0008035032742758427 , std 0.028334742927439288 
2023-05-09 13:48:39,071 INFO used_ofi_trade_5_1: 0.0003264232051745611 , std 0.01806423685256825 
2023-05-09 13:48:39,071 INFO used_ofi_trade_6_1: 0.00020589771403318468 , std 0.01434765904823991 
2023-05-09 13:48:39,071 INFO used_ofi_trade_7_1: 0.00017576634124784058 , std 0.013256524712047458 
2023-05-09 13:48:39,071 INFO used_ofi_trade_8_1: 0.00015567875939094452 , std 0.012476158203342042 
2023-05-09 13:48:39,071 INFO used_ofi_trade_9_1: 0.0001807882367120646 , std 0.013444536151371348 
2023-05-09 13:48:39,071 INFO used_ofi_trade_10_1: 0.00014061307299827246 , std 0.011857204601505978 
