2023-05-09 15:21:15,908 INFO Starting...
2023-05-09 15:21:15,908 INFO Tickers: ['ISRG']
2023-05-09 15:22:54,378 INFO ofi_trade_9_3: -4.013695504280478e-10 , std 1.6877643299706295e-07 
2023-05-09 15:22:54,378 INFO ofi_trade_10_3: 1.7102664376446832e-09 , std 7.25445841343639e-07 
2023-05-09 15:22:54,378 INFO ofi_add_1_5: -8.96721870230583e-08 , std 2.135764789297381e-06 
2023-05-09 15:22:54,378 INFO ofi_add_2_5: -1.1310239940963095e-07 , std 2.2372202657137693e-06 
2023-05-09 15:22:54,378 INFO ofi_add_3_5: -1.3034535433834798e-07 , std 2.5161909213444715e-06 
2023-05-09 15:22:54,378 INFO ofi_add_4_5: -1.1582011283635828e-07 , std 2.2703675959613415e-06 
2023-05-09 15:22:54,378 INFO ofi_add_5_5: -9.301811597332252e-08 , std 2.143283559290672e-06 
2023-05-09 15:22:54,378 INFO ofi_add_6_5: -5.880555326945144e-08 , std 1.6711146517235187e-06 
2023-05-09 15:22:54,378 INFO ofi_add_7_5: -6.652214647782409e-08 , std 1.7823760365863858e-06 
2023-05-09 15:22:54,378 INFO ofi_add_8_5: -6.27760725358676e-08 , std 1.9631203588361632e-06 
2023-05-09 15:22:54,378 INFO ofi_add_9_5: -5.12926619378233e-08 , std 1.7976785581351501e-06 
2023-05-09 15:22:54,378 INFO ofi_add_10_5: -6.481809806027872e-08 , std 2.403277810188202e-06 
2023-05-09 15:22:54,379 INFO ofi_cancel_1_5: -1.4920175345225027e-08 , std 9.889146757524494e-07 
2023-05-09 15:22:54,379 INFO ofi_cancel_2_5: -3.460844644620588e-08 , std 1.536880798812318e-06 
2023-05-09 15:22:54,379 INFO ofi_cancel_3_5: -2.144294291920003e-08 , std 1.3475714748943667e-06 
2023-05-09 15:22:54,379 INFO ofi_cancel_4_5: -2.2184737962269892e-08 , std 1.6499744899182457e-06 
2023-05-09 15:22:54,379 INFO ofi_cancel_5_5: -2.2376670313547437e-08 , std 1.2736412887324891e-06 
2023-05-09 15:22:54,379 INFO ofi_cancel_6_5: -3.1506634915760117e-08 , std 1.4567982252147538e-06 
2023-05-09 15:22:54,379 INFO ofi_cancel_7_5: -2.3962597194770202e-08 , std 1.2629283374117916e-06 
2023-05-09 15:22:54,379 INFO ofi_cancel_8_5: -2.8571079498569863e-08 , std 1.475846261124957e-06 
2023-05-09 15:22:54,379 INFO ofi_cancel_9_5: -2.3499606541776923e-08 , std 1.4880062622213564e-06 
2023-05-09 15:22:54,379 INFO ofi_cancel_10_5: -2.8848150961131534e-08 , std 1.6868087105835677e-06 
