2023-05-09 14:06:42,407 INFO Starting...
2023-05-09 14:06:42,407 INFO Tickers: ['NVDA']
2023-05-09 14:08:17,578 INFO ofi_trade_10_20: -6.376985040078136e-08 , std 1.6528562471307439e-06 
2023-05-09 14:08:17,578 INFO ofi_add_1_30: -9.466225936279873e-08 , std 1.9392332167054385e-06 
2023-05-09 14:08:17,578 INFO ofi_add_2_30: -9.27267471222501e-08 , std 1.9178169475299507e-06 
2023-05-09 14:08:17,578 INFO ofi_add_3_30: -6.039383630353631e-08 , std 1.901132528693123e-06 
2023-05-09 14:08:17,578 INFO ofi_add_4_30: -8.427906045832561e-08 , std 1.8530467650810566e-06 
2023-05-09 14:08:17,578 INFO ofi_add_5_30: -7.354861229965111e-08 , std 1.70603058403553e-06 
2023-05-09 14:08:17,578 INFO ofi_add_6_30: -9.354108258710029e-08 , std 1.9071520298304428e-06 
2023-05-09 14:08:17,578 INFO ofi_add_7_30: -8.57808236197372e-08 , std 1.7730582809853967e-06 
2023-05-09 14:08:17,578 INFO ofi_add_8_30: -9.092871391915728e-08 , std 1.9416562360610847e-06 
2023-05-09 14:08:17,578 INFO ofi_add_9_30: -8.920220373333528e-08 , std 1.907368583195499e-06 
2023-05-09 14:08:17,578 INFO ofi_add_10_30: -1.050628633139235e-07 , std 2.1254956300131056e-06 
2023-05-09 14:08:17,578 INFO ofi_cancel_1_30: -2.876376260684447e-09 , std 6.331258878651388e-07 
2023-05-09 14:08:17,578 INFO ofi_cancel_2_30: -2.3276593695595397e-08 , std 1.017311177208702e-06 
2023-05-09 14:08:17,578 INFO ofi_cancel_3_30: -4.992616096454002e-08 , std 1.4355142289222213e-06 
2023-05-09 14:08:17,578 INFO ofi_cancel_4_30: -7.009644138867903e-08 , std 1.7640773394008431e-06 
2023-05-09 14:08:17,578 INFO ofi_cancel_5_30: -7.829567199405095e-08 , std 1.6962469642317548e-06 
2023-05-09 14:08:17,578 INFO ofi_cancel_6_30: -6.622808944129856e-08 , std 1.4970359488807417e-06 
2023-05-09 14:08:17,578 INFO ofi_cancel_7_30: -7.651805210031237e-08 , std 1.5210538745652258e-06 
2023-05-09 14:08:17,578 INFO ofi_cancel_8_30: -9.259024386371918e-08 , std 1.7537252831589791e-06 
2023-05-09 14:08:17,578 INFO ofi_cancel_9_30: -8.691314656583665e-08 , std 1.6797425995133784e-06 
2023-05-09 14:08:17,578 INFO ofi_cancel_10_30: -1.1392207441785035e-07 , std 1.7241567860534057e-06 
2023-05-09 14:08:17,578 INFO ofi_trade_1_30: 3.393507024820391e-09 , std 5.456938401055576e-07 
2023-05-09 14:08:17,578 INFO ofi_trade_2_30: -3.094765581106156e-08 , std 1.2046895096596778e-06 
2023-05-09 14:08:17,578 INFO ofi_trade_3_30: -2.719102313001499e-08 , std 1.0672451370656136e-06 
2023-05-09 14:08:17,578 INFO ofi_trade_4_30: -2.9137356860422774e-08 , std 1.0648428720133334e-06 
2023-05-09 14:08:17,578 INFO ofi_trade_5_30: -3.068714202914516e-08 , std 1.2340310959913909e-06 
2023-05-09 14:08:17,578 INFO ofi_trade_6_30: -4.722507617017198e-08 , std 1.5481163359744184e-06 
2023-05-09 14:08:17,578 INFO ofi_trade_7_30: -4.765224395321331e-08 , std 1.4976415257867056e-06 
2023-05-09 14:08:17,578 INFO ofi_trade_8_30: -4.694319122438275e-08 , std 1.3471507102192807e-06 
2023-05-09 14:08:17,578 INFO ofi_trade_9_30: -5.1906269107787105e-08 , std 1.5022254991012504e-06 
2023-05-09 14:08:17,578 INFO ofi_trade_10_30: -6.87430519974804e-08 , std 1.7788839136939601e-06 
2023-05-09 14:08:17,578 INFO used_intercept: 0.9930999156321562 , std 0.08277966660696595 
2023-05-09 14:08:17,578 INFO used_ofi_add_1_1: 0.0007532843196336025 , std 0.027435686292990674 
2023-05-09 14:08:17,578 INFO used_ofi_add_2_1: 0.003008115383070186 , std 0.054763734577841956 
2023-05-09 14:08:17,578 INFO used_ofi_add_3_1: 0.002621429432324937 , std 0.051132744303980765 
2023-05-09 14:08:17,578 INFO used_ofi_add_4_1: 0.002972962114820618 , std 0.0544437655850921 
2023-05-09 14:08:17,578 INFO used_ofi_add_5_1: 0.00293780884657105 , std 0.05412188213423531 
2023-05-09 14:08:17,578 INFO used_ofi_add_6_1: 0.003806596761881805 , std 0.06158008268080057 
2023-05-09 14:08:17,578 INFO used_ofi_add_7_1: 0.004153107548913262 , std 0.06431064644831695 
2023-05-09 14:08:17,578 INFO used_ofi_add_8_1: 0.004434333694909807 , std 0.06644298593224114 
2023-05-09 14:08:17,578 INFO used_ofi_add_9_1: 0.00551404121971797 , std 0.07405158046352031 
2023-05-09 14:08:17,578 INFO used_ofi_add_10_1: 0.007678478164798522 , std 0.08728985701598575 
2023-05-09 14:08:17,578 INFO used_ofi_cancel_1_1: 8.035032742758427e-05 , std 0.008963474284699353 
2023-05-09 14:08:17,578 INFO used_ofi_cancel_2_1: 0.0006930215740629143 , std 0.02631617934200931 
2023-05-09 14:08:17,578 INFO used_ofi_cancel_3_1: 0.0010746856293439395 , std 0.032764778042007565 
2023-05-09 14:08:17,578 INFO used_ofi_cancel_4_1: 0.001466393475553413 , std 0.03826543042653862 
2023-05-09 14:08:17,578 INFO used_ofi_cancel_5_1: 0.0014211964163753966 , std 0.03767196062221183 
2023-05-09 14:08:17,578 INFO used_ofi_cancel_6_1: 0.0015417219075167731 , std 0.03923448739408552 
2023-05-09 14:08:17,578 INFO used_ofi_cancel_7_1: 0.001832991844441766 , std 0.04277419765863501 
2023-05-09 14:08:17,578 INFO used_ofi_cancel_8_1: 0.0025360572094331284 , std 0.05029538371723205 
2023-05-09 14:08:17,579 INFO used_ofi_cancel_9_1: 0.0028624804146076895 , std 0.05342552405436634 
2023-05-09 14:08:17,579 INFO used_ofi_cancel_10_1: 0.0034249327066007795 , std 0.05842262012744752 
2023-05-09 14:08:17,579 INFO used_ofi_trade_1_1: 5.021895464224017e-06 , std 0.0022409529769252105 
2023-05-09 14:08:17,579 INFO used_ofi_trade_2_1: 0.00025611666867542484 , std 0.016001595949387406 
2023-05-09 14:08:17,579 INFO used_ofi_trade_3_1: 0.0002711823550680969 , std 0.016465382327732224 
2023-05-09 14:08:17,579 INFO used_ofi_trade_4_1: 0.0002812261459965449 , std 0.016767440408462845 
2023-05-09 14:08:17,579 INFO used_ofi_trade_5_1: 0.00017576634124784058 , std 0.01325652471204746 
2023-05-09 14:08:17,579 INFO used_ofi_trade_6_1: 0.00047205817363705756 , std 0.021721770984838233 
2023-05-09 14:08:17,579 INFO used_ofi_trade_7_1: 0.00025109477321120084 , std 0.015843980706440754 
2023-05-09 14:08:17,579 INFO used_ofi_trade_8_1: 0.00028624804146076897 , std 0.01691644476595271 
