2023-05-09 13:08:53,584 INFO Starting...
2023-05-09 13:08:53,584 INFO Tickers: ['AAPL']
2023-05-09 13:10:28,605 INFO used_intercept: 0.987826925394721 , std 0.109658063360308 
2023-05-09 13:10:28,605 INFO used_ofi_add_1_1: 0.0054537784741472825 , std 0.0736480466441725 
2023-05-09 13:10:28,605 INFO used_ofi_add_2_1: 0.0036961150616688764 , std 0.06068322498944648 
2023-05-09 13:10:28,605 INFO used_ofi_add_3_1: 0.0030583343377124264 , std 0.05521757807792005 
2023-05-09 13:10:28,605 INFO used_ofi_add_4_1: 0.0030884657104977703 , std 0.0554880806124419 
2023-05-09 13:10:28,605 INFO used_ofi_add_5_1: 0.003018159173998634 , std 0.0548548073481171 
2023-05-09 13:10:28,605 INFO used_ofi_add_6_1: 0.004153107548913262 , std 0.06431064644831695 
2023-05-09 13:10:28,606 INFO used_ofi_add_7_1: 0.003671005584347756 , std 0.0604775107155333 
2023-05-09 13:10:28,606 INFO used_ofi_add_8_1: 0.004715559840906352 , std 0.06850783412350141 
2023-05-09 13:10:28,606 INFO used_ofi_add_9_1: 0.006950303322486039 , std 0.08307825591700561 
2023-05-09 13:10:28,606 INFO used_ofi_add_10_1: 0.007517777509943353 , std 0.08637858838424223 
2023-05-09 13:10:28,606 INFO used_ofi_cancel_1_1: 0.0002711823550680969 , std 0.016465382327732224 
2023-05-09 13:10:28,606 INFO used_ofi_cancel_2_1: 0.0008085251697400667 , std 0.028423079649995065 
2023-05-09 13:10:28,606 INFO used_ofi_cancel_3_1: 0.0011600578522357478 , std 0.03403986072261774 
2023-05-09 13:10:28,606 INFO used_ofi_cancel_4_1: 0.0009943353019163553 , std 0.031517401530324764 
2023-05-09 13:10:28,606 INFO used_ofi_cancel_5_1: 0.0014161745209111728 , std 0.03760543804607912 
2023-05-09 13:10:28,606 INFO used_ofi_cancel_6_1: 0.0012755614479129003 , std 0.035692217511741946 
2023-05-09 13:10:28,606 INFO used_ofi_cancel_7_1: 0.001466393475553413 , std 0.03826543042653862 
2023-05-09 13:10:28,606 INFO used_ofi_cancel_8_1: 0.0014613715800891889 , std 0.038199947293080086 
2023-05-09 13:10:28,606 INFO used_ofi_cancel_9_1: 0.0022899843316861518 , std 0.04779895713764876 
2023-05-09 13:10:28,606 INFO used_ofi_cancel_10_1: 0.0019736049174400388 , std 0.04438141278812443 
2023-05-09 13:10:28,606 INFO used_ofi_trade_1_1: 5.021895464224017e-06 , std 0.00224095297692521 
2023-05-09 13:10:28,606 INFO used_ofi_trade_2_1: 0.0002812261459965449 , std 0.01676744040846285 
2023-05-09 13:10:28,606 INFO used_ofi_trade_3_1: 0.00037162026435257723 , std 0.019273872541129347 
2023-05-09 13:10:28,606 INFO used_ofi_trade_4_1: 0.0004218392189948174 , std 0.020534392386144153 
2023-05-09 13:10:28,606 INFO used_ofi_trade_5_1: 0.0005172552328150737 , std 0.022737363080163872 
2023-05-09 13:10:28,606 INFO used_ofi_trade_6_1: 0.0005222771282792977 , std 0.02284741462136524 
2023-05-09 13:10:28,606 INFO used_ofi_trade_7_1: 0.0006578683058133461 , std 0.025640505359792592 
2023-05-09 13:10:28,606 INFO used_ofi_trade_8_1: 0.0005473866056004179 , std 0.023389890412407396 
2023-05-09 13:10:28,606 INFO used_ofi_trade_9_1: 0.0006679120967417943 , std 0.02583536317091015 
