2023-05-09 15:22:55,071 INFO Starting...
2023-05-09 15:22:55,071 INFO Tickers: ['D']
2023-05-09 15:24:27,846 INFO ofi_add_5_30: -4.782390179331999e-07 , std 5.337311308425628e-06 
2023-05-09 15:24:27,846 INFO ofi_add_6_30: -4.0273811147715557e-07 , std 5.018914739587309e-06 
2023-05-09 15:24:27,846 INFO ofi_add_7_30: -3.451565080171406e-07 , std 5.0861096128934665e-06 
2023-05-09 15:24:27,846 INFO ofi_add_8_30: -2.2121272338701622e-07 , std 4.175340552756304e-06 
2023-05-09 15:24:27,846 INFO ofi_add_9_30: -2.4110044050124314e-07 , std 4.376830008744109e-06 
2023-05-09 15:24:27,846 INFO ofi_add_10_30: -3.6656073025281633e-07 , std 4.863712394667421e-06 
2023-05-09 15:24:27,846 INFO ofi_cancel_1_30: -1.8491768539507865e-07 , std 3.8684071922003884e-06 
2023-05-09 15:24:27,846 INFO ofi_cancel_2_30: -3.6953788848714466e-07 , std 5.630596377942429e-06 
2023-05-09 15:24:27,846 INFO ofi_cancel_3_30: -3.5869746723702716e-07 , std 5.202037724796484e-06 
2023-05-09 15:24:27,846 INFO ofi_cancel_4_30: -2.657814338899289e-07 , std 4.199589586856864e-06 
2023-05-09 15:24:27,846 INFO ofi_cancel_5_30: -2.0903953477267804e-07 , std 4.200877264011284e-06 
2023-05-09 15:24:27,846 INFO ofi_cancel_6_30: -1.7753630206865678e-07 , std 3.750719550475475e-06 
2023-05-09 15:24:27,846 INFO ofi_cancel_7_30: -1.1560200108378922e-07 , std 3.819397978593319e-06 
2023-05-09 15:24:27,846 INFO ofi_cancel_8_30: -9.262989859127024e-08 , std 2.970863535465672e-06 
2023-05-09 15:24:27,846 INFO ofi_cancel_9_30: -7.968201124111395e-08 , std 3.097385710570869e-06 
2023-05-09 15:24:27,846 INFO ofi_cancel_10_30: -9.55370490202805e-08 , std 2.9448249894983125e-06 
2023-05-09 15:24:27,846 INFO ofi_trade_1_30: -1.3302963550534822e-09 , std 4.4657345004678896e-07 
2023-05-09 15:24:27,846 INFO ofi_trade_2_30: -1.5017150639024627e-08 , std 1.1343007122864277e-06 
2023-05-09 15:24:27,846 INFO ofi_trade_3_30: -6.553433848561298e-08 , std 2.7312771293543943e-06 
2023-05-09 15:24:27,846 INFO ofi_trade_4_30: -5.946421563940197e-08 , std 3.0962085313526916e-06 
2023-05-09 15:24:27,846 INFO ofi_trade_5_30: -5.492853472684235e-08 , std 3.1466713823015052e-06 
2023-05-09 15:24:27,846 INFO ofi_trade_6_30: -3.2173915035880193e-08 , std 2.1275632483629704e-06 
2023-05-09 15:24:27,846 INFO ofi_trade_7_30: -2.1443432394010595e-08 , std 1.836543639549221e-06 
2023-05-09 15:24:27,846 INFO ofi_trade_8_30: -1.6950944767181685e-08 , std 2.0351438645139073e-06 
2023-05-09 15:24:27,846 INFO ofi_trade_9_30: -5.747744258452911e-09 , std 9.059419200295995e-07 
2023-05-09 15:24:27,846 INFO ofi_trade_10_30: -4.4095403235673916e-09 , std 6.087631157077632e-07 
2023-05-09 15:24:27,846 INFO used_intercept: 0.9867924149290909 , std 0.11416279940288719 
2023-05-09 15:24:27,846 INFO used_ofi_add_1_1: 0.013016753043268652 , std 0.11334600647344929 
2023-05-09 15:24:27,846 INFO used_ofi_add_2_1: 0.0066941866538106146 , std 0.08154369699035335 
2023-05-09 15:24:27,846 INFO used_ofi_add_3_1: 0.004369049053874895 , std 0.06595423007085845 
2023-05-09 15:24:27,846 INFO used_ofi_add_4_1: 0.005112289582580049 , std 0.07131727755462833 
2023-05-09 15:24:27,846 INFO used_ofi_add_5_1: 0.004645253304407216 , std 0.06799760970905601 
2023-05-09 15:24:27,846 INFO used_ofi_add_6_1: 0.004293720621911534 , std 0.06538566039379357 
2023-05-09 15:24:27,846 INFO used_ofi_add_7_1: 0.0031989474107106987 , std 0.056468700588681926 
2023-05-09 15:24:27,846 INFO used_ofi_add_8_1: 0.0016622473986581496 , std 0.04073676879974409 
2023-05-09 15:24:27,846 INFO used_ofi_add_9_1: 0.0017275320396930617 , std 0.04152767357732546 
2023-05-09 15:24:27,847 INFO used_ofi_add_10_1: 0.0022498091679723593 , std 0.047378766622613415 
2023-05-09 15:24:27,847 INFO used_ofi_cancel_1_1: 0.0019635611265115907 , std 0.04426856169127299 
2023-05-09 15:24:27,847 INFO used_ofi_cancel_2_1: 0.0026816921778956247 , std 0.05171557507133261 
2023-05-09 15:24:27,847 INFO used_ofi_cancel_3_1: 0.0029629183238921697 , std 0.05435199572139109 
2023-05-09 15:24:27,847 INFO used_ofi_cancel_4_1: 0.0031939255152464746 , std 0.05642450137174036 
2023-05-09 15:24:27,847 INFO used_ofi_cancel_5_1: 0.0024607287774697684 , std 0.04954466259198362 
2023-05-09 15:24:27,847 INFO used_ofi_cancel_6_1: 0.002084086617652967 , std 0.0456042015676526 
2023-05-09 15:24:27,847 INFO used_ofi_cancel_7_1: 0.0011650797476999719 , std 0.0341133747506967 
2023-05-09 15:24:27,847 INFO used_ofi_cancel_8_1: 0.0008888754971676509 , std 0.02980076169359075 
2023-05-09 15:24:27,847 INFO used_ofi_cancel_9_1: 0.0011249045839861796 , std 0.03352072752287913 
2023-05-09 15:24:27,847 INFO used_ofi_cancel_10_1: 0.0009742477200594592 , std 0.031197733274060443 
2023-05-09 15:24:27,847 INFO used_ofi_trade_1_1: 2.008758185689607e-05 , std 0.004481872192058941 
2023-05-09 15:24:27,847 INFO used_ofi_trade_2_1: 0.00019585392310473665 , std 0.013993411462025304 
2023-05-09 15:24:27,847 INFO used_ofi_trade_3_1: 0.00034651078703145716 , std 0.01861157482068425 
2023-05-09 15:24:27,847 INFO used_ofi_trade_4_1: 0.0002410509822827528 , std 0.01552394526873543 
2023-05-09 15:24:27,847 INFO used_ofi_trade_5_1: 0.0002410509822827528 , std 0.01552394526873543 
2023-05-09 15:24:27,847 INFO used_ofi_trade_6_1: 0.00022598529589008075 , std 0.015031108626316365 
2023-05-09 15:24:27,847 INFO used_ofi_trade_7_1: 5.021895464224017e-05 , std 0.007086355388973575 
2023-05-09 15:24:27,847 INFO used_ofi_trade_8_1: 2.008758185689607e-05 , std 0.0044818721920589395 
2023-05-09 15:24:27,847 INFO used_ofi_trade_9_1: 3.5153268249568114e-05 , std 0.005928914951093454 
2023-05-09 15:24:27,847 INFO used_ofi_trade_10_1: 5.5240850106464186e-05 , std 0.0074322135703263886 
