2023-05-09 14:19:15,166 INFO Starting...
2023-05-09 14:19:15,166 INFO Tickers: ['AVGO']
2023-05-09 14:20:50,988 INFO ofi_cancel_4_10: -4.690100344189816e-08 , std 1.8155571865126501e-06 
2023-05-09 14:20:50,988 INFO ofi_cancel_5_10: -3.980398711458164e-08 , std 1.4855940569174384e-06 
2023-05-09 14:20:50,988 INFO ofi_cancel_6_10: -4.538283320007502e-08 , std 1.610236960837272e-06 
2023-05-09 14:20:50,988 INFO ofi_cancel_7_10: -5.8617007383232414e-08 , std 1.7165616042708393e-06 
2023-05-09 14:20:50,988 INFO ofi_cancel_8_10: -5.5946946007748843e-08 , std 1.8294917043891193e-06 
2023-05-09 14:20:50,988 INFO ofi_cancel_9_10: -5.6402636139485794e-08 , std 1.7122497322465087e-06 
2023-05-09 14:20:50,988 INFO ofi_cancel_10_10: -7.561603588386833e-08 , std 1.8910672945438012e-06 
2023-05-09 14:20:50,988 INFO ofi_trade_1_10: -6.270075664075225e-09 , std 9.502667275758429e-07 
2023-05-09 14:20:50,988 INFO ofi_trade_2_10: -7.967200003966857e-09 , std 7.255746394110785e-07 
2023-05-09 14:20:50,988 INFO ofi_trade_3_10: -7.978179764577545e-09 , std 9.854920766952088e-07 
2023-05-09 14:20:50,988 INFO ofi_trade_4_10: -4.6437965635751396e-09 , std 5.862852236229143e-07 
2023-05-09 14:20:50,988 INFO ofi_trade_5_10: -6.4154504804257506e-09 , std 6.626305956706414e-07 
2023-05-09 14:20:50,988 INFO ofi_trade_6_10: -4.4814153717464565e-09 , std 4.6759404896804895e-07 
2023-05-09 14:20:50,988 INFO ofi_trade_7_10: -4.647573739737074e-09 , std 4.966476097219055e-07 
2023-05-09 14:20:50,988 INFO ofi_trade_8_10: -6.181794869649261e-09 , std 8.855258528178192e-07 
2023-05-09 14:20:50,989 INFO ofi_trade_9_10: -8.585555481662152e-09 , std 9.388025397819575e-07 
2023-05-09 14:20:50,989 INFO ofi_trade_10_10: -7.445341234019892e-09 , std 9.070486290686529e-07 
2023-05-09 14:20:50,989 INFO ofi_add_1_20: -7.966441680982519e-08 , std 2.2550180805227764e-06 
2023-05-09 14:20:50,989 INFO ofi_add_2_20: -1.5172419835433907e-07 , std 2.649562385470487e-06 
2023-05-09 14:20:50,989 INFO ofi_add_3_20: -1.5022347273813574e-07 , std 2.2293508904057514e-06 
2023-05-09 14:20:50,989 INFO ofi_add_4_20: -1.4792296437969842e-07 , std 2.2440797908968757e-06 
2023-05-09 14:20:50,989 INFO ofi_add_5_20: -1.7986678590165635e-07 , std 2.280407491637452e-06 
2023-05-09 14:20:50,989 INFO ofi_add_6_20: -1.6080050134944072e-07 , std 2.314325267346826e-06 
2023-05-09 14:20:50,989 INFO ofi_add_7_20: -1.3883931456419122e-07 , std 2.1187608064128014e-06 
2023-05-09 14:20:50,989 INFO ofi_add_8_20: -1.1980112056058863e-07 , std 1.9231885206030675e-06 
2023-05-09 14:20:50,989 INFO ofi_add_9_20: -1.3654371740751916e-07 , std 2.1389433755779656e-06 
2023-05-09 14:20:50,989 INFO ofi_add_10_20: -1.7514501599020587e-07 , std 2.4371302630085607e-06 
2023-05-09 14:20:50,989 INFO ofi_cancel_1_20: -1.0580044301746387e-08 , std 7.604768041588113e-07 
2023-05-09 14:20:50,989 INFO ofi_cancel_2_20: -5.624984563197366e-08 , std 1.7130339721157682e-06 
2023-05-09 14:20:50,989 INFO ofi_cancel_3_20: -3.88942290471004e-08 , std 1.6094670225758797e-06 
2023-05-09 14:20:50,989 INFO ofi_cancel_4_20: -5.995907612747725e-08 , std 1.8115893356731863e-06 
2023-05-09 14:20:50,989 INFO ofi_cancel_5_20: -5.055766235890827e-08 , std 1.6378616605826035e-06 
2023-05-09 14:20:50,989 INFO ofi_cancel_6_20: -5.957063159973228e-08 , std 1.7362030769557561e-06 
2023-05-09 14:20:50,989 INFO ofi_cancel_7_20: -5.475865111931164e-08 , std 1.5301740753247948e-06 
2023-05-09 14:20:50,989 INFO ofi_cancel_8_20: -6.867686239833043e-08 , std 1.5596176846226843e-06 
2023-05-09 14:20:50,989 INFO ofi_cancel_9_20: -7.456423958063374e-08 , std 1.9192259770982044e-06 
2023-05-09 14:20:50,989 INFO ofi_cancel_10_20: -1.0120466192610585e-07 , std 2.156358452186154e-06 
2023-05-09 14:20:50,989 INFO ofi_trade_1_20: -2.8580399777746857e-09 , std 3.9881201120027093e-07 
2023-05-09 14:20:50,989 INFO ofi_trade_2_20: -1.3912983400703788e-08 , std 9.915192392260517e-07 
2023-05-09 14:20:50,989 INFO ofi_trade_3_20: -8.846183005239915e-09 , std 9.789394057531054e-07 
2023-05-09 14:20:50,989 INFO ofi_trade_4_20: -5.7374203206343714e-09 , std 6.906594472993483e-07 
2023-05-09 14:20:50,989 INFO ofi_trade_5_20: -3.275736211666718e-09 , std 4.5798020326637516e-07 
2023-05-09 14:20:50,989 INFO ofi_trade_6_20: -3.3848790380074694e-09 , std 4.196468821487752e-07 
2023-05-09 14:20:50,989 INFO ofi_trade_7_20: -2.3494938585956824e-09 , std 6.18231779308495e-07 
2023-05-09 14:20:50,989 INFO ofi_trade_8_20: -4.763419104326539e-09 , std 4.935466357599682e-07 
2023-05-09 14:20:50,989 INFO ofi_trade_9_20: -5.077407623687842e-09 , std 5.874002279050175e-07 
2023-05-09 14:20:50,989 INFO ofi_trade_10_20: -6.675116751897773e-09 , std 6.938293630128153e-07 
2023-05-09 14:20:50,989 INFO ofi_add_1_30: -9.843180900750454e-08 , std 2.439144602970651e-06 
2023-05-09 14:20:50,989 INFO ofi_add_2_30: -1.794521164549207e-07 , std 2.543700197456414e-06 
2023-05-09 14:20:50,989 INFO ofi_add_3_30: -1.6596244060530665e-07 , std 2.3174950834805174e-06 
2023-05-09 14:20:50,989 INFO ofi_add_4_30: -1.6583572500787647e-07 , std 2.2262969098773405e-06 
2023-05-09 14:20:50,989 INFO ofi_add_5_30: -1.725666859254033e-07 , std 2.071680077224731e-06 
2023-05-09 14:20:50,989 INFO ofi_add_6_30: -1.6808455765978572e-07 , std 2.169800915564731e-06 
2023-05-09 14:20:50,989 INFO ofi_add_7_30: -1.6983227808737895e-07 , std 2.157742234825897e-06 
2023-05-09 14:20:50,989 INFO ofi_add_8_30: -1.528898198404382e-07 , std 2.1943825926361057e-06 
2023-05-09 14:20:50,989 INFO ofi_add_9_30: -1.4793843987544298e-07 , std 2.0564125361185152e-06 
2023-05-09 14:20:50,989 INFO ofi_add_10_30: -1.897084569725343e-07 , std 2.440026634427161e-06 
2023-05-09 14:20:50,989 INFO ofi_cancel_1_30: -1.9892748661826034e-08 , std 8.548475836115783e-07 
2023-05-09 14:20:50,989 INFO ofi_cancel_2_30: -5.6647233533106744e-08 , std 1.824494609275556e-06 
2023-05-09 14:20:50,989 INFO ofi_cancel_3_30: -4.309902487669074e-08 , std 1.4954987900029155e-06 
2023-05-09 14:20:50,989 INFO ofi_cancel_4_30: -6.123495848651242e-08 , std 1.7319579697183259e-06 
2023-05-09 14:20:50,989 INFO ofi_cancel_5_30: -5.757558672896442e-08 , std 1.8323045318737725e-06 
2023-05-09 14:20:50,989 INFO ofi_cancel_6_30: -5.808691463181926e-08 , std 1.682093698218186e-06 
2023-05-09 14:20:50,989 INFO ofi_cancel_7_30: -6.573797856405829e-08 , std 1.6235673779169516e-06 
2023-05-09 14:20:50,989 INFO ofi_cancel_8_30: -5.6925332389698136e-08 , std 1.6375155526685683e-06 
2023-05-09 14:20:50,989 INFO ofi_cancel_9_30: -5.939501448738934e-08 , std 1.4573797260826458e-06 
2023-05-09 14:20:50,989 INFO ofi_cancel_10_30: -1.15943201471183e-07 , std 2.069796154883145e-06 
2023-05-09 14:20:50,989 INFO ofi_trade_1_30: -1.5470802569825522e-09 , std 9.023435844234431e-07 
2023-05-09 14:20:50,989 INFO ofi_trade_2_30: -1.456259932638887e-08 , std 1.219203240053639e-06 
2023-05-09 14:20:50,989 INFO ofi_trade_3_30: -1.1203193202727186e-08 , std 8.500940557835209e-07 
2023-05-09 14:20:50,989 INFO ofi_trade_4_30: -7.775279715283621e-09 , std 8.695088526692842e-07 
2023-05-09 14:20:50,990 INFO ofi_trade_5_30: -9.342734106387362e-09 , std 8.873582627049313e-07 
