2023-05-09 13:50:05,672 INFO Starting...
2023-05-09 13:50:05,672 INFO Tickers: ['PEP']
2023-05-09 13:51:37,365 INFO ofi_add_3_10: -1.5858986029373585e-07 , std 2.845107205426978e-06 
2023-05-09 13:51:37,365 INFO ofi_add_4_10: -2.385584069180189e-07 , std 3.2858980471764e-06 
2023-05-09 13:51:37,365 INFO ofi_add_5_10: -2.58479608049814e-07 , std 3.1155603645336838e-06 
2023-05-09 13:51:37,365 INFO ofi_add_6_10: -2.7614083006069645e-07 , std 3.3462262756342277e-06 
2023-05-09 13:51:37,365 INFO ofi_add_7_10: -2.4715866834896284e-07 , std 3.3373370615751615e-06 
2023-05-09 13:51:37,365 INFO ofi_add_8_10: -2.330704947149511e-07 , std 3.2961453894925385e-06 
2023-05-09 13:51:37,365 INFO ofi_add_9_10: -1.748786287876563e-07 , std 2.8919283792789825e-06 
2023-05-09 13:51:37,365 INFO ofi_add_10_10: -2.2840651757574186e-07 , std 3.1523530929460733e-06 
2023-05-09 13:51:37,365 INFO ofi_cancel_1_10: -2.443982528411477e-08 , std 1.5411101289434404e-06 
2023-05-09 13:51:37,365 INFO ofi_cancel_2_10: -1.0583011305509163e-07 , std 2.736107383304926e-06 
2023-05-09 13:51:37,365 INFO ofi_cancel_3_10: -1.1578276809446882e-07 , std 2.380788979359963e-06 
2023-05-09 13:51:37,365 INFO ofi_cancel_4_10: -1.317237203910362e-07 , std 2.4454343673841313e-06 
2023-05-09 13:51:37,365 INFO ofi_cancel_5_10: -1.4729892909074019e-07 , std 2.7892224777394628e-06 
2023-05-09 13:51:37,365 INFO ofi_cancel_6_10: -1.4335111350886217e-07 , std 2.846341324503739e-06 
2023-05-09 13:51:37,365 INFO ofi_cancel_7_10: -7.956444703303733e-08 , std 2.2220619818392156e-06 
2023-05-09 13:51:37,365 INFO ofi_cancel_8_10: -6.215689539100695e-08 , std 1.9424293313554574e-06 
2023-05-09 13:51:37,365 INFO ofi_cancel_9_10: -5.147817157129613e-08 , std 1.784062334005204e-06 
2023-05-09 13:51:37,365 INFO ofi_cancel_10_10: -3.015957213787969e-08 , std 1.419848469212355e-06 
2023-05-09 13:51:37,365 INFO ofi_trade_1_10: -5.576265522408037e-10 , std 2.631817277924275e-07 
2023-05-09 13:51:37,365 INFO ofi_trade_2_10: -1.2132659492116073e-08 , std 1.1548628154672944e-06 
2023-05-09 13:51:37,365 INFO ofi_trade_3_10: -2.1528403978074267e-08 , std 1.3666719406837945e-06 
2023-05-09 13:51:37,365 INFO ofi_trade_4_10: -3.366163662702234e-08 , std 1.8285038502857554e-06 
2023-05-09 13:51:37,365 INFO ofi_trade_5_10: -4.455334807845591e-08 , std 2.092720658193557e-06 
2023-05-09 13:51:37,365 INFO ofi_trade_6_10: -4.367516894187618e-08 , std 1.8667489650195306e-06 
2023-05-09 13:51:37,366 INFO ofi_trade_7_10: -4.074689165054623e-08 , std 1.6595233223231717e-06 
2023-05-09 13:51:37,366 INFO ofi_trade_8_10: -2.37277620245077e-08 , std 1.3318167504231064e-06 
2023-05-09 13:51:37,366 INFO ofi_trade_9_10: -1.6133246698114072e-08 , std 1.2307440576199862e-06 
2023-05-09 13:51:37,366 INFO ofi_trade_10_10: -4.898521141020918e-09 , std 5.924783870184785e-07 
2023-05-09 13:51:37,366 INFO ofi_add_1_20: -3.773630497563243e-07 , std 4.393212414153337e-06 
2023-05-09 13:51:37,366 INFO ofi_add_2_20: -2.2617867813082178e-07 , std 3.6073504107950678e-06 
2023-05-09 13:51:37,366 INFO ofi_add_3_20: -2.2699589056505857e-07 , std 3.2426451355752692e-06 
2023-05-09 13:51:37,366 INFO ofi_add_4_20: -2.803717822466771e-07 , std 3.428905876928977e-06 
2023-05-09 13:51:37,366 INFO ofi_add_5_20: -3.125659585219398e-07 , std 3.6802613644317807e-06 
