2023-05-09 14:02:04,111 INFO Starting...
2023-05-09 14:02:04,111 INFO Tickers: ['BMY']
2023-05-09 14:03:33,510 INFO ofi_cancel_8_10: -3.1989526137429784e-08 , std 2.02639241423221e-06 
2023-05-09 14:03:33,510 INFO ofi_cancel_9_10: -3.342049993782927e-08 , std 2.081999484747844e-06 
2023-05-09 14:03:33,510 INFO ofi_cancel_10_10: -4.6516293958933254e-08 , std 2.095115859632938e-06 
2023-05-09 14:03:33,510 INFO ofi_trade_1_10: -3.7564988299140795e-09 , std 1.1622291117556441e-06 
2023-05-09 14:03:33,510 INFO ofi_trade_2_10: -7.654147525145486e-08 , std 3.7228168495197506e-06 
2023-05-09 14:03:33,510 INFO ofi_trade_3_10: -9.641588480835746e-08 , std 4.2729029498935e-06 
2023-05-09 14:03:33,510 INFO ofi_trade_4_10: -5.3978350933476816e-08 , std 3.6649161743876318e-06 
2023-05-09 14:03:33,510 INFO ofi_trade_5_10: -6.075843811530042e-08 , std 3.3478752895724158e-06 
2023-05-09 14:03:33,510 INFO ofi_trade_6_10: -4.051925378146449e-08 , std 2.8884669632484492e-06 
2023-05-09 14:03:33,510 INFO ofi_trade_7_10: -3.180178878953652e-08 , std 2.5440564265362697e-06 
2023-05-09 14:03:33,510 INFO ofi_trade_8_10: -8.732754723271348e-09 , std 1.841599011549972e-06 
2023-05-09 14:03:33,510 INFO ofi_trade_9_10: -1.5907060653655154e-08 , std 2.1635002141501936e-06 
2023-05-09 14:03:33,510 INFO ofi_trade_10_10: -1.8768944882878326e-08 , std 1.6621177381572564e-06 
2023-05-09 14:03:33,510 INFO ofi_add_1_20: -2.0491605068379086e-06 , std 1.1187586766483707e-05 
2023-05-09 14:03:33,510 INFO ofi_add_2_20: -8.127910389228494e-07 , std 8.950366849108087e-06 
2023-05-09 14:03:33,510 INFO ofi_add_3_20: -4.412841761769439e-07 , std 6.879001845087482e-06 
2023-05-09 14:03:33,510 INFO ofi_add_4_20: -4.914599026209736e-07 , std 6.786610108181584e-06 
2023-05-09 14:03:33,510 INFO ofi_add_5_20: -3.8356890642870994e-07 , std 6.681686755955533e-06 
2023-05-09 14:03:33,510 INFO ofi_add_6_20: -3.685587684176864e-07 , std 6.247253160388194e-06 
2023-05-09 14:03:33,510 INFO ofi_add_7_20: -3.563215474059077e-07 , std 6.570956417607181e-06 
2023-05-09 14:03:33,510 INFO ofi_add_8_20: -2.505192426155776e-07 , std 5.102231484921351e-06 
2023-05-09 14:03:33,510 INFO ofi_add_9_20: -2.2309521473475826e-07 , std 5.079342057501057e-06 
2023-05-09 14:03:33,510 INFO ofi_add_10_20: -2.071703106836387e-07 , std 5.3348281471351575e-06 
2023-05-09 14:03:33,510 INFO ofi_cancel_1_20: -1.6483334393305825e-07 , std 6.152037151272519e-06 
2023-05-09 14:03:33,510 INFO ofi_cancel_2_20: -2.5410795791016633e-07 , std 5.749012006983686e-06 
2023-05-09 14:03:33,510 INFO ofi_cancel_3_20: -2.5224900499222137e-07 , std 5.442568373060252e-06 
2023-05-09 14:03:33,510 INFO ofi_cancel_4_20: -2.033348224193973e-07 , std 4.976870218688633e-06 
2023-05-09 14:03:33,510 INFO ofi_cancel_5_20: -1.2559743869558828e-07 , std 4.5773427795626345e-06 
2023-05-09 14:03:33,510 INFO ofi_cancel_6_20: -6.530014449395351e-08 , std 3.3063246706144304e-06 
2023-05-09 14:03:33,510 INFO ofi_cancel_7_20: -6.65434261417313e-08 , std 3.076867473976353e-06 
2023-05-09 14:03:33,510 INFO ofi_cancel_8_20: -5.06400965766323e-08 , std 2.481646727335198e-06 
2023-05-09 14:03:33,510 INFO ofi_cancel_9_20: -3.712111841621028e-08 , std 2.3337408744340832e-06 
2023-05-09 14:03:33,510 INFO ofi_cancel_10_20: -5.1968058292726445e-08 , std 2.387124195711526e-06 
