2023-05-09 09:47:25,376 INFO Starting...
2023-05-09 09:47:25,376 INFO Tickers: ['QCOM']
2023-05-09 09:48:47,124 INFO used_intercept: 0.9868887945089121 , std 0.11375105178264687 
2023-05-09 09:48:47,124 INFO used_ofi_add_1_1: 0.06508564982897434 , std 0.2466769304481359 
2023-05-09 09:48:47,124 INFO used_ofi_add_2_1: 0.025190320267795573 , std 0.1567028016105694 
2023-05-09 09:48:47,124 INFO used_ofi_add_3_1: 0.014645641243440971 , std 0.1201297067174036 
2023-05-09 09:48:47,124 INFO used_ofi_add_4_1: 0.016358181145620692 , std 0.12684869354955042 
2023-05-09 09:48:47,124 INFO used_ofi_add_5_1: 0.01380078822503231 , std 0.11666330386801207 
2023-05-09 09:48:47,124 INFO used_ofi_add_6_1: 0.012745863645289603 , std 0.11217578439763765 
2023-05-09 09:48:47,124 INFO used_ofi_add_7_1: 0.011261662396733844 , std 0.10552173878777697 
2023-05-09 09:48:47,124 INFO used_ofi_add_8_1: 0.010435076470615099 , std 0.10161784119763377 
2023-05-09 09:48:47,124 INFO used_ofi_add_9_1: 0.011412365908125659 , std 0.10621734233403088 
2023-05-09 09:48:47,124 INFO used_ofi_add_10_1: 0.013449146698451406 , std 0.11518796443871618 
2023-05-09 09:48:47,124 INFO used_ofi_cancel_1_1: 0.01337151155621926 , std 0.11485954133166802 
2023-05-09 09:48:47,124 INFO used_ofi_cancel_2_1: 0.008928041356696944 , std 0.09406556986607828 
2023-05-09 09:48:47,124 INFO used_ofi_cancel_3_1: 0.006681189005037151 , std 0.08146502757942282 
2023-05-09 09:48:47,124 INFO used_ofi_cancel_4_1: 0.00693236152402351 , std 0.08297170534419399 
2023-05-09 09:48:47,124 INFO used_ofi_cancel_5_1: 0.004932114918277596 , std 0.07005561476934236 
2023-05-09 09:48:47,124 INFO used_ofi_cancel_6_1: 0.004183164134390998 , std 0.06454196520261639 
2023-05-09 09:48:47,124 INFO used_ofi_cancel_7_1: 0.0032926433852575434 , std 0.05728701322983302 
2023-05-09 09:48:47,124 INFO used_ofi_cancel_8_1: 0.0033063437044749807 , std 0.05740567738284132 
2023-05-09 09:48:47,124 INFO used_ofi_cancel_9_1: 0.003630584592621008 , std 0.060144853879087884 
2023-05-09 09:48:47,124 INFO used_ofi_cancel_10_1: 0.003758454238650427 , std 0.06119091648591641 
2023-05-09 09:48:47,124 INFO used_ofi_trade_1_1: 0.00043384344188552925 , std 0.020824390069182387 
2023-05-09 09:48:47,124 INFO used_ofi_trade_2_1: 0.0036397181387659667 , std 0.060220184246117234 
2023-05-09 09:48:47,124 INFO used_ofi_trade_3_1: 0.0037447539194329893 , std 0.061079708066721146 
