2023-05-09 08:39:46,962 INFO Starting...
2023-05-09 08:39:46,962 INFO Tickers: ['GOOGL']
2023-05-09 08:41:14,144 INFO 3_1: 0.01661848721075201
2023-05-09 08:41:14,144 INFO 4_1: 0.017846949167248927
2023-05-09 08:41:14,144 INFO 5_1: 0.018938407931571474
2023-05-09 08:41:14,144 INFO 6_1: 0.02292976759691834
2023-05-09 08:41:14,144 INFO 7_1: 0.02565156434811598
2023-05-09 08:41:14,144 INFO 8_1: 0.031168226219670917
2023-05-09 08:41:14,144 INFO 9_1: 0.03660268617592123
2023-05-09 08:41:14,144 INFO 10_1: 0.06270179428514018
2023-05-09 08:41:14,144 INFO 1_2: 0.026117375201508863
2023-05-09 08:41:14,144 INFO 2_2: 0.024774743918199962
2023-05-09 08:41:14,144 INFO 3_2: 0.026359414174350265
2023-05-09 08:41:14,144 INFO 4_2: 0.029158846067780044
2023-05-09 08:41:14,144 INFO 5_2: 0.031181926538888353
2023-05-09 08:41:14,144 INFO 6_2: 0.03586286893817959
2023-05-09 08:41:14,144 INFO 7_2: 0.039173779415727056
2023-05-09 08:41:14,144 INFO 8_2: 0.04328844195403086
2023-05-09 08:41:14,144 INFO 9_2: 0.05425783087412603
2023-05-09 08:41:14,144 INFO 10_2: 0.08778707877226873
2023-05-09 08:41:14,144 INFO 1_3: 0.05440853438551785
2023-05-09 08:41:14,145 INFO 2_3: 0.04511971795609505
2023-05-09 08:41:14,145 INFO 3_3: 0.04817032236851119
2023-05-09 08:41:14,145 INFO 4_3: 0.052527023879656395
2023-05-09 08:41:14,145 INFO 5_3: 0.052965434094614405
2023-05-09 08:41:14,145 INFO 6_3: 0.06050517643727766
2023-05-09 08:41:14,145 INFO 7_3: 0.0639941910646518
2023-05-09 08:41:14,145 INFO 8_3: 0.07339261004781411
2023-05-09 08:41:14,145 INFO 9_3: 0.08994259566247893
2023-05-09 08:41:14,145 INFO 10_3: 0.15569042758696278
2023-05-09 08:41:14,156 INFO Non empty regressions: 0.39182912961872013 --- 85800 / 218973
