2023-05-09 10:07:04,367 INFO Starting...
2023-05-09 10:07:04,367 INFO Tickers: ['CAT']
2023-05-09 10:08:22,659 INFO used_ofi_cancel_9_3: 0.02508985126020103 , std 0.1563980518546891 
2023-05-09 10:08:22,659 INFO used_ofi_cancel_10_3: 0.031748206399875786 , std 0.175328998714607 
2023-05-09 10:08:22,659 INFO used_ofi_trade_1_3: 0.0005388792225525522 , std 0.023207516707654294 
2023-05-09 10:08:22,659 INFO used_ofi_trade_2_3: 0.0016760057175998868 , std 0.04090472738491799 
2023-05-09 10:08:22,659 INFO used_ofi_trade_3_3: 0.002324487493891941 , std 0.048156871283158355 
2023-05-09 10:08:22,659 INFO used_ofi_trade_4_3: 0.0036808190964182797 , std 0.06055799424681865 
2023-05-09 10:08:22,659 INFO used_ofi_trade_5_3: 0.005804368575121134 , std 0.07596497798699925 
2023-05-09 10:08:22,659 INFO used_ofi_trade_6_3: 0.005324857402510812 , std 0.07277707946980105 
2023-05-09 10:08:22,659 INFO used_ofi_trade_7_3: 0.004493704703319588 , std 0.066884312969178 
2023-05-09 10:08:22,659 INFO used_ofi_trade_8_3: 0.0033657117544172114 , std 0.057917041868550144 
2023-05-09 10:08:22,659 INFO used_ofi_trade_9_3: 0.0026669954743278853 , std 0.05157404976795792 
2023-05-09 10:08:22,659 INFO used_ofi_trade_10_3: 0.0022788197631671485 , std 0.04768256225974173 
2023-05-09 10:08:23,353 INFO Grouping by horizont:
2023-05-09 10:08:23,354 INFO 1: 0.26568115703762557
2023-05-09 10:08:23,354 INFO 2: 0.4335283345435283
2023-05-09 10:08:23,354 INFO 3: 0.7802149123407908
2023-05-09 10:08:23,354 INFO Grouping by ofi type:
2023-05-09 10:08:23,354 INFO add: 0.8936900896457552
2023-05-09 10:08:23,354 INFO cancel: 0.5282660419321102
2023-05-09 10:08:23,354 INFO trade: 0.05746827234407896
2023-05-09 10:08:23,354 INFO Grouping by ofi type and horizont:
2023-05-09 10:08:23,354 INFO add_1: 0.16658218136482578
2023-05-09 10:08:23,354 INFO cancel_1: 0.09001109725856613
2023-05-09 10:08:23,354 INFO trade_1: 0.009087878414233719
2023-05-09 10:08:23,354 INFO add_2: 0.26537975001484204
2023-05-09 10:08:23,354 INFO cancel_2: 0.1519228398021674
2023-05-09 10:08:23,354 INFO trade_2: 0.016225744726518797
2023-05-09 10:08:23,354 INFO add_3: 0.4617281582660876
2023-05-09 10:08:23,354 INFO cancel_3: 0.2863321048713769
2023-05-09 10:08:23,354 INFO trade_3: 0.03215464920332643
2023-05-09 10:08:23,354 INFO Grouping by level:
2023-05-09 10:08:23,354 INFO 1: 0.07606873906828697
2023-05-09 10:08:23,354 INFO 2: 0.10746530394158184
2023-05-09 10:08:23,354 INFO 3: 0.12331657327615733
2023-05-09 10:08:23,354 INFO 4: 0.15525658414507726
2023-05-09 10:08:23,354 INFO 5: 0.1788211331990702
2023-05-09 10:08:23,354 INFO 6: 0.18751170235599823
2023-05-09 10:08:23,354 INFO 7: 0.17880286610678026
2023-05-09 10:08:23,354 INFO 8: 0.16137149328912698
2023-05-09 10:08:23,354 INFO 9: 0.14067487772465098
2023-05-09 10:08:23,354 INFO 10: 0.17013513081521467
2023-05-09 10:08:23,354 INFO Grouping by level and horizont:
2023-05-09 10:08:23,354 INFO 1_1: 0.011366698177400866
2023-05-09 10:08:23,354 INFO 2_1: 0.018084421367017853
2023-05-09 10:08:23,354 INFO 3_1: 0.021002589360332096
2023-05-09 10:08:23,354 INFO 4_1: 0.027976051842007917
2023-05-09 10:08:23,354 INFO 5_1: 0.03329177569837377
2023-05-09 10:08:23,354 INFO 6_1: 0.03620994369168802
2023-05-09 10:08:23,355 INFO 7_1: 0.03429646577431921
2023-05-09 10:08:23,355 INFO 8_1: 0.029378051175259053
2023-05-09 10:08:23,355 INFO 9_1: 0.025656131121188457
2023-05-09 10:08:23,355 INFO 10_1: 0.028419028830038412
2023-05-09 10:08:23,355 INFO 1_2: 0.020765117160563173
2023-05-09 10:08:23,355 INFO 2_2: 0.030958154658336873
2023-05-09 10:08:23,355 INFO 3_2: 0.03591310344197687
2023-05-09 10:08:23,355 INFO 4_2: 0.04511515118302256
2023-05-09 10:08:23,355 INFO 5_2: 0.05233978618368475
2023-05-09 10:08:23,355 INFO 6_2: 0.05564156311508725
2023-05-09 10:08:23,355 INFO 7_2: 0.052504190014293996
2023-05-09 10:08:23,355 INFO 8_2: 0.04828905846839565
2023-05-09 10:08:23,355 INFO 9_2: 0.0414754330442566
2023-05-09 10:08:23,355 INFO 10_2: 0.05052677727391048
2023-05-09 10:08:23,355 INFO 1_3: 0.043936923730322916
