2023-05-09 09:33:38,030 INFO Starting...
2023-05-09 09:33:38,030 INFO Tickers: ['HON']
2023-05-09 09:34:56,439 INFO used_ofi_add_7_3: 0.04487767898325364 , std 0.2070354387836287 
2023-05-09 09:34:56,439 INFO used_ofi_add_8_3: 0.043959757595685316 , std 0.2050056031132171 
2023-05-09 09:34:56,439 INFO used_ofi_add_9_3: 0.04340717805391532 , std 0.20377191893710728 
2023-05-09 09:34:56,440 INFO used_ofi_add_10_3: 0.056148474926132445 , std 0.23020821811916692 
2023-05-09 09:34:56,440 INFO used_ofi_cancel_1_3: 0.01624857859188119 , std 0.12643006875591203 
2023-05-09 09:34:56,440 INFO used_ofi_cancel_2_3: 0.027679211592296766 , std 0.1640520430775723 
2023-05-09 09:34:56,440 INFO used_ofi_cancel_3_3: 0.028058253757312544 , std 0.16513929923977153 
2023-05-09 09:34:56,440 INFO used_ofi_cancel_4_3: 0.028428162376183366 , std 0.16619266518139938 
2023-05-09 09:34:56,440 INFO used_ofi_cancel_5_3: 0.030446676074219196 , std 0.1718129098474581 
2023-05-09 09:34:56,440 INFO used_ofi_cancel_6_3: 0.030378174478132007 , std 0.1716255837382882 
2023-05-09 09:34:56,440 INFO used_ofi_cancel_7_3: 0.029172546386997483 , std 0.16828995491203855 
2023-05-09 09:34:56,440 INFO used_ofi_cancel_8_3: 0.027140332369744214 , std 0.16249226051909066 
2023-05-09 09:34:56,440 INFO used_ofi_cancel_9_3: 0.02583423527101515 , std 0.15864056088837117 
2023-05-09 09:34:56,440 INFO used_ofi_cancel_10_3: 0.034319299639681604 , std 0.1820480302335715 
2023-05-09 09:34:56,440 INFO used_ofi_trade_1_3: 0.0013152306448740256 , std 0.036242251768133976 
2023-05-09 09:34:56,440 INFO used_ofi_trade_2_3: 0.002552826147515904 , std 0.05046096735276152 
2023-05-09 09:34:56,440 INFO used_ofi_trade_3_3: 0.003347444662127294 , std 0.05776018764132688 
2023-05-09 09:34:56,440 INFO used_ofi_trade_4_3: 0.004301900234275458 , std 0.06544764234599897 
2023-05-09 09:34:56,440 INFO used_ofi_trade_5_3: 0.005105652295031808 , std 0.07127120463184303 
2023-05-09 09:34:56,440 INFO used_ofi_trade_6_3: 0.0053020235371484155 , std 0.07262170531982803 
2023-05-09 09:34:56,440 INFO used_ofi_trade_7_3: 0.0051878542103364345 , std 0.07183968526537912 
2023-05-09 09:34:56,440 INFO used_ofi_trade_8_3: 0.0035620829965338193 , std 0.05957679549337665 
2023-05-09 09:34:56,440 INFO used_ofi_trade_9_3: 0.0028907673548793688 , std 0.053688088241055226 
2023-05-09 09:34:56,440 INFO used_ofi_trade_10_3: 0.002128116251775333 , std 0.04608239764806366 
2023-05-09 09:34:57,125 INFO Grouping by horizont:
2023-05-09 09:34:57,125 INFO 1: 0.2770341548958091
2023-05-09 09:34:57,125 INFO 2: 0.43469742845008297
2023-05-09 09:34:57,125 INFO 3: 0.7783197015157121
2023-05-09 09:34:57,125 INFO Grouping by ofi type:
2023-05-09 09:34:57,125 INFO add: 0.8988733770830193
2023-05-09 09:34:57,125 INFO cancel: 0.5232334580062381
2023-05-09 09:34:57,125 INFO trade: 0.06794444977234636
2023-05-09 09:34:57,125 INFO Grouping by ofi type and horizont:
2023-05-09 09:34:57,125 INFO add_1: 0.1725281199051938
2023-05-09 09:34:57,125 INFO cancel_1: 0.09247258794463244
2023-05-09 09:34:57,125 INFO trade_1: 0.012033447045982838
2023-05-09 09:34:57,125 INFO add_2: 0.261424924534075
2023-05-09 09:34:57,125 INFO cancel_2: 0.15305539952414224
2023-05-09 09:34:57,125 INFO trade_2: 0.02021710439186566
2023-05-09 09:34:57,125 INFO add_3: 0.4649203326437506
2023-05-09 09:34:57,125 INFO cancel_3: 0.27770547053746353
2023-05-09 09:34:57,125 INFO trade_3: 0.03569389833449786
2023-05-09 09:34:57,125 INFO Grouping by level:
2023-05-09 09:34:57,125 INFO 1: 0.09928621336877151
2023-05-09 09:34:57,125 INFO 2: 0.13951035059116876
2023-05-09 09:34:57,125 INFO 3: 0.143200303233732
2023-05-09 09:34:57,125 INFO 4: 0.1541651253807547
2023-05-09 09:34:57,125 INFO 5: 0.1710987199335078
2023-05-09 09:34:57,125 INFO 6: 0.16744986824859687
2023-05-09 09:34:57,125 INFO 7: 0.15871819813401652
2023-05-09 09:34:57,125 INFO 8: 0.14718709612600642
2023-05-09 09:34:57,126 INFO 9: 0.14015426559438834
2023-05-09 09:34:57,126 INFO 10: 0.16928114425066104
2023-05-09 09:34:57,126 INFO Grouping by level and horizont:
2023-05-09 09:34:57,126 INFO 1_1: 0.014618240605006097
2023-05-09 09:34:57,126 INFO 2_1: 0.023998392495878488
2023-05-09 09:34:57,126 INFO 3_1: 0.02646444995501728
2023-05-09 09:34:57,126 INFO 4_1: 0.029642924013462846
2023-05-09 09:34:57,126 INFO 5_1: 0.03332374310988112
2023-05-09 09:34:57,126 INFO 6_1: 0.03277573034118362
2023-05-09 09:34:57,126 INFO 7_1: 0.0317664734921657
2023-05-09 09:34:57,126 INFO 8_1: 0.02858799943372014
2023-05-09 09:34:57,126 INFO 9_1: 0.026820658254670667
2023-05-09 09:34:57,126 INFO 10_1: 0.02903554319482311
2023-05-09 09:34:57,126 INFO 1_2: 0.02710836495823686
2023-05-09 09:34:57,126 INFO 2_2: 0.040155635626310096
2023-05-09 09:34:57,126 INFO 3_2: 0.040936553821704046
2023-05-09 09:34:57,126 INFO 4_2: 0.04410132756093217
2023-05-09 09:34:57,126 INFO 5_2: 0.0518648417841469
2023-05-09 09:34:57,126 INFO 6_2: 0.05002899900901024
2023-05-09 09:34:57,126 INFO 7_2: 0.047713645061263264
2023-05-09 09:34:57,126 INFO 8_2: 0.043936923730322916
2023-05-09 09:34:57,126 INFO 9_2: 0.04120142665990784
2023-05-09 09:34:57,126 INFO 10_2: 0.04764971023824855
2023-05-09 09:34:57,126 INFO 1_3: 0.05755960780552853
2023-05-09 09:34:57,126 INFO 2_3: 0.0753563224689802
2023-05-09 09:34:57,126 INFO 3_3: 0.07579929945701068
2023-05-09 09:34:57,126 INFO 4_3: 0.08042087380635969
2023-05-09 09:34:57,126 INFO 5_3: 0.08591013503947975
2023-05-09 09:34:57,126 INFO 6_3: 0.08464513889840299
2023-05-09 09:34:57,126 INFO 7_3: 0.07923807958058757
2023-05-09 09:34:57,126 INFO 8_3: 0.07466217296196336
2023-05-09 09:34:57,126 INFO 9_3: 0.07213218067980984
2023-05-09 09:34:57,126 INFO 10_3: 0.09259589081758939
2023-05-09 09:34:57,139 INFO Non empty regressions: 0.384033647983998 --- 84093 / 218973
