2023-05-09 08:58:49,722 INFO Starting...
2023-05-09 08:58:49,722 INFO Tickers: ['CVX']
2023-05-09 09:00:10,426 INFO used_ofi_trade_1_1: 0.00014156996524685692 , std 0.011897475496583165 
2023-05-09 09:00:10,426 INFO used_ofi_trade_2_1: 0.000607380818639741 , std 0.02463761163710658 
2023-05-09 09:00:10,426 INFO used_ofi_trade_3_1: 0.0013974325601786523 , std 0.03735612054829041 
2023-05-09 09:00:10,426 INFO used_ofi_trade_4_1: 0.001698839582962283 , std 0.0411819563283927 
2023-05-09 09:00:10,426 INFO used_ofi_trade_5_1: 0.0024021226361240883 , std 0.048952552976990985 
2023-05-09 09:00:10,426 INFO used_ofi_trade_6_1: 0.0017627744059769926 , std 0.041948385336871126 
2023-05-09 09:00:10,426 INFO used_ofi_trade_7_1: 0.0015435692984979883 , std 0.03925795068923902 
2023-05-09 09:00:10,426 INFO used_ofi_trade_8_1: 0.0007124165993067638 , std 0.026681624049067855 
2023-05-09 09:00:10,426 INFO used_ofi_trade_9_1: 0.0004977782649002388 , std 0.022305391314640315 
2023-05-09 09:00:10,426 INFO used_ofi_trade_10_1: 0.0004886447187552803 , std 0.02209990825985739 
2023-05-09 09:00:10,426 INFO used_ofi_add_1_2: 0.028807204541199144 , std 0.16726431032267658 
2023-05-09 09:00:10,427 INFO used_ofi_add_2_2: 0.02239088837436579 , std 0.1479511287289573 
2023-05-09 09:00:10,427 INFO used_ofi_add_3_2: 0.023528014869413125 , std 0.15157324099496516 
2023-05-09 09:00:10,427 INFO used_ofi_add_4_2: 0.027309302973425948 , std 0.16298314312999235 
2023-05-09 09:00:10,427 INFO used_ofi_add_5_2: 0.028245491453284196 , std 0.16567342474231236 
2023-05-09 09:00:10,427 INFO used_ofi_add_6_2: 0.031387431327149926 , std 0.17436243999736117 
2023-05-09 09:00:10,427 INFO used_ofi_add_7_2: 0.029108611563982773 , std 0.16811097613421896 
