2023-05-09 08:41:14,158 INFO Starting...
2023-05-09 08:41:14,159 INFO Tickers: ['JNJ']
2023-05-09 08:42:33,274 INFO used_ofi_add_4_3: 0.046320779274157085 , std 0.21017888733550735 
2023-05-09 08:42:33,274 INFO used_ofi_add_5_3: 0.053330775940412745 , std 0.22469224347539513 
2023-05-09 08:42:33,274 INFO used_ofi_add_6_3: 0.05397012417055984 , std 0.2259587348777962 
2023-05-09 08:42:33,274 INFO used_ofi_add_7_3: 0.05265032675261334 , std 0.22333443497467287 
2023-05-09 08:42:33,274 INFO used_ofi_add_8_3: 0.05464143981221429 , std 0.2272790198576685 
2023-05-09 08:42:33,274 INFO used_ofi_add_9_3: 0.04470414160649943 , std 0.20665352968126505 
2023-05-09 08:42:33,274 INFO used_ofi_add_10_3: 0.05177350632269732 , std 0.2215694256113667 
2023-05-09 08:42:33,274 INFO used_ofi_cancel_1_3: 0.01784694916724893 , std 0.13239499829174273 
2023-05-09 08:42:33,274 INFO used_ofi_cancel_2_3: 0.02814502244568965 , std 0.16538706163790828 
2023-05-09 08:42:33,274 INFO used_ofi_cancel_3_3: 0.03078461728158266 , std 0.1727336811985698 
2023-05-09 08:42:33,274 INFO used_ofi_cancel_4_3: 0.032369287537732966 , std 0.176978859647226 
2023-05-09 08:42:33,274 INFO used_ofi_cancel_5_3: 0.03409552775913012 , std 0.18147457878710313 
2023-05-09 08:42:33,274 INFO used_ofi_cancel_6_3: 0.03145593292323711 , std 0.17454643281134655 
2023-05-09 08:42:33,274 INFO used_ofi_cancel_7_3: 0.028254624999429153 , std 0.16569943019084524 
2023-05-09 08:42:33,274 INFO used_ofi_cancel_8_3: 0.02350518100405073 , std 0.1515014437885578 
2023-05-09 08:42:33,274 INFO used_ofi_cancel_9_3: 0.020134902476561037 , std 0.1404616964827793 
2023-05-09 08:42:33,274 INFO used_ofi_cancel_10_3: 0.02096605517575226 , std 0.14327065193583638 
2023-05-09 08:42:33,274 INFO used_ofi_trade_1_3: 0.0006028140455672617 , std 0.024544870356017948 
2023-05-09 08:42:33,274 INFO used_ofi_trade_2_3: 0.0021189827056303746 , std 0.04598361249318733 
2023-05-09 08:42:33,274 INFO used_ofi_trade_3_3: 0.004671808853146278 , std 0.06819078423941127 
2023-05-09 08:42:33,274 INFO used_ofi_trade_4_3: 0.007137866312285076 , std 0.08418382966338027 
2023-05-09 08:42:33,274 INFO used_ofi_trade_5_3: 0.009069611321943801 , std 0.0948016533210928 
2023-05-09 08:42:33,274 INFO used_ofi_trade_6_3: 0.007105898900777722 , std 0.08399645886339287 
2023-05-09 08:42:33,274 INFO used_ofi_trade_7_3: 0.006699456097327068 , std 0.08157556855656632 
2023-05-09 08:42:33,274 INFO used_ofi_trade_8_3: 0.0044389034264498365 , std 0.06647706042553693 
2023-05-09 08:42:33,275 INFO used_ofi_trade_9_3: 0.0024614906860663185 , std 0.04955231326253829 
2023-05-09 08:42:33,275 INFO used_ofi_trade_10_3: 0.0022103181670799594 , std 0.046962034247679654 
2023-05-09 08:42:33,955 INFO Grouping by horizont:
2023-05-09 08:42:33,955 INFO 1: 0.27447219520214833
2023-05-09 08:42:33,955 INFO 2: 0.4394697063108237
2023-05-09 08:42:33,955 INFO 3: 0.7965319925287592
2023-05-09 08:42:33,955 INFO Grouping by ofi type:
2023-05-09 08:42:33,955 INFO add: 0.9284934672311197
2023-05-09 08:42:33,955 INFO cancel: 0.496102259182639
2023-05-09 08:42:33,955 INFO trade: 0.08587816762797239
2023-05-09 08:42:33,955 INFO Grouping by ofi type and horizont:
2023-05-09 08:42:33,955 INFO add_1: 0.17520881569873914
2023-05-09 08:42:33,955 INFO cancel_1: 0.08461317148689564
2023-05-09 08:42:33,955 INFO trade_1: 0.01465020801651345
2023-05-09 08:42:33,955 INFO add_2: 0.2708279102903097
2023-05-09 08:42:33,955 INFO cancel_2: 0.14393098692532869
2023-05-09 08:42:33,955 INFO trade_2: 0.02471080909518525
2023-05-09 08:42:33,955 INFO add_3: 0.482456741242071
2023-05-09 08:42:33,955 INFO cancel_3: 0.26755810077041464
2023-05-09 08:42:33,955 INFO trade_3: 0.04651715051627369
2023-05-09 08:42:33,955 INFO Grouping by level:
2023-05-09 08:42:33,955 INFO 1: 0.10460650399820985
2023-05-09 08:42:33,955 INFO 2: 0.13056860891525437
2023-05-09 08:42:33,955 INFO 3: 0.1464609792074822
2023-05-09 08:42:33,955 INFO 4: 0.16844542477839733
2023-05-09 08:42:33,955 INFO 5: 0.18934297835806238
2023-05-09 08:42:33,955 INFO 6: 0.18407292223242136
2023-05-09 08:42:33,955 INFO 7: 0.1697971896078512
2023-05-09 08:42:33,955 INFO 8: 0.15703762564334414
2023-05-09 08:42:33,955 INFO 9: 0.12624387481561652
2023-05-09 08:42:33,955 INFO 10: 0.13389778648509176
2023-05-09 08:42:33,955 INFO Grouping by level and horizont:
2023-05-09 08:42:33,955 INFO 1_1: 0.017225868029391755
2023-05-09 08:42:33,956 INFO 2_1: 0.02157800276746448
2023-05-09 08:42:33,956 INFO 3_1: 0.026523818004959517
2023-05-09 08:42:33,956 INFO 4_1: 0.03204961342265941
2023-05-09 08:42:33,956 INFO 5_1: 0.035218953934960016
2023-05-09 08:42:33,956 INFO 6_1: 0.03577610024980248
2023-05-09 08:42:33,956 INFO 7_1: 0.033483580167417905
2023-05-09 08:42:33,956 INFO 8_1: 0.0293232498983893
2023-05-09 08:42:33,956 INFO 9_1: 0.02205294716700233
2023-05-09 08:42:33,956 INFO 10_1: 0.021240061560101015
2023-05-09 08:42:33,956 INFO 1_2: 0.028848305498851458
2023-05-09 08:42:33,956 INFO 2_2: 0.036986295114009485
2023-05-09 08:42:33,956 INFO 3_2: 0.04123796084448768
2023-05-09 08:42:33,956 INFO 4_2: 0.0505678782315628
2023-05-09 08:42:33,956 INFO 5_2: 0.057628109401615724
2023-05-09 08:42:33,956 INFO 6_2: 0.05576486598804419
2023-05-09 08:42:33,956 INFO 7_2: 0.04870920159106374
2023-05-09 08:42:33,956 INFO 8_2: 0.04512885150224
2023-05-09 08:42:33,956 INFO 9_2: 0.03689039287948743
2023-05-09 08:42:33,956 INFO 10_2: 0.03770784525946121
2023-05-09 08:42:33,956 INFO 1_3: 0.058532330469966615
2023-05-09 08:42:33,956 INFO 2_3: 0.07200431103378042
2023-05-09 08:42:33,956 INFO 3_3: 0.07869920035803502
2023-05-09 08:42:33,956 INFO 4_3: 0.08582793312417514
2023-05-09 08:42:33,956 INFO 5_3: 0.09649591502148666
2023-05-09 08:42:33,956 INFO 6_3: 0.09253195599457466
2023-05-09 08:42:33,956 INFO 7_3: 0.08760440784936956
2023-05-09 08:42:33,956 INFO 8_3: 0.08258552424271486
2023-05-09 08:42:33,956 INFO 9_3: 0.06730053476912679
2023-05-09 08:42:33,956 INFO 10_3: 0.07494987966552955
2023-05-09 08:42:33,968 INFO Non empty regressions: 0.3915916574189512 --- 85748 / 218973
