2023-05-09 10:39:37,617 INFO Starting...
2023-05-09 10:39:37,617 INFO Tickers: ['RTN']
2023-05-09 10:40:55,550 INFO 5: 0.14725683279742766
2023-05-09 10:40:55,550 INFO 6: 0.1389168006430868
2023-05-09 10:40:55,550 INFO 7: 0.1410771704180064
2023-05-09 10:40:55,550 INFO 8: 0.13335830166617946
2023-05-09 10:40:55,550 INFO 9: 0.14363033469745687
2023-05-09 10:40:55,550 INFO 10: 0.19755279888921368
2023-05-09 10:40:55,550 INFO Grouping by level and horizont:
2023-05-09 10:40:55,550 INFO 1_1: 0.0175295966091786
2023-05-09 10:40:55,550 INFO 2_1: 0.029098764980999708
2023-05-09 10:40:55,550 INFO 3_1: 0.026732863197895352
2023-05-09 10:40:55,550 INFO 4_1: 0.027984324758842445
2023-05-09 10:40:55,550 INFO 5_1: 0.027975190002923124
2023-05-09 10:40:55,550 INFO 6_1: 0.02710282081262789
2023-05-09 10:40:55,550 INFO 7_1: 0.027541289096755333
2023-05-09 10:40:55,550 INFO 8_1: 0.026330933937445195
2023-05-09 10:40:55,550 INFO 9_1: 0.02849587109032447
2023-05-09 10:40:55,550 INFO 10_1: 0.03654815843320666
2023-05-09 10:40:55,550 INFO 1_2: 0.028043700672318036
2023-05-09 10:40:55,550 INFO 2_2: 0.043924473838059044
2023-05-09 10:40:55,550 INFO 3_2: 0.04254055831628179
2023-05-09 10:40:55,551 INFO 4_2: 0.044285296696872256
2023-05-09 10:40:55,551 INFO 5_2: 0.0437554808535516
2023-05-09 10:40:55,551 INFO 6_2: 0.04160881321251096
2023-05-09 10:40:55,551 INFO 7_2: 0.041078997369190295
2023-05-09 10:40:55,551 INFO 8_2: 0.03925204618532593
2023-05-09 10:40:55,551 INFO 9_2: 0.04342662964045601
2023-05-09 10:40:55,551 INFO 10_2: 0.05823406898567671
2023-05-09 10:40:55,551 INFO 1_3: 0.05718357205495469
2023-05-09 10:40:55,551 INFO 2_3: 0.0783122624963461
2023-05-09 10:40:55,551 INFO 3_3: 0.07427470038000586
2023-05-09 10:40:55,551 INFO 4_3: 0.0763254530838936
2023-05-09 10:40:55,551 INFO 5_3: 0.07552616194095294
2023-05-09 10:40:55,551 INFO 6_3: 0.07020516661794797
2023-05-09 10:40:55,551 INFO 7_3: 0.0724568839520608
2023-05-09 10:40:55,551 INFO 8_3: 0.06777532154340836
2023-05-09 10:40:55,551 INFO 9_3: 0.07170783396667642
2023-05-09 10:40:55,551 INFO 10_3: 0.10277057147033031
2023-05-09 10:40:55,562 INFO Non empty regressions: 0.384806160479392 --- 84251 / 218944
