2023-05-09 10:16:29,466 INFO Starting...
2023-05-09 10:16:29,466 INFO Tickers: ['ADP']
2023-05-09 10:17:47,615 INFO used_ofi_add_9_3: 0.03845679604334781 , std 0.19229631010871776 
2023-05-09 10:17:47,615 INFO used_ofi_add_10_3: 0.05104282263110064 , std 0.22008510374159956 
2023-05-09 10:17:47,615 INFO used_ofi_cancel_1_3: 0.018230558105337188 , std 0.133784172668164 
2023-05-09 10:17:47,615 INFO used_ofi_cancel_2_3: 0.031364597461787526 , std 0.1743010599160187 
2023-05-09 10:17:47,615 INFO used_ofi_cancel_3_3: 0.02772944609609404 , std 0.16419660141214207 
2023-05-09 10:17:47,615 INFO used_ofi_cancel_4_3: 0.028218090814849318 , std 0.16559538087040424 
2023-05-09 10:17:47,615 INFO used_ofi_cancel_5_3: 0.026806957935453228 , std 0.16151886868629337 
2023-05-09 10:17:47,615 INFO used_ofi_cancel_6_3: 0.024738209733620127 , std 0.155326207424232 
2023-05-09 10:17:47,615 INFO used_ofi_cancel_7_3: 0.023843122211414193 , std 0.152560242968559 
2023-05-09 10:17:47,615 INFO used_ofi_cancel_8_3: 0.022537025112685124 , std 0.14842205904701408 
2023-05-09 10:17:47,615 INFO used_ofi_cancel_9_3: 0.02434090047631443 , std 0.15410522716740202 
2023-05-09 10:17:47,615 INFO used_ofi_cancel_10_3: 0.03103122302749654 , std 0.17340209406150292 
2023-05-09 10:17:47,615 INFO used_ofi_trade_1_3: 0.0014979015677731957 , std 0.03867373603191781 
2023-05-09 10:17:47,615 INFO used_ofi_trade_2_3: 0.003699086188708197 , std 0.06070751971606735 
2023-05-09 10:17:47,615 INFO used_ofi_trade_3_3: 0.004301900234275458 , std 0.06544764234599898 
2023-05-09 10:17:47,615 INFO used_ofi_trade_4_3: 0.004393235695725044 , std 0.06613573297277993 
2023-05-09 10:17:47,615 INFO used_ofi_trade_5_3: 0.004621574349349006 , std 0.06782488776166494 
2023-05-09 10:17:47,615 INFO used_ofi_trade_6_3: 0.003982226119201911 , std 0.06297910760194572 
2023-05-09 10:17:47,615 INFO used_ofi_trade_7_3: 0.0031145392354308523 , std 0.055721081116412434 
2023-05-09 10:17:47,615 INFO used_ofi_trade_8_3: 0.0024980248706461526 , std 0.049917779822341725 
2023-05-09 10:17:47,615 INFO used_ofi_trade_9_3: 0.002196617847862522 , std 0.0468165859273503 
2023-05-09 10:17:47,615 INFO used_ofi_trade_10_3: 0.0020459143364707066 , std 0.04518549071326471 
2023-05-09 10:17:48,325 INFO Grouping by horizont:
2023-05-09 10:17:48,326 INFO 1: 0.2637220113895321
2023-05-09 10:17:48,326 INFO 2: 0.4261986637621989
2023-05-09 10:17:48,326 INFO 3: 0.7528279742251326
2023-05-09 10:17:48,326 INFO Grouping by ofi type:
2023-05-09 10:17:48,326 INFO add: 0.8992980869787598
2023-05-09 10:17:48,326 INFO cancel: 0.4810182077242401
2023-05-09 10:17:48,326 INFO trade: 0.0624323546738639
2023-05-09 10:17:48,326 INFO Grouping by ofi type and horizont:
2023-05-09 10:17:48,326 INFO add_1: 0.1698611244308659
2023-05-09 10:17:48,326 INFO cancel_1: 0.08321117215364453
2023-05-09 10:17:48,326 INFO trade_1: 0.010649714805021625
2023-05-09 10:17:48,326 INFO add_2: 0.267800139743256
2023-05-09 10:17:48,326 INFO cancel_2: 0.13896690459554376
2023-05-09 10:17:48,326 INFO trade_2: 0.01943161942339923
2023-05-09 10:17:48,326 INFO add_3: 0.4616368228046381
2023-05-09 10:17:48,326 INFO cancel_3: 0.2588401309750517
2023-05-09 10:17:48,326 INFO trade_3: 0.032351020445443045
2023-05-09 10:17:48,326 INFO Grouping by level:
2023-05-09 10:17:48,326 INFO 1: 0.12070894585177168
2023-05-09 10:17:48,326 INFO 2: 0.17414932434592395
2023-05-09 10:17:48,326 INFO 3: 0.15182237079457286
2023-05-09 10:17:48,326 INFO 4: 0.15479534006475687
2023-05-09 10:17:48,326 INFO 5: 0.15801034830778227
2023-05-09 10:17:48,326 INFO 6: 0.15115105515291838
2023-05-09 10:17:48,326 INFO 7: 0.13447319989222414
2023-05-09 10:17:48,326 INFO 8: 0.11925214524165079
2023-05-09 10:17:48,326 INFO 9: 0.12304256689180859
2023-05-09 10:17:48,326 INFO 10: 0.15534335283345432
2023-05-09 10:17:48,326 INFO Grouping by level and horizont:
2023-05-09 10:17:48,326 INFO 1_1: 0.019121078854470643
2023-05-09 10:17:48,326 INFO 2_1: 0.03165230416535372
2023-05-09 10:17:48,326 INFO 3_1: 0.02858343266064766
2023-05-09 10:17:48,326 INFO 4_1: 0.028875706137286336
2023-05-09 10:17:48,327 INFO 5_1: 0.029537888232795826
2023-05-09 10:17:48,327 INFO 6_1: 0.028149589218762133
2023-05-09 10:17:48,327 INFO 7_1: 0.025774867221072917
2023-05-09 10:17:48,327 INFO 8_1: 0.021993579117060093
2023-05-09 10:17:48,327 INFO 9_1: 0.022381754828220832
2023-05-09 10:17:48,327 INFO 10_1: 0.02765181095386189
2023-05-09 10:17:48,327 INFO 1_2: 0.03329634247144626
2023-05-09 10:17:48,327 INFO 2_2: 0.05086015170820147
2023-05-09 10:17:48,327 INFO 3_2: 0.04564033008635768
2023-05-09 10:17:48,327 INFO 4_2: 0.045909769697633954
2023-05-09 10:17:48,327 INFO 5_2: 0.04873660222949862
2023-05-09 10:17:48,327 INFO 6_2: 0.0475720750960164
2023-05-09 10:17:48,327 INFO 7_2: 0.04013736853402018
2023-05-09 10:17:48,327 INFO 8_2: 0.03480794435843688
2023-05-09 10:17:48,327 INFO 9_2: 0.03566649769606298
2023-05-09 10:17:48,327 INFO 10_2: 0.04357158188452458
2023-05-09 10:17:48,327 INFO 1_3: 0.06829152452585478
2023-05-09 10:17:48,327 INFO 2_3: 0.09163686847236874
2023-05-09 10:17:48,327 INFO 3_3: 0.07759860804756752
2023-05-09 10:17:48,327 INFO 4_3: 0.08000986422983655
2023-05-09 10:17:48,327 INFO 5_3: 0.07973585784548781
2023-05-09 10:17:48,327 INFO 6_3: 0.07542939083813985
2023-05-09 10:17:48,327 INFO 7_3: 0.06856096413713107
2023-05-09 10:17:48,327 INFO 8_3: 0.06245062176615382
2023-05-09 10:17:48,327 INFO 9_3: 0.06499431436752477
2023-05-09 10:17:48,327 INFO 10_3: 0.08411995999506788
2023-05-09 10:17:48,347 INFO Non empty regressions: 0.38496070291771134 --- 84296 / 218973
