2023-05-09 09:38:56,000 INFO Starting...
2023-05-09 09:38:56,001 INFO Tickers: ['ORCL']
2023-05-09 09:40:15,924 INFO used_ofi_trade_4_2: 0.009718093098235856 , std 0.09810021286811706 
2023-05-09 09:40:15,924 INFO used_ofi_trade_5_2: 0.003931991615404639 , std 0.06258219441135814 
2023-05-09 09:40:15,924 INFO used_ofi_trade_6_2: 0.00251629196293607 , std 0.05009950336773144 
2023-05-09 09:40:15,924 INFO used_ofi_trade_7_2: 0.0019911130596009553 , std 0.04457744416613453 
2023-05-09 09:40:15,924 INFO used_ofi_trade_8_2: 0.0018815105058614533 , std 0.043335556118247597 
2023-05-09 09:40:15,924 INFO used_ofi_trade_9_2: 0.0017262402213971586 , std 0.041512170698425166 
2023-05-09 09:40:15,924 INFO used_ofi_trade_10_2: 0.0020093801518908726 , std 0.04478105116336662 
2023-05-09 09:40:15,924 INFO used_ofi_add_1_3: 0.16953688354271987 , std 0.3752254371192631 
2023-05-09 09:40:15,924 INFO used_ofi_add_2_3: 0.06027227101058121 , std 0.23799059720461285 
2023-05-09 09:40:15,924 INFO used_ofi_add_3_3: 0.047795846976567885 , std 0.21333401976328195 
2023-05-09 09:40:15,924 INFO used_ofi_add_4_3: 0.07141976408050307 , std 0.2575247199380835 
2023-05-09 09:40:15,924 INFO used_ofi_add_5_3: 0.03330090924451873 , std 0.1794211768103394 
2023-05-09 09:40:15,924 INFO used_ofi_add_6_3: 0.020874719714302676 , std 0.1429649110486625 
2023-05-09 09:40:15,924 INFO used_ofi_add_7_3: 0.01620747763422888 , std 0.1262727021290225 
2023-05-09 09:40:15,924 INFO used_ofi_add_8_3: 0.01398345914793148 , std 0.11742198268718515 
2023-05-09 09:40:15,924 INFO used_ofi_add_9_3: 0.013289309640914633 , std 0.1145107151762774 
2023-05-09 09:40:15,924 INFO used_ofi_add_10_3: 0.01533522397738534 , std 0.12288228058979361 
2023-05-09 09:40:15,924 INFO used_ofi_cancel_1_3: 0.0634918460266791 , std 0.24384550747307926 
