2023-05-09 08:32:46,586 INFO Starting...
2023-05-09 08:32:46,586 INFO Tickers: ['AMZN']
2023-05-09 08:34:09,306 INFO used_ofi_add_10_2: 0.0484762961643673 , std 0.2147704469300929 
2023-05-09 08:34:09,306 INFO used_ofi_cancel_1_2: 0.0032241417891703543 , std 0.05668991708314345 
2023-05-09 08:34:09,306 INFO used_ofi_cancel_2_2: 0.008754503979942733 , std 0.09315504624016832 
2023-05-09 08:34:09,306 INFO used_ofi_cancel_3_2: 0.010699949308818896 , std 0.1028856666091424 
2023-05-09 08:34:09,306 INFO used_ofi_cancel_4_2: 0.01117032693528426 , std 0.1050978150650294 
2023-05-09 08:34:09,306 INFO used_ofi_cancel_5_2: 0.012814365241376791 , std 0.11247291800623554 
2023-05-09 08:34:09,306 INFO used_ofi_cancel_6_2: 0.015221054650573359 , std 0.12243109958624734 
2023-05-09 08:34:09,306 INFO used_ofi_cancel_7_2: 0.01703406356034762 , std 0.12939823893303054 
2023-05-09 08:34:09,306 INFO used_ofi_cancel_8_2: 0.019166746585195436 , std 0.1371108398724708 
2023-05-09 08:34:09,306 INFO used_ofi_cancel_9_2: 0.021925077520972905 , std 0.14643895826135964 
2023-05-09 08:34:09,306 INFO used_ofi_cancel_10_2: 0.028866572591141372 , std 0.16743145934376177 
2023-05-09 08:34:09,306 INFO used_ofi_trade_1_2: 0.0009179213875683303 , std 0.03028330906447601 
2023-05-09 08:34:09,306 INFO used_ofi_trade_2_2: 0.0018723769597164947 , std 0.04323044256351324 
2023-05-09 08:34:09,306 INFO used_ofi_trade_3_2: 0.0009635891182931228 , std 0.031026772540891683 
2023-05-09 08:34:09,306 INFO used_ofi_trade_4_2: 0.0011142926296849383 , std 0.03336241870159248 
2023-05-09 08:34:09,306 INFO used_ofi_trade_5_2: 0.0007900517415389112 , std 0.028096753545287085 
2023-05-09 08:34:09,306 INFO used_ofi_trade_6_2: 0.0008494197914811415 , std 0.029132426563864906 
2023-05-09 08:34:09,306 INFO used_ofi_trade_7_2: 0.000767217876176515 , std 0.027688070588377772 
2023-05-09 08:34:09,306 INFO used_ofi_trade_8_2: 0.0012923967795116292 , std 0.03592668214678245 
2023-05-09 08:34:09,306 INFO used_ofi_trade_9_2: 0.0009818562105830399 , std 0.031319198089427194 
2023-05-09 08:34:09,306 INFO used_ofi_trade_10_2: 0.001324364191018984 , std 0.036367708898259334 
2023-05-09 08:34:09,306 INFO used_ofi_add_1_3: 0.03466180762011755 , std 0.18292175024480692 
2023-05-09 08:34:09,306 INFO used_ofi_add_2_3: 0.03992729697268613 , std 0.19578842644329375 
2023-05-09 08:34:09,306 INFO used_ofi_add_3_3: 0.03624191110319537 , std 0.18689150591394849 
2023-05-09 08:34:09,306 INFO used_ofi_add_4_3: 0.03615970918789074 , std 0.18668739812675605 
2023-05-09 08:34:09,306 INFO used_ofi_add_5_3: 0.036771656779602965 , std 0.18820069616578478 
2023-05-09 08:34:09,306 INFO used_ofi_add_6_3: 0.041251661163705114 , std 0.19887172150645235 
2023-05-09 08:34:09,306 INFO used_ofi_add_7_3: 0.043991725007192665 , std 0.2050767006221921 
2023-05-09 08:34:09,306 INFO used_ofi_add_8_3: 0.048850771556310596 , std 0.21555596413614664 
2023-05-09 08:34:09,306 INFO used_ofi_add_9_3: 0.05748197266329639 , std 0.23276124136555132 
2023-05-09 08:34:09,306 INFO used_ofi_add_10_3: 0.08456750375617085 , std 0.2782370231738057 
2023-05-09 08:34:09,306 INFO used_ofi_cancel_1_3: 0.006859293154863842 , std 0.08253631474859707 
2023-05-09 08:34:09,306 INFO used_ofi_cancel_2_3: 0.015303256565877985 , std 0.12275612776703615 
2023-05-09 08:34:09,306 INFO used_ofi_cancel_3_3: 0.01834016065907669 , std 0.13417823655897385 
2023-05-09 08:34:09,306 INFO used_ofi_cancel_4_3: 0.02029930630717029 , std 0.1410221417743255 
2023-05-09 08:34:09,306 INFO used_ofi_cancel_5_3: 0.023391011677238747 , std 0.15114189442359793 
2023-05-09 08:34:09,306 INFO used_ofi_cancel_6_3: 0.025911870413247294 , std 0.15887241857834977 
2023-05-09 08:34:09,306 INFO used_ofi_cancel_7_3: 0.028679334895169724 , std 0.1669036567758191 
2023-05-09 08:34:09,306 INFO used_ofi_cancel_8_3: 0.032369287537732966 , std 0.176978859647226 
2023-05-09 08:34:09,306 INFO used_ofi_cancel_9_3: 0.03911441136578482 , std 0.1938671560355002 
2023-05-09 08:34:09,306 INFO used_ofi_cancel_10_3: 0.052189082672292934 , std 0.22240814356070127 
2023-05-09 08:34:09,306 INFO used_ofi_trade_1_3: 0.0019363117827312043 , std 0.043960919910885174 
2023-05-09 08:34:09,306 INFO used_ofi_trade_2_3: 0.004009626757636786 , std 0.06319453814137128 
2023-05-09 08:34:09,306 INFO used_ofi_trade_3_3: 0.0026715622474003642 , std 0.05161806856672021 
2023-05-09 08:34:09,306 INFO used_ofi_trade_4_3: 0.0020961488402679784 , std 0.04573570815355789 
2023-05-09 08:34:09,306 INFO used_ofi_trade_5_3: 0.0017125399021797208 , std 0.0413473954350593 
2023-05-09 08:34:09,306 INFO used_ofi_trade_6_3: 0.001680572490672366 , std 0.04096032430018056 
2023-05-09 08:34:09,307 INFO used_ofi_trade_7_3: 0.0019363117827312043 , std 0.04396091991088517 
2023-05-09 08:34:09,307 INFO used_ofi_trade_8_3: 0.002018513698035831 , std 0.04488250550589474 
2023-05-09 08:34:09,307 INFO used_ofi_trade_9_3: 0.00226968621702219 , std 0.047587127897136726 
2023-05-09 08:34:09,307 INFO used_ofi_trade_10_3: 0.0031373731007932485 , std 0.05592432378509075 
2023-05-09 08:34:09,990 INFO Grouping by horizont:
2023-05-09 08:34:09,990 INFO 1: 0.26515141136121806
2023-05-09 08:34:09,990 INFO 2: 0.4225543788503606
